Sampling_Period,Date,Lease,N_M_S,Rep,O_665,O_750,A_665,A_750,Chl_a
1,23-Jul-21,HIOC,N,1,0.211,0.01,0.188,0.009,4.335012
1,23-Jul-21,HIOC,N,2,0.116,0.009,0.096,0.005,3.152736
1,23-Jul-21,HIOC,M,3,0.159,0.008,0.146,0.006,2.167506
1,23-Jul-21,HIOC,S,4,0.113,0.002,0.091,0.001,4.137966
1,23-Jul-21,HIOC,S,5,0.114,0.004,0.093,0.002,3.743874
1,23-Jul-21,HIOC,N,6,0.167,0.003,0.137,0.001,5.517288
1,23-Jul-21,HIOC,M,7,0.113,0.001,0.107,0.001,1.182276
1,23-Jul-21,HIOC,M,8,0.143,0.005,0.119,0.004,4.532058
1,23-Jul-21,HIOC,S,9,0.132,0.003,0.117,0.003,2.95569
1,23-Jul-21,BBOC,N,1,0.201,0.011,0.178,0.009,4.137966
1,23-Jul-21,BBOC,N,2,0.135,0.005,0.115,0.004,3.743874
1,23-Jul-21,BBOC,M,3,0.176,0.002,0.159,0.001,3.152736
1,23-Jul-21,BBOC,S,4,0.189,0.001,0.171,0.001,3.546828
1,23-Jul-21,BBOC,S,5,0.124,0.003,0.112,0.002,2.167506
1,23-Jul-21,BBOC,N,6,0.155,0.002,0.132,0.001,4.335012
1,23-Jul-21,BBOC,M,7,0.221,0.007,0.198,0.005,4.137966
1,23-Jul-21,BBOC,M,8,0.123,0.006,0.1,0.003,3.94092
1,23-Jul-21,BBOC,S,9,0.193,0.005,0.165,0.004,5.320242
1,26-Jul-21,TBOC,N,1,0.141,0.001,0.12,0,3.94092
1,26-Jul-21,TBOC,N,2,0.101,0.009,0.079,0.008,4.137966
1,26-Jul-21,TBOC,M,3,0.098,0.003,0.084,0.001,2.364552
1,26-Jul-21,TBOC,S,4,0.129,0.002,0.101,0.002,5.517288
1,26-Jul-21,TBOC,S,5,0.121,0.001,0.111,0.001,1.97046
1,26-Jul-21,TBOC,N,6,0.132,0.004,0.111,0.002,3.743874
1,26-Jul-21,TBOC,M,7,0.142,0.004,0.131,0.003,1.97046
1,26-Jul-21,TBOC,M,8,0.147,0.004,0.129,0.001,2.95569
1,26-Jul-21,TBOC,S,9,0.129,0.005,0.119,0.001,1.182276
2,9-Aug-21,HIOC,N,1,0.3,0.007,0.262,0.004,6.89661
2,9-Aug-21,HIOC,N,2,0.214,0.004,0.195,0.001,3.152736
2,9-Aug-21,HIOC,M,3,0.312,0.005,0.301,0.002,1.576368
2,9-Aug-21,HIOC,N,4,0.223,0.005,0.205,0.005,3.546828
2,9-Aug-21,HIOC,M,5,0.287,0.002,0.268,0.001,3.546828
2,9-Aug-21,HIOC,M,6,0.291,0.003,0.268,0.001,4.137966
2,9-Aug-21,HIOC,S,7,0.412,0.005,0.357,0.003,10.443438
2,9-Aug-21,HIOC,S,8,0.211,0.002,0.197,0.002,2.758644
2,9-Aug-21,HIOC,S,9,0.321,0.002,0.311,0.001,1.773414
2,10-Aug-21,BBOC,N,1,0.312,0.008,0.301,0.004,1.379322
2,10-Aug-21,BBOC,N,2,0.301,0.002,0.254,0.001,9.064116
2,10-Aug-21,BBOC,M,3,0.297,0.007,0.252,0.005,8.472978
2,10-Aug-21,BBOC,S,4,0.187,0.004,0.174,0.001,1.97046
2,10-Aug-21,BBOC,S,5,0.249,0.006,0.22,0.005,5.517288
2,10-Aug-21,BBOC,N,6,0.222,0.006,0.202,0.004,3.546828
2,10-Aug-21,BBOC,M,7,0.235,0.006,0.211,0.003,4.137966
2,10-Aug-21,BBOC,M,8,0.312,0.002,0.291,0.001,3.94092
2,10-Aug-21,BBOC,S,9,0.199,0.001,0.179,0,3.743874
2,6-Aug-21,TBOC,N,1,0.219,0.009,0.201,0.004,2.561598
2,6-Aug-21,TBOC,N,2,0.209,0.011,0.168,0.009,7.684794
2,6-Aug-21,TBOC,M,3,0.278,0.004,0.269,0.002,1.379322
2,6-Aug-21,TBOC,S,4,0.198,0.006,0.181,0.002,2.561598
2,6-Aug-21,TBOC,S,5,0.212,0.003,0.2,0.002,2.167506
2,6-Aug-21,TBOC,N,6,0.2,0.007,0.18,0.002,2.95569
2,6-Aug-21,TBOC,M,7,0.176,0.002,0.166,0.001,1.773414
2,6-Aug-21,TBOC,M,8,0.189,0.001,0.171,0.001,3.546828
2,6-Aug-21,TBOC,S,9,0.192,0.008,0.189,0.005,0
3,20-Aug-21,HIOC,N,1,0.321,0.008,0.282,0.005,7.093656
3,24-Aug-21,HIOC,N,1,0.297,0.001,0.27,0,5.123196
3,24-Aug-21,HIOC,N,2,0.299,0.001,0.219,0.001,15.76368
3,24-Aug-21,HIOC,M,3,0.214,0.013,0.191,0.008,3.546828
3,24-Aug-21,HIOC,S,4,0.198,0.003,0.174,0.001,4.335012
3,24-Aug-21,HIOC,S,5,0.345,0.005,0.313,0.002,5.714334
3,24-Aug-21,HIOC,M,6,0.357,0.007,0.34,0.004,2.758644
3,24-Aug-21,HIOC,M,7,0.401,0.008,0.378,0.003,3.546828
3,24-Aug-21,HIOC,S,8,0.321,0.007,0.309,0.005,1.97046
3,24-Aug-21,HIOC,N,9,0.247,0.007,0.21,0.004,6.699564
3,23-Aug-21,BBOC,N,1,0.419,0.009,0.384,0.006,6.305472
3,23-Aug-21,BBOC,N,2,0.387,0.011,0.341,0.009,8.670024
3,23-Aug-21,BBOC,M,3,0.365,0.012,0.329,0.01,6.699564
3,23-Aug-21,BBOC,S,4,0.333,0.008,0.301,0.005,5.714334
3,23-Aug-21,BBOC,S,5,0.401,0.007,0.387,0.003,1.97046
3,23-Aug-21,BBOC,N,6,0.287,0.004,0.219,0.003,13.202082
3,23-Aug-21,BBOC,M,7,0.291,0.004,0.277,0.002,2.364552
3,23-Aug-21,BBOC,M,8,0.41,0.003,0.378,0.002,6.108426
3,23-Aug-21,BBOC,S,9,0.244,0.004,0.221,0.002,4.137966
3,20-Aug-21,TBOC,N,2,0.219,0.008,0.201,0.005,2.95569
3,20-Aug-21,TBOC,M,3,0.222,0.009,0.194,0.004,4.532058
3,20-Aug-21,TBOC,S,4,0.194,0.007,0.185,0.002,0.788184
3,20-Aug-21,TBOC,S,5,0.199,0.003,0.183,0.002,2.95569
3,20-Aug-21,TBOC,N,6,0.187,0.003,0.172,0.002,2.758644
3,20-Aug-21,TBOC,M,7,0.213,0.003,0.197,0.001,2.758644
