Sampling_Period,Date,Lease,Rep,O_665,O_750,A_665,A_750,Chl_a
1,16-Jun-22,HIOC,1,0.215,0.009,0.196,0.008,3.546828
1,16-Jun-22,HIOC,2,0.171,0.007,0.146,0.002,3.94092
1,16-Jun-22,HIOC,3,0.105,0.009,0.089,0.004,2.167506
1,16-Jun-22,HIOC,4,0.172,0.007,0.152,0.003,3.152736
1,16-Jun-22,HIOC,5,0.295,0.005,0.28,0.002,2.364552
1,16-Jun-22,BBOC,1,0.215,0.009,0.192,0.005,3.743874
1,16-Jun-22,BBOC,2,0.231,0.004,0.211,0.006,4.335012
1,16-Jun-22,BBOC,3,0.197,0.007,0.178,0.004,3.152736
1,16-Jun-22,BBOC,4,0.182,0.006,0.172,0.006,1.97046
1,16-Jun-22,BBOC,5,0.116,0.005,0.093,0.005,4.532058
1,17-Jun-22,TBOC,1,0.186,0.004,0.172,0.005,2.95569
1,17-Jun-22,TBOC,2,0.195,0.001,0.186,0.001,1.773414
1,17-Jun-22,TBOC,3,0.101,0.005,0.092,0.003,1.379322
1,17-Jun-22,TBOC,4,0.235,0.007,0.212,0.005,4.137966
1,17-Jun-22,TBOC,5,0.212,0.009,0.199,0.006,1.97046
2,29-Jun-22,HIOC,1,0.279,0.007,0.258,0.005,3.743874
2,29-Jun-22,HIOC,2,0.281,0.003,0.275,0.003,1.182276
2,29-Jun-22,HIOC,3,0.174,0.003,0.143,0.002,5.91138
2,29-Jun-22,HIOC,4,0.251,0.006,0.232,0.004,3.349782
2,29-Jun-22,HIOC,5,0.111,0.008,0.099,0.006,1.97046
2,29-Jun-22,BBOC,1,0.283,0.009,0.267,0.008,2.95569
2,29-Jun-22,BBOC,2,0.166,0.008,0.147,0.007,3.546828
2,29-Jun-22,BBOC,3,0.194,0.009,0.172,0.008,4.137966
2,29-Jun-22,BBOC,4,0.198,0.004,0.172,0.003,4.92615
2,29-Jun-22,BBOC,5,0.279,0.008,0.268,0.006,1.773414
2,30-Jun-22,TBOC,1,0.249,0.005,0.225,0.004,4.532058
2,30-Jun-22,TBOC,2,0.164,0.007,0.157,0.006,1.182276
2,30-Jun-22,TBOC,3,0.206,0.002,0.187,0.003,3.94092
2,30-Jun-22,TBOC,4,0.205,0.005,0.199,0.004,0.98523
2,30-Jun-22,TBOC,5,0.154,0.008,0.137,0.006,2.95569
3,13-Jul-22,HIOC,1,0.231,0.002,0.204,0.001,5.123196
3,13-Jul-22,HIOC,2,0.178,0.007,0.166,0.006,2.167506
3,13-Jul-22,HIOC,3,0.115,0.003,0.093,0.002,4.137966
