Sampling_Period,Date,Lease,Rep,O_665,O_750,A_665,A_750,Chl_a
1,16-Jun-22,BBOC,1,0.142,0.002,0.138,0.004,4.2282
1,16-Jun-22,BBOC,2,0.138,0.008,0.129,0.007,5.6376
1,16-Jun-22,BBOC,3,0.148,0.002,0.142,0.001,3.5235
1,16-Jun-22,HIOC,1,0.143,0.006,0.133,0.002,4.2282
1,16-Jun-22,HIOC,2,0.129,0.003,0.122,0.001,3.5235
1,16-Jun-22,HIOC,3,0.188,0.007,0.181,0.005,3.5235
1,17-Jun-22,TBOC,1,0.142,0.002,0.139,0.001,1.4094
1,17-Jun-22,TBOC,2,0.113,0.008,0.11,0.009,2.8188
1,17-Jun-22,TBOC,3,0.148,0.005,0.144,0.004,2.1141
2,29-Jun-22,BBOC,1,0.137,0.006,0.129,0.005,4.9329
2,29-Jun-22,BBOC,2,0.125,0.004,0.116,0.001,4.2282
2,29-Jun-22,BBOC,3,0.116,0.009,0.107,0.007,4.9329
2,29-Jun-22,HIOC,1,0.112,0.001,0.107,0.001,3.5235
2,29-Jun-22,HIOC,2,0.142,0.009,0.134,0.006,3.5235
2,29-Jun-22,HIOC,3,0.199,0.008,0.192,0.007,4.2282
2,30-Jun-22,TBOC,1,0.193,0.005,0.189,0.004,2.1141
2,30-Jun-22,TBOC,2,0.118,0.002,0.115,0.001,1.4094
2,30-Jun-22,TBOC,3,0.108,0.007,0.104,0.007,2.8188
3,13-Jul-22,BBOC,1,0.094,0.008,0.087,0.007,4.2282
3,13-Jul-22,BBOC,2,0.118,0.007,0.108,0.005,5.6376
3,13-Jul-22,BBOC,3,0.186,0.006,0.177,0.004,4.9329
3,13-Jul-22,HIOC,1,0.129,0.001,0.122,0.001,4.9329
3,13-Jul-22,HIOC,2,0.175,0.005,0.167,0.005,5.6376
3,13-Jul-22,HIOC,3,0.143,0.006,0.138,0.005,2.8188
3,14-Jul-22,TBOC,1,0.151,0.008,0.145,0.007,3.5235
3,14-Jul-22,TBOC,2,0.125,0.002,0.119,0.001,3.5235
3,14-Jul-22,TBOC,3,0.18,0.006,0.176,0.006,2.8188
4,28-Jul-22,BBOC,1,0.145,0.008,0.135,0.007,6.3423
4,28-Jul-22,BBOC,2,0.114,0.011,0.105,0.013,7.7517
4,28-Jul-22,BBOC,3,0.143,0.003,0.132,0.001,6.3423
4,29-Jul-22,TBOC,1,0.138,0.003,0.131,0.001,3.5235
4,29-Jul-22,TBOC,2,0.143,0.006,0.133,0.001,3.5235
4,29-Jul-22,TBOC,3,0.121,0.012,0.119,0.013,2.1141
4,30-Jul-22,HIOC,1,0.1,0.008,0.092,0.008,5.6376
4,30-Jul-22,HIOC,2,0.152,0.004,0.143,0.004,6.3423
4,30-Jul-22,HIOC,3,0.169,0.007,0.155,0.003,7.047
5,11-Aug-22,BBOC,1,0.108,0.007,0.103,0.008,4.2282
5,11-Aug-22,BBOC,2,0.18,0.011,0.166,0.008,7.7517
5,11-Aug-22,BBOC,3,0.2,0.013,0.184,0.005,5.6376
5,11-Aug-22,TBOC,1,0.11,0.008,0.104,0.008,4.2282
5,11-Aug-22,TBOC,2,0.122,0.011,0.119,0.013,3.5235
5,11-Aug-22,TBOC,3,0.15,0.004,0.146,0.003,2.1141
5,12-Aug-22,HIOC,1,0.179,0.008,0.168,0.005,5.6376
5,12-Aug-22,HIOC,2,0.113,0.009,0.109,0.008,2.1141
5,12-Aug-22,HIOC,3,0.145,0.002,0.137,0.001,4.9329
6,24-Aug-22,TBOC,1,0.103,0.001,0.099,0,2.1141
6,24-Aug-22,TBOC,2,0.117,0.003,0.112,0.001,2.1141
6,24-Aug-22,TBOC,3,0.109,0.007,0.099,0.007,7.047
6,25-Aug-22,BBOC,1,0.106,0.008,0.099,0.007,4.2282
6,25-Aug-22,BBOC,2,0.113,0.008,0.103,0.007,6.3423
6,25-Aug-22,BBOC,3,0.178,0.006,0.165,0.005,8.4564
6,26-Aug-22,HIOC,1,0.118,0.009,0.111,0.01,5.6376
6,26-Aug-22,HIOC,2,0.166,0.002,0.156,0.001,6.3423
6,26-Aug-22,HIOC,3,0.177,0.002,0.171,0.001,3.5235
,,Practice,1,0.169,0.01,0.157,0.005,9.8658
,,Practice,2,0.159,0.008,0.148,0.007,14.094
,,Practice,3,0.139,0.009,0.129,0.008,12.6846
