Year,Type,Sampling_Period,Date,Site,Location,Rep,O_665,O_750,A_665,A_750,Chl_a
2021,Benthic,1,23-Jul-21,Middle,BBOC,1,0.201,0.011,0.178,0.009,4.137966
2021,Benthic,1,23-Jul-21,Middle,BBOC,2,0.135,0.005,0.115,0.004,3.743874
2021,Benthic,1,23-Jul-21,Middle,BBOC,3,0.176,0.002,0.159,0.001,3.152736
2021,Benthic,1,23-Jul-21,Middle,BBOC,4,0.189,0.001,0.171,0.001,3.546828
2021,Benthic,1,23-Jul-21,Middle,BBOC,5,0.124,0.003,0.112,0.002,2.167506
2021,Benthic,1,23-Jul-21,Middle,BBOC,6,0.155,0.002,0.132,0.001,4.335012
2021,Benthic,1,23-Jul-21,Middle,BBOC,7,0.221,0.007,0.198,0.005,4.137966
2021,Benthic,1,23-Jul-21,Middle,BBOC,8,0.123,0.006,0.1,0.003,3.94092
2021,Benthic,1,23-Jul-21,Middle,BBOC,9,0.193,0.005,0.165,0.004,5.320242
2021,Benthic,2,10-Aug-21,Middle,BBOC,1,0.312,0.008,0.301,0.004,1.379322
2021,Benthic,2,10-Aug-21,Middle,BBOC,2,0.301,0.002,0.254,0.001,9.064116
2021,Benthic,2,10-Aug-21,Middle,BBOC,3,0.297,0.007,0.252,0.005,8.472978
2021,Benthic,2,10-Aug-21,Middle,BBOC,4,0.187,0.004,0.174,0.001,1.97046
2021,Benthic,2,10-Aug-21,Middle,BBOC,5,0.249,0.006,0.22,0.005,5.517288
2021,Benthic,2,10-Aug-21,Middle,BBOC,6,0.222,0.006,0.202,0.004,3.546828
2021,Benthic,2,10-Aug-21,Middle,BBOC,7,0.235,0.006,0.211,0.003,4.137966
2021,Benthic,2,10-Aug-21,Middle,BBOC,8,0.312,0.002,0.291,0.001,3.94092
2021,Benthic,2,10-Aug-21,Middle,BBOC,9,0.199,0.001,0.179,0,3.743874
2021,Benthic,3,23-Aug-21,Middle,BBOC,1,0.419,0.009,0.384,0.006,6.305472
2021,Benthic,3,23-Aug-21,Middle,BBOC,2,0.387,0.011,0.341,0.009,8.670024
2021,Benthic,3,23-Aug-21,Middle,BBOC,3,0.365,0.012,0.329,0.01,6.699564
2021,Benthic,3,23-Aug-21,Middle,BBOC,4,0.333,0.008,0.301,0.005,5.714334
