Site,Lease,Year,Sample,Sampling_Period,Mean_Chl_a,SE_Chla
North,HIOC,2021,Benthic,1,3.52,0.439
North,HIOC,2021,Benthic,2,4.2,0.936
North,HIOC,2021,Benthic,3,5.66,1.24
North,HIOC,2021,Benthic,4,6.24,1.01
North,HIOC,2022,Benthic,1,3.03,0.339
North,HIOC,2022,Benthic,2,3.23,0.814
North,HIOC,2022,Benthic,3,3.94,0.611
North,HIOC,2022,Benthic,4,5.32,1.06
North,HIOC,2022,Benthic,5,5.91,1.53
North,HIOC,2022,Seawater,1,3.76,0.235
North,HIOC,2022,Seawater,2,3.76,0.235
North,HIOC,2022,Seawater,3,4.46,0.847
North,HIOC,2022,Seawater,4,6.34,0.407
North,HIOC,2022,Seawater,5,4.23,1.08
Middle,BBOC,2021,Benthic,1,3.83,0.288
Middle,BBOC,2021,Benthic,2,4.64,0.878
Middle,BBOC,2021,Benthic,3,6.13,1.13
Middle,BBOC,2021,Benthic,4,6.94,1.07
Middle,BBOC,2022,Benthic,1,3.55,0.462
Middle,BBOC,2022,Benthic,2,3.47,0.535
Middle,BBOC,2022,Benthic,3,4.61,0.887
Middle,BBOC,2022,Benthic,4,6.15,1.01
Middle,BBOC,2022,Benthic,5,7.33,2.12
Middle,BBOC,2022,Seawater,1,4.46,0.621
Middle,BBOC,2022,Seawater,2,4.7,0.235
Middle,BBOC,2022,Seawater,3,4.93,0.407
Middle,BBOC,2022,Seawater,4,6.81,0.47
Middle,BBOC,2022,Seawater,5,5.87,1.02
South,TBOC,2021,Benthic,1,3.09,0.454
South,TBOC,2021,Benthic,2,2.74,0.705
South,TBOC,2021,Benthic,3,2.76,0.616
South,TBOC,2021,Benthic,4,2.52,0.388
South,TBOC,2022,Benthic,1,2.44,0.497
South,TBOC,2022,Benthic,2,2.72,0.714
South,TBOC,2022,Benthic,3,3.23,0.676
South,TBOC,2022,Benthic,4,3.23,0.452
South,TBOC,2022,Benthic,5,3.82,1.61
South,TBOC,2022,Seawater,1,2.11,0.407
South,TBOC,2022,Seawater,2,2.11,0.407
South,TBOC,2022,Seawater,3,3.29,0.235
South,TBOC,2022,Seawater,4,3.05,0.47
South,TBOC,2022,Seawater,5,3.29,0.621
