Sampling,Site,SH_Temp,SH_Tide,MeanGly,SD_Gly,SE_Gly
June,BBOC - Middle,15,No_Tide,4.105959344,1.400868827,0.361702776
June,BBOC - Middle,15,Tide,1.80719199,0.89715881,0.231645409
June,BBOC - Middle,21,No_Tide,1.853806147,1.681203592,0.434084901
June,BBOC - Middle,21,Tide,1.651171441,1.547861077,0.399656012
June,HIOC - North,15,No_Tide,15.02602893,10.83410325,2.797353431
June,HIOC - North,15,Tide,13.70677634,6.726741895,1.736837289
June,HIOC - North,21,No_Tide,15.48802065,12.62316594,3.25928743
June,HIOC - North,21,Tide,14.32065181,7.10890949,1.835512538
June,TBOC - South,15,No_Tide,2.360865823,1.790999152,0.462433993
June,TBOC - South,15,Tide,1.620381871,0.882884337,0.227959756
June,TBOC - South,21,No_Tide,2.596886966,0.829180295,0.214093432
June,TBOC - South,21,Tide,2.226278765,1.806419759,0.466415576
August,BBOC - Middle,15,No_Tide,13.27915582,5.944312687,1.534814936
August,BBOC - Middle,15,Tide,14.15354189,7.446754863,1.922743838
August,BBOC - Middle,21,No_Tide,9.277747072,4.996962135,1.290210075
August,BBOC - Middle,21,Tide,7.157777681,3.520107766,0.908887917
August,HIOC - North,15,No_Tide,8.478883744,4.318483688,1.115027694
August,HIOC - North,15,Tide,7.665435271,4.223974382,1.090625496
August,HIOC - North,21,No_Tide,12.02693409,7.048080403,1.819806535
August,HIOC - North,21,Tide,11.13131079,6.404079036,1.653526097
August,TBOC - South,15,No_Tide,4.873884599,6.585770705,1.700438684
August,TBOC - South,15,Tide,3.413623377,1.581200664,0.422593653
August,TBOC - South,21,No_Tide,1.816739484,0.879984061,0.227210907
August,TBOC - South,21,Tide,3.767389487,2.838308581,0.732848124
