Sampling_Time,Site,Location,Bag,Rep,L,W
1,North,HIOC,1,1,4.267,2.867
1,North,HIOC,1,2,4.216,2.87
1,North,HIOC,1,3,4.497,2.535
1,North,HIOC,1,4,3.507,2.948
1,North,HIOC,1,5,3.993,3.549
1,North,HIOC,1,6,4.193,2.515
1,North,HIOC,1,7,3.821,3.416
1,North,HIOC,1,8,4.262,2.829
1,North,HIOC,1,9,5.041,2.839
1,North,HIOC,1,10,4.637,3.095
1,North,HIOC,1,11,4.091,3.066
1,North,HIOC,1,12,4.422,3.278
1,North,HIOC,1,13,3.686,2.347
1,North,HIOC,1,14,2.941,2.301
1,North,HIOC,1,15,4.112,2.862
1,North,HIOC,1,16,4.647,2.727
1,North,HIOC,1,17,4.096,2.987
1,North,HIOC,1,18,3.809,2.242
1,North,HIOC,1,19,4.383,2.817
1,North,HIOC,1,20,4.113,2.332
1,North,HIOC,2,1,3.654,2.653
1,North,HIOC,2,2,4.915,3.053
1,North,HIOC,2,3,3.526,2.862
1,North,HIOC,2,4,4.894,3.354
1,North,HIOC,2,5,3.454,2.684
1,North,HIOC,2,6,2.856,2.14
1,North,HIOC,2,7,3.714,2.387
1,North,HIOC,2,8,3.438,2.663
1,North,HIOC,2,9,3.989,3.018
1,North,HIOC,2,10,4.356,3.26
1,North,HIOC,2,11,4.104,3.313
1,North,HIOC,2,12,4.452,2.911
1,North,HIOC,2,13,3.583,2.178
1,North,HIOC,2,14,4.006,3.007
1,North,HIOC,2,15,4.641,2.455
1,North,HIOC,2,16,4.061,2.725
1,North,HIOC,2,17,4.381,2.321
1,North,HIOC,2,18,4.274,3.043
1,North,HIOC,2,19,4.739,2.598
1,North,HIOC,2,20,3.778,2.229
1,North,HIOC,3,1,4.466,2.704
1,North,HIOC,3,2,4.145,2.703
1,North,HIOC,3,3,4.156,2.154
1,North,HIOC,3,4,3.846,2.98
1,North,HIOC,3,5,4.528,3.166
1,North,HIOC,3,6,4.394,3.306
1,North,HIOC,3,7,4.171,2.972
1,North,HIOC,3,8,5.221,3.102
1,North,HIOC,3,9,3.759,2.476
1,North,HIOC,3,10,4.318,3.335
1,North,HIOC,3,11,4.45,3.149
1,North,HIOC,3,12,4.173,2.392
1,North,HIOC,3,13,3.789,2.771
1,North,HIOC,3,14,4.67,3.159
1,North,HIOC,3,15,3.321,2.667
1,North,HIOC,3,16,3.399,2.473
1,North,HIOC,3,17,4.524,3.115
1,North,HIOC,3,18,4.514,3.063
1,North,HIOC,3,19,3.838,2.732
1,North,HIOC,3,20,4.165,2.416
1,North,HIOC,4,1,5.021,2.984
1,North,HIOC,4,2,3.35,2.498
1,North,HIOC,4,3,4.931,3.448
1,North,HIOC,4,4,4.06,2.962
1,North,HIOC,4,5,3.924,2.226
1,North,HIOC,4,6,4.211,2.88
1,North,HIOC,4,7,4.186,2.827
1,North,HIOC,4,8,4.533,3.144
1,North,HIOC,4,9,3.892,2.817
1,North,HIOC,4,10,4.164,2.386
1,North,HIOC,4,11,4.651,2.513
1,North,HIOC,4,12,3.942,2.733
1,North,HIOC,4,13,3.41,2.694
1,North,HIOC,4,14,3.791,2.767
1,North,HIOC,4,15,4.348,2.744
1,North,HIOC,4,16,4.295,2.577
1,North,HIOC,4,17,4.226,2.65
1,North,HIOC,4,18,4.262,2.335
1,North,HIOC,4,19,4.506,2.474
1,North,HIOC,4,20,4.013,2.738
5,North,HIOC,1,1,6.945,3.817
5,North,HIOC,1,2,6.669,2.636
5,North,HIOC,1,3,5.385,3.567
5,North,HIOC,1,4,5.761,3.614
5,North,HIOC,1,5,5.023,4.749
5,North,HIOC,1,6,6.294,3.944
5,North,HIOC,1,7,5.363,3.186
5,North,HIOC,1,8,4.842,3.425
5,North,HIOC,1,9,4.348,2.777
5,North,HIOC,1,10,5.867,3.772
5,North,HIOC,1,11,5.493,3.3
5,North,HIOC,1,12,5.241,2.849
5,North,HIOC,1,13,4.958,3.545
5,North,HIOC,1,14,5.847,3.419
5,North,HIOC,1,15,4.91,2.795
5,North,HIOC,1,16,6.385,3.236
5,North,HIOC,1,17,5.405,3.141
5,North,HIOC,1,18,6.437,3.799
5,North,HIOC,1,19,5.627,3.295
5,North,HIOC,1,20,4.863,4.078
5,North,HIOC,2,1,4.81,3.731
5,North,HIOC,2,2,3.904,3.172
5,North,HIOC,2,3,4.495,3.494
5,North,HIOC,2,4,6.007,3.663
5,North,HIOC,2,5,4.854,3.641
