Sampling_Time,Rep,L/W,Size_cm
0,1,L,3.627
0,1,W,2.747
0,2,L,3.157
0,2,W,2.147
0,3,L,2.863
0,3,W,2.584
0,4,L,3.137
0,4,W,2.319
0,5,L,2.875
0,5,W,2.18
0,6,L,2.996
0,6,W,2.536
0,7,L,3.301
0,7,W,2.172
0,8,L,3.328
0,8,W,2.28
0,9,L,3.135
0,9,W,2.196
0,10,L,3.173
0,10,W,2.092
0,11,L,2.95
0,11,W,2.294
0,12,L,3.078
0,12,W,2.368
0,13,L,3.566
0,13,W,2.177
0,14,L,2.689
0,14,W,1.99
0,15,L,3.227
0,15,W,2.05
0,16,L,2.524
0,16,W,2.373
0,17,L,3.694
0,17,W,2.05
0,18,L,2.175
0,18,W,1.836
0,19,L,1.998
0,19,W,1.694
0,20,L,2.358
0,20,W,2.27
0,21,L,2.409
0,21,W,2.484
0,22,L,3.303
0,22,W,2.218
0,23,L,2.675
0,23,W,2.111
0,24,L,2.551
0,24,W,2.07
0,25,L,3.232
0,25,W,1.997
0,26,L,3.502
0,26,W,2.475
0,27,L,2.66
0,27,W,2.642
0,28,L,2.887
0,28,W,2.263
0,29,L,2.655
0,29,W,2.137
0,30,L,3.168
0,30,W,2.362
0,31,L,3.368
0,31,W,2.096
0,32,L,3.442
0,32,W,2.282
0,33,L,2.539
0,33,W,2.201
0,34,L,2.972
0,34,W,2.519
0,35,L,2.573
0,35,W,1.598
0,36,L,2.941
0,36,W,2.771
0,37,L,2.63
0,37,W,2.057
0,38,L,2.591
0,38,W,1.848
0,39,L,2.903
0,39,W,2.299
0,40,L,3.04
0,40,W,2.26
0,41,L,3.563
0,41,W,2.818
0,42,L,3.118
0,42,W,2.208
0,43,L,3.678
0,43,W,2.13
0,44,L,3.787
0,44,W,2.304
0,45,L,3.094
0,45,W,1.913
0,46,L,444.703
0,46,W,319.19
0,47,L,340.485
0,47,W,245.522
0,48,L,389.158
0,48,W,320.056
0,49,L,423.68
0,49,W,307.61
0,50,L,470.272
0,50,W,304.907
0,51,L,3.505
0,51,W,2.291
0,52,L,3.231
0,52,W,1.999
0,53,L,3.321
0,53,W,1.801
0,54,L,4.247
0,54,W,2.234
0,55,L,3.602
0,55,W,2.027
0,56,L,3.573
0,56,W,2.122
0,57,L,3.62
0,57,W,2.498
0,58,L,2.881
0,58,W,1.87
0,59,L,3.42
0,59,W,2.054
0,60,L,3.375
0,60,W,2.106
0,61,L,3.179
0,61,W,2.33
0,62,L,3.51
0,62,W,2.386
0,63,L,3.526
0,63,W,2.284
0,64,L,3.964
0,64,W,2.395
0,65,L,2.699
0,65,W,2.505
0,66,L,3.793
0,66,W,2.457
0,67,L,2.871
0,67,W,2.054
0,68,L,3.341
0,68,W,2.054
0,69,L,3.082
0,69,W,2.059
0,70,L,3.065
0,70,W,2.563
0,71,L,2.735
0,71,W,1.948
0,72,L,3.406
0,72,W,2.092
0,73,L,2.79
0,73,W,2.148
0,74,L,2.979
0,74,W,2.361
0,75,L,3.469
0,75,W,1.99
0,76,L,3.91
0,76,W,2.899
0,77,L,4.034
0,77,W,2.209
0,78,L,3.525
0,78,W,2.063
0,79,L,3.749
0,79,W,2.34
0,80,L,3.126
0,80,W,2.196
