Sampling_Time,Site,Location,Bag,Rep,L_W,Size_cm
1,North,HIOC,1,1,L,4.267
1,North,HIOC,1,1,W,2.867
1,North,HIOC,1,2,L,4.216
1,North,HIOC,1,2,W,2.87
1,North,HIOC,1,3,L,4.497
1,North,HIOC,1,3,W,2.535
1,North,HIOC,1,4,L,3.507
1,North,HIOC,1,4,W,2.948
1,North,HIOC,1,5,L,3.993
1,North,HIOC,1,5,W,3.549
1,North,HIOC,1,6,L,4.193
1,North,HIOC,1,6,W,2.515
1,North,HIOC,1,7,L,3.821
1,North,HIOC,1,7,W,3.416
1,North,HIOC,1,8,L,4.262
1,North,HIOC,1,8,W,2.829
1,North,HIOC,1,9,L,5.041
1,North,HIOC,1,9,W,2.839
1,North,HIOC,1,10,L,4.637
1,North,HIOC,1,10,W,3.095
1,North,HIOC,1,11,L,4.091
1,North,HIOC,1,11,W,3.066
1,North,HIOC,1,12,L,4.422
1,North,HIOC,1,12,W,3.278
1,North,HIOC,1,13,L,3.686
1,North,HIOC,1,13,W,2.347
1,North,HIOC,1,14,L,2.941
1,North,HIOC,1,14,W,2.301
1,North,HIOC,1,15,L,4.112
1,North,HIOC,1,15,W,2.862
1,North,HIOC,1,16,L,4.647
1,North,HIOC,1,16,W,2.727
1,North,HIOC,1,17,L,4.096
1,North,HIOC,1,17,W,2.987
1,North,HIOC,1,18,L,3.809
1,North,HIOC,1,18,W,2.242
1,North,HIOC,1,19,L,4.383
1,North,HIOC,1,19,W,2.817
1,North,HIOC,1,20,L,4.113
1,North,HIOC,1,20,W,2.332
1,North,HIOC,2,1,L,3.654
1,North,HIOC,2,1,W,2.653
1,North,HIOC,2,2,L,4.915
1,North,HIOC,2,2,W,3.053
1,North,HIOC,2,3,L,3.526
1,North,HIOC,2,3,W,2.862
1,North,HIOC,2,4,L,4.894
1,North,HIOC,2,4,W,3.354
1,North,HIOC,2,5,L,3.454
1,North,HIOC,2,5,W,2.684
1,North,HIOC,2,6,L,2.856
1,North,HIOC,2,6,W,2.14
1,North,HIOC,2,7,L,3.714
1,North,HIOC,2,7,W,2.387
1,North,HIOC,2,8,L,3.438
1,North,HIOC,2,8,W,2.663
1,North,HIOC,2,9,L,3.989
1,North,HIOC,2,9,W,3.018
1,North,HIOC,2,10,L,4.356
1,North,HIOC,2,10,W,3.26
1,North,HIOC,2,11,L,4.104
1,North,HIOC,2,11,W,3.313
1,North,HIOC,2,12,L,4.452
1,North,HIOC,2,12,W,2.911
1,North,HIOC,2,13,L,3.583
1,North,HIOC,2,13,W,2.178
1,North,HIOC,2,14,L,4.006
1,North,HIOC,2,14,W,3.007
1,North,HIOC,2,15,L,4.641
1,North,HIOC,2,15,W,2.455
1,North,HIOC,2,16,L,4.061
1,North,HIOC,2,16,W,2.725
1,North,HIOC,2,17,L,4.381
1,North,HIOC,2,17,W,2.321
1,North,HIOC,2,18,L,4.274
1,North,HIOC,2,18,W,3.043
1,North,HIOC,2,19,L,4.739
1,North,HIOC,2,19,W,2.598
1,North,HIOC,2,20,L,3.778
1,North,HIOC,2,20,W,2.229
1,North,HIOC,3,1,L,4.466
1,North,HIOC,3,1,W,2.704
1,North,HIOC,3,2,L,4.145
1,North,HIOC,3,2,W,2.703
1,North,HIOC,3,3,L,4.156
1,North,HIOC,3,3,W,2.154
1,North,HIOC,3,4,L,3.846
1,North,HIOC,3,4,W,2.98
