Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
1,Middle,BBOC,M. gigas,No Tide,21,51,1,2.282,1.89
1,Middle,BBOC,M. gigas,No Tide,21,51,2,2.922,1.732
1,Middle,BBOC,M. gigas,No Tide,21,51,3,2.287,1.649
1,Middle,BBOC,M. gigas,No Tide,21,51,4,2.315,2.093
1,Middle,BBOC,M. gigas,No Tide,21,51,5,2.587,1.977
1,Middle,BBOC,M. gigas,No Tide,21,51,6,2.094,1.849
1,Middle,BBOC,M. gigas,No Tide,21,51,7,1.987,1.794
1,Middle,BBOC,M. gigas,No Tide,21,51,8,2.294,1.745
1,Middle,BBOC,M. gigas,No Tide,21,51,9,2.952,1.863
1,Middle,BBOC,M. gigas,No Tide,21,51,10,2.315,1.686
1,Middle,BBOC,M. gigas,No Tide,21,52,1,2.544,1.977
1,Middle,BBOC,M. gigas,No Tide,21,52,2,2.117,1.745
1,Middle,BBOC,M. gigas,No Tide,21,52,3,3.096,2.18
1,Middle,BBOC,M. gigas,No Tide,21,52,4,2.64,2.032
1,Middle,BBOC,M. gigas,No Tide,21,52,5,2.253,1.775
1,Middle,BBOC,M. gigas,No Tide,21,52,6,2.469,1.753
1,Middle,BBOC,M. gigas,No Tide,21,52,7,2.485,1.817
1,Middle,BBOC,M. gigas,No Tide,21,52,8,2.274,1.718
1,Middle,BBOC,M. gigas,No Tide,21,52,9,2.91,1.891
1,Middle,BBOC,M. gigas,No Tide,21,52,10,2.447,1.913
1,Middle,BBOC,M. gigas,No Tide,21,53,1,3.069,2.239
1,Middle,BBOC,M. gigas,No Tide,21,53,2,2.976,1.878
1,Middle,BBOC,M. gigas,No Tide,21,53,3,2.891,1.986
1,Middle,BBOC,M. gigas,No Tide,21,53,4,2.084,1.518
1,Middle,BBOC,M. gigas,No Tide,21,53,5,2.327,1.639
1,Middle,BBOC,M. gigas,No Tide,21,53,6,2.97,1.926
1,Middle,BBOC,M. gigas,No Tide,21,53,7,2.417,1.868
1,Middle,BBOC,M. gigas,No Tide,21,53,8,2.648,2.148
1,Middle,BBOC,M. gigas,No Tide,21,53,9,2.486,1.893
1,Middle,BBOC,M. gigas,No Tide,21,53,10,2.313,1.972
1,Middle,BBOC,M. gigas,No Tide,16,54,1,3.182,1.853
1,Middle,BBOC,M. gigas,No Tide,16,54,2,2.61,1.94
1,Middle,BBOC,M. gigas,No Tide,16,54,3,2,2.042
1,Middle,BBOC,M. gigas,No Tide,16,54,4,3.506,2.521
1,Middle,BBOC,M. gigas,No Tide,16,54,5,2.39,2.016
1,Middle,BBOC,M. gigas,No Tide,16,54,6,2.944,2.084
1,Middle,BBOC,M. gigas,No Tide,16,54,7,2.186,2.361
1,Middle,BBOC,M. gigas,No Tide,16,54,8,2.9,1.961
1,Middle,BBOC,M. gigas,No Tide,16,54,9,2.39,1.867
1,Middle,BBOC,M. gigas,No Tide,16,54,10,2.39,1.862
1,Middle,BBOC,M. gigas,No Tide,16,55,1,3.108,2.084
1,Middle,BBOC,M. gigas,No Tide,16,55,2,3.247,2.223
1,Middle,BBOC,M. gigas,No Tide,16,55,3,2.267,1.592
1,Middle,BBOC,M. gigas,No Tide,16,55,4,2.58,1.915
1,Middle,BBOC,M. gigas,No Tide,16,55,5,2.959,2.536
1,Middle,BBOC,M. gigas,No Tide,16,55,6,2.892,2.042
1,Middle,BBOC,M. gigas,No Tide,16,55,7,1.447,1.697
1,Middle,BBOC,M. gigas,No Tide,16,55,8,3.189,2.027
1,Middle,BBOC,M. gigas,No Tide,16,55,9,1.906,1.63
1,Middle,BBOC,M. gigas,No Tide,16,55,10,2.945,1.481
1,Middle,BBOC,M. gigas,No Tide,16,56,1,3.029,1.991
1,Middle,BBOC,M. gigas,No Tide,16,56,2,2.937,1.874
1,Middle,BBOC,M. gigas,No Tide,16,56,3,3.397,2.23
1,Middle,BBOC,M. gigas,No Tide,16,56,4,2.726,1.895
1,Middle,BBOC,M. gigas,No Tide,16,56,5,2.661,2.191
1,Middle,BBOC,M. gigas,No Tide,16,56,6,2.792,1.822
1,Middle,BBOC,M. gigas,No Tide,16,56,7,2.362,1.721
1,Middle,BBOC,M. gigas,No Tide,16,56,8,3.399,2.106
1,Middle,BBOC,M. gigas,No Tide,16,56,9,3.003,2.158
1,Middle,BBOC,M. gigas,No Tide,16,56,10,3.53,2.211
4,Middle,BBOC,M. gigas,No Tide,21,51,1,3.893,2.594
4,Middle,BBOC,M. gigas,No Tide,21,51,2,3.777,2.493
4,Middle,BBOC,M. gigas,No Tide,21,51,3,3.428,3.277
4,Middle,BBOC,M. gigas,No Tide,21,51,4,3.584,2.546
4,Middle,BBOC,M. gigas,No Tide,21,51,5,3.9,2.449
4,Middle,BBOC,M. gigas,No Tide,21,51,6,4.374,3.026
4,Middle,BBOC,M. gigas,No Tide,21,51,7,3.823,2.582
4,Middle,BBOC,M. gigas,No Tide,21,51,8,3.231,2.371
4,Middle,BBOC,M. gigas,No Tide,21,51,9,3.029,2.491
4,Middle,BBOC,M. gigas,No Tide,21,51,10,2.816,2.836
4,Middle,BBOC,M. gigas,No Tide,21,52,1,3.459,2.413
4,Middle,BBOC,M. gigas,No Tide,21,52,2,3.291,2.241
4,Middle,BBOC,M. gigas,No Tide,21,52,3,3.721,2.975
4,Middle,BBOC,M. gigas,No Tide,21,52,4,3.173,2.397
4,Middle,BBOC,M. gigas,No Tide,21,52,5,3.711,2.736
4,Middle,BBOC,M. gigas,No Tide,21,52,6,3.796,3.251
4,Middle,BBOC,M. gigas,No Tide,21,52,7,3.267,2.694
4,Middle,BBOC,M. gigas,No Tide,21,52,8,3.933,2.582
4,Middle,BBOC,M. gigas,No Tide,21,52,9,2.95,2.566
4,Middle,BBOC,M. gigas,No Tide,21,52,10,4.161,3.017
4,Middle,BBOC,M. gigas,No Tide,21,53,1,4.395,3.018
4,Middle,BBOC,M. gigas,No Tide,21,53,2,3.466,2.645
4,Middle,BBOC,M. gigas,No Tide,21,53,3,4.391,2.542
4,Middle,BBOC,M. gigas,No Tide,21,53,4,4.49,3.092
4,Middle,BBOC,M. gigas,No Tide,21,53,5,3.901,2.56
4,Middle,BBOC,M. gigas,No Tide,21,53,6,4.709,3.361
4,Middle,BBOC,M. gigas,No Tide,21,53,7,2.571,2.995
4,Middle,BBOC,M. gigas,No Tide,21,53,8,3.363,3.001
4,Middle,BBOC,M. gigas,No Tide,21,53,9,4.52,3.061
4,Middle,BBOC,M. gigas,No Tide,21,53,10,4.387,2.529
4,Middle,BBOC,M. gigas,No Tide,16,54,1,3.877,2.649
4,Middle,BBOC,M. gigas,No Tide,16,54,2,2.533,2.282
4,Middle,BBOC,M. gigas,No Tide,16,54,3,3.638,2.549
4,Middle,BBOC,M. gigas,No Tide,16,54,4,3.497,2.548
4,Middle,BBOC,M. gigas,No Tide,16,54,5,3.935,2.252
4,Middle,BBOC,M. gigas,No Tide,16,54,6,4.373,2.971
4,Middle,BBOC,M. gigas,No Tide,16,54,7,2.925,3.05
4,Middle,BBOC,M. gigas,No Tide,16,54,8,2.984,2.319
4,Middle,BBOC,M. gigas,No Tide,16,54,9,4.532,2.894
4,Middle,BBOC,M. gigas,No Tide,16,55,1,3.887,2.436
4,Middle,BBOC,M. gigas,No Tide,16,55,2,4.256,2.46
4,Middle,BBOC,M. gigas,No Tide,16,55,3,3.514,2.686
4,Middle,BBOC,M. gigas,No Tide,16,55,4,3.217,1.998
4,Middle,BBOC,M. gigas,No Tide,16,55,5,3.13,2.279
4,Middle,BBOC,M. gigas,No Tide,16,55,6,3.882,2.889
4,Middle,BBOC,M. gigas,No Tide,16,55,7,3.213,3.31
4,Middle,BBOC,M. gigas,No Tide,16,55,8,3.468,2.351
4,Middle,BBOC,M. gigas,No Tide,16,55,9,3.516,2.518
4,Middle,BBOC,M. gigas,No Tide,16,56,1,5.037,2.949
4,Middle,BBOC,M. gigas,No Tide,16,56,3,3.744,2.675
4,Middle,BBOC,M. gigas,No Tide,16,56,4,4.77,3.099
4,Middle,BBOC,M. gigas,No Tide,16,56,5,4,2.28
4,Middle,BBOC,M. gigas,No Tide,16,56,6,4.246,2.858
4,Middle,BBOC,M. gigas,No Tide,16,56,7,4.556,3.19
4,Middle,BBOC,M. gigas,No Tide,16,56,8,4.278,2.69
4,Middle,BBOC,M. gigas,No Tide,16,56,9,4.075,2.901
4,Middle,BBOC,M. gigas,No Tide,16,56,10,4.805,2.633
1,North,HIOC,M. gigas,No Tide,21,41,1,2.367,2.064
1,North,HIOC,M. gigas,No Tide,21,41,2,2.33,1.698
1,North,HIOC,M. gigas,No Tide,21,41,3,1.646,1.426
1,North,HIOC,M. gigas,No Tide,21,41,4,2.513,1.825
1,North,HIOC,M. gigas,No Tide,21,41,5,2.579,1.945
1,North,HIOC,M. gigas,No Tide,21,41,6,2.795,1.998
1,North,HIOC,M. gigas,No Tide,21,41,7,2.312,1.634
1,North,HIOC,M. gigas,No Tide,21,41,8,2.404,1.779
1,North,HIOC,M. gigas,No Tide,21,41,9,2.402,1.74
1,North,HIOC,M. gigas,No Tide,21,41,10,2.212,2.013
1,North,HIOC,M. gigas,No Tide,21,42,1,3.321,2.054
1,North,HIOC,M. gigas,No Tide,21,42,2,2.637,1.988
1,North,HIOC,M. gigas,No Tide,21,42,3,2.698,2.175
1,North,HIOC,M. gigas,No Tide,21,42,4,2.832,1.817
1,North,HIOC,M. gigas,No Tide,21,42,5,2.322,1.904
1,North,HIOC,M. gigas,No Tide,21,42,6,3.122,1.999
1,North,HIOC,M. gigas,No Tide,21,42,7,2.182,1.688
1,North,HIOC,M. gigas,No Tide,21,42,8,1.976,1.655
1,North,HIOC,M. gigas,No Tide,21,42,9,2.123,1.579
1,North,HIOC,M. gigas,No Tide,21,42,10,2.276,1.813
1,North,HIOC,M. gigas,No Tide,21,43,1,2.654,2.123
1,North,HIOC,M. gigas,No Tide,21,43,2,2.355,1.659
1,North,HIOC,M. gigas,No Tide,21,43,3,3.053,1.846
1,North,HIOC,M. gigas,No Tide,21,43,4,3.568,2.079
1,North,HIOC,M. gigas,No Tide,21,43,5,2.136,1.581
1,North,HIOC,M. gigas,No Tide,21,43,6,2.337,1.986
1,North,HIOC,M. gigas,No Tide,21,43,7,2.44,1.504
1,North,HIOC,M. gigas,No Tide,21,43,8,2.243,1.748
1,North,HIOC,M. gigas,No Tide,21,43,9,2.669,1.942
1,North,HIOC,M. gigas,No Tide,21,43,10,2.846,2.122
1,North,HIOC,M. gigas,No Tide,16,44,1,1.872,1.877
1,North,HIOC,M. gigas,No Tide,16,44,2,2.15,1.72
1,North,HIOC,M. gigas,No Tide,16,44,3,2.222,1.615
1,North,HIOC,M. gigas,No Tide,16,44,4,2.129,2.117
1,North,HIOC,M. gigas,No Tide,16,44,5,1.854,1.618
1,North,HIOC,M. gigas,No Tide,16,44,6,2.058,1.897
1,North,HIOC,M. gigas,No Tide,16,44,7,2.033,1.765
1,North,HIOC,M. gigas,No Tide,16,44,8,2.012,1.678
1,North,HIOC,M. gigas,No Tide,16,44,9,1.812,1.706
1,North,HIOC,M. gigas,No Tide,16,44,10,1.716,1.64
1,North,HIOC,M. gigas,No Tide,16,45,1,2.661,1.986
1,North,HIOC,M. gigas,No Tide,16,45,2,2.232,1.898
1,North,HIOC,M. gigas,No Tide,16,45,3,3.099,1.941
1,North,HIOC,M. gigas,No Tide,16,45,4,2.427,2.118
1,North,HIOC,M. gigas,No Tide,16,45,5,2.853,1.956
1,North,HIOC,M. gigas,No Tide,16,45,6,2.382,1.955
1,North,HIOC,M. gigas,No Tide,16,45,7,1.809,1.53
1,North,HIOC,M. gigas,No Tide,16,45,8,2.72,1.868
1,North,HIOC,M. gigas,No Tide,16,45,9,1.961,1.676
1,North,HIOC,M. gigas,No Tide,16,45,10,2.349,2.004
1,North,HIOC,M. gigas,No Tide,16,46,1,3.287,1.963
1,North,HIOC,M. gigas,No Tide,16,46,2,2.981,2.31
1,North,HIOC,M. gigas,No Tide,16,46,3,3.241,1.817
1,North,HIOC,M. gigas,No Tide,16,46,4,2.589,1.808
1,North,HIOC,M. gigas,No Tide,16,46,5,2.48,2.033
1,North,HIOC,M. gigas,No Tide,16,46,6,2.735,1.794
1,North,HIOC,M. gigas,No Tide,16,46,7,1.718,1.796
1,North,HIOC,M. gigas,No Tide,16,46,8,2.568,2.044
1,North,HIOC,M. gigas,No Tide,16,46,9,2.965,2
1,North,HIOC,M. gigas,No Tide,16,46,10,2.41,1.673
4,North,HIOC,M. gigas,No Tide,21,41,1,3.576,2.488
4,North,HIOC,M. gigas,No Tide,21,41,2,3.199,2.879
4,North,HIOC,M. gigas,No Tide,21,41,3,4.784,2.916
4,North,HIOC,M. gigas,No Tide,21,41,4,3.469,2.458
4,North,HIOC,M. gigas,No Tide,21,41,5,4.07,3.068
4,North,HIOC,M. gigas,No Tide,21,41,6,3.874,2.762
4,North,HIOC,M. gigas,No Tide,21,41,7,2.785,2.254
4,North,HIOC,M. gigas,No Tide,21,41,8,3.284,2.57
4,North,HIOC,M. gigas,No Tide,21,41,9,3.81,2.264
4,North,HIOC,M. gigas,No Tide,21,41,10,3.515,2.269
4,North,HIOC,M. gigas,No Tide,21,42,1,3.401,2.582
4,North,HIOC,M. gigas,No Tide,21,42,2,2.915,2.193
4,North,HIOC,M. gigas,No Tide,21,42,3,2.783,2.313
4,North,HIOC,M. gigas,No Tide,21,42,4,3.903,2.966
4,North,HIOC,M. gigas,No Tide,21,42,5,3.647,2.588
4,North,HIOC,M. gigas,No Tide,21,42,6,2.795,2.06
4,North,HIOC,M. gigas,No Tide,21,42,7,3.688,2.462
4,North,HIOC,M. gigas,No Tide,21,42,8,2.813,2.069
4,North,HIOC,M. gigas,No Tide,21,42,9,2.961,2.08
4,North,HIOC,M. gigas,No Tide,21,43,1,3.113,2.519
4,North,HIOC,M. gigas,No Tide,21,43,2,2.559,1.82
4,North,HIOC,M. gigas,No Tide,21,43,3,3.179,2.272
4,North,HIOC,M. gigas,No Tide,21,43,4,2.587,2.296
4,North,HIOC,M. gigas,No Tide,21,43,5,3.632,2.635
4,North,HIOC,M. gigas,No Tide,21,43,6,2.569,2.695
4,North,HIOC,M. gigas,No Tide,21,43,7,3.963,2.577
4,North,HIOC,M. gigas,No Tide,21,43,8,2.994,2.199
4,North,HIOC,M. gigas,No Tide,21,43,9,2.577,2.323
4,North,HIOC,M. gigas,No Tide,21,43,10,3.094,2.912
4,North,HIOC,M. gigas,No Tide,16,44,1,4.122,2.545
4,North,HIOC,M. gigas,No Tide,16,44,2,4.223,2.908
4,North,HIOC,M. gigas,No Tide,16,44,3,3.083,2.463
4,North,HIOC,M. gigas,No Tide,16,44,4,3.746,2.548
4,North,HIOC,M. gigas,No Tide,16,44,5,3.966,2.71
4,North,HIOC,M. gigas,No Tide,16,44,6,3.126,2.53
4,North,HIOC,M. gigas,No Tide,16,44,7,2.638,2.084
4,North,HIOC,M. gigas,No Tide,16,44,8,3.464,2.324
4,North,HIOC,M. gigas,No Tide,16,44,9,2.682,2.645
4,North,HIOC,M. gigas,No Tide,16,44,10,3.383,2.371
4,North,HIOC,M. gigas,No Tide,16,45,1,2.532,2.155
4,North,HIOC,M. gigas,No Tide,16,45,2,3.111,2.068
4,North,HIOC,M. gigas,No Tide,16,45,3,2.84,2.012
4,North,HIOC,M. gigas,No Tide,16,45,4,3.565,1.976
4,North,HIOC,M. gigas,No Tide,16,45,5,2.403,2.438
4,North,HIOC,M. gigas,No Tide,16,45,6,2.462,2.056
4,North,HIOC,M. gigas,No Tide,16,45,7,2.754,2.01
4,North,HIOC,M. gigas,No Tide,16,45,8,2.913,2.012
4,North,HIOC,M. gigas,No Tide,16,45,9,2.418,2.258
4,North,HIOC,M. gigas,No Tide,16,45,10,2.925,2.071
4,North,HIOC,M. gigas,No Tide,16,46,2,3.453,2.259
4,North,HIOC,M. gigas,No Tide,16,46,3,3.854,2.283
4,North,HIOC,M. gigas,No Tide,16,46,4,4.266,2.654
4,North,HIOC,M. gigas,No Tide,16,46,5,3.313,1.998
4,North,HIOC,M. gigas,No Tide,16,46,6,3.148,2.143
4,North,HIOC,M. gigas,No Tide,16,46,7,3.626,2.98
4,North,HIOC,M. gigas,No Tide,16,46,8,3.187,2.026
4,North,HIOC,M. gigas,No Tide,16,46,9,3.426,2.056
4,North,HIOC,M. gigas,No Tide,16,46,10,3.577,2.205
1,South,TBOC,M. gigas,No Tide,21,61,1,2.937,2.084
1,South,TBOC,M. gigas,No Tide,21,61,2,2.96,1.886
1,South,TBOC,M. gigas,No Tide,21,61,3,2.82,1.977
1,South,TBOC,M. gigas,No Tide,21,61,4,2.255,1.506
1,South,TBOC,M. gigas,No Tide,21,61,5,2.557,1.615
1,South,TBOC,M. gigas,No Tide,21,61,6,2.929,2.018
1,South,TBOC,M. gigas,No Tide,21,61,7,2.891,1.988
1,South,TBOC,M. gigas,No Tide,21,61,8,3.306,1.775
1,South,TBOC,M. gigas,No Tide,21,61,9,2.192,1.994
1,South,TBOC,M. gigas,No Tide,21,61,10,2.346,1.798
