Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
1,Middle,BBOC,C. sikamea,Tide,21,13,1,2.97,2.149
1,Middle,BBOC,C. sikamea,Tide,21,13,2,2.849,2.001
1,Middle,BBOC,C. sikamea,Tide,21,13,3,2.48,2.14
1,Middle,BBOC,C. sikamea,Tide,21,13,4,2.922,2.331
1,Middle,BBOC,C. sikamea,Tide,21,13,5,2.248,1.851
1,Middle,BBOC,C. sikamea,Tide,21,13,6,2.405,1.735
1,Middle,BBOC,C. sikamea,Tide,21,13,7,3.036,2.063
1,Middle,BBOC,C. sikamea,Tide,21,13,8,2.216,1.784
1,Middle,BBOC,C. sikamea,Tide,21,13,9,2.405,2.545
1,Middle,BBOC,C. sikamea,Tide,21,13,10,2.822,2.104
1,Middle,BBOC,C. sikamea,Tide,21,14,1,2.157,2.05
1,Middle,BBOC,C. sikamea,Tide,21,14,2,2.762,2.071
1,Middle,BBOC,C. sikamea,Tide,21,14,3,2.644,2.077
1,Middle,BBOC,C. sikamea,Tide,21,14,4,3.075,1.97
1,Middle,BBOC,C. sikamea,Tide,21,14,5,2.658,2.243
1,Middle,BBOC,C. sikamea,Tide,21,14,6,2.827,2.007
1,Middle,BBOC,C. sikamea,Tide,21,14,7,2.867,1.747
1,Middle,BBOC,C. sikamea,Tide,21,14,8,2.657,1.913
1,Middle,BBOC,C. sikamea,Tide,21,14,9,2.946,2.258
1,Middle,BBOC,C. sikamea,Tide,21,14,10,2.926,1.898
1,Middle,BBOC,C. sikamea,Tide,21,15,1,2.639,2.142
1,Middle,BBOC,C. sikamea,Tide,21,15,2,2.534,2.108
1,Middle,BBOC,C. sikamea,Tide,21,15,3,3.751,2.405
1,Middle,BBOC,C. sikamea,Tide,21,15,4,2.493,1.777
1,Middle,BBOC,C. sikamea,Tide,21,15,5,2.97,2.24
1,Middle,BBOC,C. sikamea,Tide,21,15,6,3.183,2.443
1,Middle,BBOC,C. sikamea,Tide,21,15,7,2.716,2.03
1,Middle,BBOC,C. sikamea,Tide,21,15,8,2.612,1.989
1,Middle,BBOC,C. sikamea,Tide,21,15,9,2.557,2.106
1,Middle,BBOC,C. sikamea,Tide,21,15,10,2.755,1.946
1,Middle,BBOC,C. sikamea,Tide,16,16,1,3.05,1.934
1,Middle,BBOC,C. sikamea,Tide,16,16,2,2.549,1.719
1,Middle,BBOC,C. sikamea,Tide,16,16,3,2.868,2.294
1,Middle,BBOC,C. sikamea,Tide,16,16,4,2.25,1.945
1,Middle,BBOC,C. sikamea,Tide,16,16,5,2.391,1.933
1,Middle,BBOC,C. sikamea,Tide,16,16,6,3.327,2.546
1,Middle,BBOC,C. sikamea,Tide,16,16,7,2.973,2.521
1,Middle,BBOC,C. sikamea,Tide,16,16,8,2.267,1.917
1,Middle,BBOC,C. sikamea,Tide,16,16,9,2.731,2.458
1,Middle,BBOC,C. sikamea,Tide,16,16,10,2.318,1.988
1,Middle,BBOC,C. sikamea,Tide,16,17,1,2.5,2
1,Middle,BBOC,C. sikamea,Tide,16,17,2,2.726,2.201
1,Middle,BBOC,C. sikamea,Tide,16,17,3,2.578,2.422
1,Middle,BBOC,C. sikamea,Tide,16,17,4,2.191,2.191
1,Middle,BBOC,C. sikamea,Tide,16,17,5,2.73,2.19
1,Middle,BBOC,C. sikamea,Tide,16,17,6,2.86,2.207
1,Middle,BBOC,C. sikamea,Tide,16,17,7,2.592,2.057
1,Middle,BBOC,C. sikamea,Tide,16,17,8,2.612,2.06
1,Middle,BBOC,C. sikamea,Tide,16,17,9,2.941,2.42
1,Middle,BBOC,C. sikamea,Tide,16,17,10,2.291,1.833
1,Middle,BBOC,C. sikamea,Tide,16,18,1,2.653,2.203
1,Middle,BBOC,C. sikamea,Tide,16,18,2,3.225,2.246
1,Middle,BBOC,C. sikamea,Tide,16,18,3,2.378,1.515
1,Middle,BBOC,C. sikamea,Tide,16,18,4,3.066,2.321
1,Middle,BBOC,C. sikamea,Tide,16,18,5,2.667,1.927
