Sampling_Time,Date,SH_Tide,SH_Temp,Tank,Species,Rep,,L/W,Size_cm
End SH,July-10-2021,No Tide,16,1,C. sikamea,1,,L,2.258
End SH,July-10-2021,No Tide,16,1,C. sikamea,1,,W,2.105
End SH,July-10-2021,No Tide,16,1,C. sikamea,2,,L,2.861
End SH,July-10-2021,No Tide,16,1,C. sikamea,2,,W,2.134
End SH,July-10-2021,No Tide,16,1,C. sikamea,3,,L,2.189
End SH,July-10-2021,No Tide,16,1,C. sikamea,3,,W,2.26
End SH,July-10-2021,No Tide,16,1,C. sikamea,4,,L,2.806
End SH,July-10-2021,No Tide,16,1,C. sikamea,4,,W,1.845
End SH,July-10-2021,No Tide,16,1,C. sikamea,5,,L,2.792
End SH,July-10-2021,No Tide,16,1,C. sikamea,5,,W,2.039
End SH,July-10-2021,No Tide,16,1,C. sikamea,6,,L,3.149
End SH,July-10-2021,No Tide,16,1,C. sikamea,6,,W,1.989
End SH,July-10-2021,No Tide,16,1,C. sikamea,7,,L,2.726
End SH,July-10-2021,No Tide,16,1,C. sikamea,7,,W,1.836
End SH,July-10-2021,No Tide,16,1,C. sikamea,8,,L,3.182
End SH,July-10-2021,No Tide,16,1,C. sikamea,8,,W,1.585
End SH,July-10-2021,No Tide,16,1,C. sikamea,9,,L,2.911
End SH,July-10-2021,No Tide,16,1,C. sikamea,9,,W,2.061
End SH,July-10-2021,No Tide,16,1,C. sikamea,10,,L,3.116
End SH,July-10-2021,No Tide,16,1,C. sikamea,10,,W,2.044
End SH,July-10-2021,No Tide,16,2,M. gigas,1,,L,1.865
End SH,July-10-2021,No Tide,16,2,M. gigas,1,,W,1.525
End SH,July-10-2021,No Tide,16,2,M. gigas,2,,L,1.987
End SH,July-10-2021,No Tide,16,2,M. gigas,2,,W,1.868
End SH,July-10-2021,No Tide,16,2,M. gigas,3,,L,2.23
End SH,July-10-2021,No Tide,16,2,M. gigas,3,,W,1.603
End SH,July-10-2021,No Tide,16,2,M. gigas,4,,L,2.174
End SH,July-10-2021,No Tide,16,2,M. gigas,4,,W,1.726
End SH,July-10-2021,No Tide,16,2,M. gigas,5,,L,2.024
End SH,July-10-2021,No Tide,16,2,M. gigas,5,,W,1.736
End SH,July-10-2021,No Tide,16,2,M. gigas,6,,L,2.628
End SH,July-10-2021,No Tide,16,2,M. gigas,6,,W,1.537
End SH,July-10-2021,No Tide,16,2,M. gigas,7,,L,2.524
End SH,July-10-2021,No Tide,16,2,M. gigas,7,,W,1.527
End SH,July-10-2021,No Tide,16,2,M. gigas,8,,L,2.149
End SH,July-10-2021,No Tide,16,2,M. gigas,8,,W,1.732
End SH,July-10-2021,No Tide,16,2,M. gigas,9,,L,2.578
End SH,July-10-2021,No Tide,16,2,M. gigas,9,,W,1.702
End SH,July-10-2021,No Tide,16,2,M. gigas,10,,L,1.78
End SH,July-10-2021,No Tide,16,2,M. gigas,10,,W,1.56
End SH,July-10-2021,No Tide,16,3,C. sikamea,1,,L,2.672
End SH,July-10-2021,No Tide,16,3,C. sikamea,1,,W,2.069
End SH,July-10-2021,No Tide,16,3,C. sikamea,2,,L,2.595
End SH,July-10-2021,No Tide,16,3,C. sikamea,2,,W,2.293
End SH,July-10-2021,No Tide,16,3,C. sikamea,3,,L,3.18
End SH,July-10-2021,No Tide,16,3,C. sikamea,3,,W,2.34
End SH,July-10-2021,No Tide,16,3,C. sikamea,4,,L,2.323
End SH,July-10-2021,No Tide,16,3,C. sikamea,4,,W,2.745
End SH,July-10-2021,No Tide,16,3,C. sikamea,5,,L,2.832
End SH,July-10-2021,No Tide,16,3,C. sikamea,5,,W,2.508
End SH,July-10-2021,No Tide,16,3,C. sikamea,6,,L,2.659
End SH,July-10-2021,No Tide,16,3,C. sikamea,6,,W,1.807
End SH,July-10-2021,No Tide,16,3,C. sikamea,7,,L,2.492
End SH,July-10-2021,No Tide,16,3,C. sikamea,7,,W,1.915
End SH,July-10-2021,No Tide,16,3,C. sikamea,8,,L,2.613
