Sampling_Time,Date,SH_Tide,SH_Temp,Tank,Species,Rep,,L/W,Size_cm
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,1,,L,2.749
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,1,,W,1.988
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,2,,L,2.872
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,2,,W,2.016
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,3,,L,3.08
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,3,,W,2.194
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,4,,L,2.808
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,4,,W,2.08
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,5,,L,2.794
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,5,,W,2.003
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,6,,L,2.346
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,6,,W,2.056
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,7,,L,2.869
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,7,,W,1.684
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,8,,L,2.239
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,8,,W,1.625
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,9,,L,2.316
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,9,,W,1.873
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,10,,L,2.119
Mid-SH,July-4-2021,No Tide,16,1,C. sikamea,10,,W,1.745
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,1,,L,2.244
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,1,,W,1.808
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,2,,L,2.43
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,2,,W,1.865
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,3,,L,2.197
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,3,,W,1.758
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,4,,L,2.288
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,4,,W,1.694
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,5,,L,2.333
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,5,,W,1.822
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,6,,L,2.685
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,6,,W,1.629
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,7,,L,2.414
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,7,,W,1.637
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,8,,L,2.587
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,8,,W,1.905
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,9,,L,2.17
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,9,,W,1.607
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,10,,L,2.037
Mid-SH,July-4-2021,No Tide,16,2,M. gigas,10,,W,1.494
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,1,,L,3.248
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,1,,W,2.112
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,2,,L,2.922
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,2,,W,2.047
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,3,,L,2.431
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,3,,W,2.233
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,4,,L,2.594
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,4,,W,2.095
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,5,,L,3.217
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,5,,W,2.001
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,6,,L,3.067
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,6,,W,2.117
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,7,,L,3.188
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,7,,W,2.056
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,8,,L,3.209
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,8,,W,2.471
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,9,,L,2.75
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,9,,W,2.322
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,10,,L,2.567
Mid-SH,July-4-2021,No Tide,16,3,C. sikamea,10,,W,1.879
Mid-SH,July-4-2021,No Tide,16,4,M. gigas,1,,L,2.864
