Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
1,Middle,BBOC,M. gigas,No Tide,15,13,1,3.14,2.527
1,Middle,BBOC,M. gigas,No Tide,15,13,2,2.752,1.906
1,Middle,BBOC,M. gigas,No Tide,15,13,3,2.679,2.018
1,Middle,BBOC,M. gigas,No Tide,15,13,4,2.479,2.044
1,Middle,BBOC,M. gigas,No Tide,15,13,5,3.108,2.127
1,Middle,BBOC,M. gigas,No Tide,15,13,6,3.048,2.177
1,Middle,BBOC,M. gigas,No Tide,15,13,7,2.72,2.289
1,Middle,BBOC,M. gigas,No Tide,15,13,8,2.677,1.845
1,Middle,BBOC,M. gigas,No Tide,15,13,9,3.62,2.152
1,Middle,BBOC,M. gigas,No Tide,15,13,10,2.487,1.755
1,Middle,BBOC,M. gigas,No Tide,15,14,1,2.695,2.059
1,Middle,BBOC,M. gigas,No Tide,15,14,2,2.729,2.142
1,Middle,BBOC,M. gigas,No Tide,15,14,3,2.692,1.711
1,Middle,BBOC,M. gigas,No Tide,15,14,4,2.992,1.879
1,Middle,BBOC,M. gigas,No Tide,15,14,5,2.413,1.924
1,Middle,BBOC,M. gigas,No Tide,15,14,6,3.136,2.477
1,Middle,BBOC,M. gigas,No Tide,15,14,7,3.103,1.977
1,Middle,BBOC,M. gigas,No Tide,15,14,8,2.552,1.803
1,Middle,BBOC,M. gigas,No Tide,15,14,9,3.232,1.998
1,Middle,BBOC,M. gigas,No Tide,15,14,10,2.975,1.894
1,Middle,BBOC,M. gigas,No Tide,15,15,1,3.904,2.376
1,Middle,BBOC,M. gigas,No Tide,15,15,2,3.95,2.005
1,Middle,BBOC,M. gigas,No Tide,15,15,3,3.588,2.033
1,Middle,BBOC,M. gigas,No Tide,15,15,4,3.048,2.127
1,Middle,BBOC,M. gigas,No Tide,15,15,5,3.831,2.261
1,Middle,BBOC,M. gigas,No Tide,15,15,6,3.259,2.189
1,Middle,BBOC,M. gigas,No Tide,15,15,7,3.108,2.078
1,Middle,BBOC,M. gigas,No Tide,15,15,8,4.055,2.426
1,Middle,BBOC,M. gigas,No Tide,15,15,9,2.708,2.004
1,Middle,BBOC,M. gigas,No Tide,15,15,10,3.354,2.098
1,Middle,BBOC,M. gigas,Tide,15,16,2,3.115,1.899
1,Middle,BBOC,M. gigas,Tide,15,16,3,3.175,1.896
1,Middle,BBOC,M. gigas,Tide,15,16,4,3.46,2.029
1,Middle,BBOC,M. gigas,Tide,15,16,5,2.728,2.297
1,Middle,BBOC,M. gigas,Tide,15,16,6,2.72,2.011
1,Middle,BBOC,M. gigas,Tide,15,16,7,3.055,2.147
1,Middle,BBOC,M. gigas,Tide,15,16,8,3.298,1.994
1,Middle,BBOC,M. gigas,Tide,15,16,9,3.211,2.33
1,Middle,BBOC,M. gigas,Tide,15,16,10,2.554,1.98
1,Middle,BBOC,M. gigas,Tide,15,17,1,4.101,2.082
1,Middle,BBOC,M. gigas,Tide,15,17,2,3.332,2.662
1,Middle,BBOC,M. gigas,Tide,15,17,3,2.76,1.831
1,Middle,BBOC,M. gigas,Tide,15,17,4,2.507,1.871
1,Middle,BBOC,M. gigas,Tide,15,17,5,3.171,2.066
1,Middle,BBOC,M. gigas,Tide,15,17,6,3.529,2.327
1,Middle,BBOC,M. gigas,Tide,15,17,7,3.208,2.301
1,Middle,BBOC,M. gigas,Tide,15,17,8,3.359,2.144
1,Middle,BBOC,M. gigas,Tide,15,17,9,2.703,1.751
1,Middle,BBOC,M. gigas,Tide,15,17,10,3.27,2.335
1,Middle,BBOC,M. gigas,Tide,15,18,1,2.95,2.458
