Sampling_Time,Date,SH_Tide,SH_Temp,Tank,Species,Rep,,L/W,Size_cm
End SH,May-31-2022,No Tide,15,1,C. sikamea,1,,L,3.357
End SH,May-31-2022,No Tide,15,1,C. sikamea,1,,W,2.201
End SH,May-31-2022,No Tide,15,1,C. sikamea,2,,L,3.044
End SH,May-31-2022,No Tide,15,1,C. sikamea,2,,W,1.848
End SH,May-31-2022,No Tide,15,1,C. sikamea,3,,L,3.463
End SH,May-31-2022,No Tide,15,1,C. sikamea,3,,W,2.228
End SH,May-31-2022,No Tide,15,1,C. sikamea,4,,L,2.998
End SH,May-31-2022,No Tide,15,1,C. sikamea,4,,W,1.79
End SH,May-31-2022,No Tide,15,1,C. sikamea,5,,L,2.65
End SH,May-31-2022,No Tide,15,1,C. sikamea,5,,W,1.797
End SH,May-31-2022,No Tide,15,1,C. sikamea,6,,L,3.978
End SH,May-31-2022,No Tide,15,1,M. gigas,6,,W,2.156
End SH,May-31-2022,No Tide,15,1,M. gigas,7,,L,3.16
End SH,May-31-2022,No Tide,15,1,M. gigas,7,,W,2.111
End SH,May-31-2022,No Tide,15,1,M. gigas,8,,L,2.962
End SH,May-31-2022,No Tide,15,1,M. gigas,8,,W,2.056
End SH,May-31-2022,No Tide,15,1,M. gigas,9,,L,3.77
End SH,May-31-2022,No Tide,15,1,M. gigas,9,,W,2.1
End SH,May-31-2022,No Tide,15,1,M. gigas,10,,L,3.131
End SH,May-31-2022,No Tide,15,1,M. gigas,10,,W,1.727
End SH,May-31-2022,No Tide,15,2,M. gigas,1,,L,2.991
End SH,May-31-2022,No Tide,15,2,M. gigas,1,,W,2.285
End SH,May-31-2022,No Tide,15,2,M. gigas,2,,L,3.905
End SH,May-31-2022,No Tide,15,2,M. gigas,2,,W,1.897
End SH,May-31-2022,No Tide,15,2,M. gigas,3,,L,2.756
End SH,May-31-2022,No Tide,15,2,M. gigas,3,,W,1.771
End SH,May-31-2022,No Tide,15,2,M. gigas,4,,L,3.069
End SH,May-31-2022,No Tide,15,2,M. gigas,4,,W,2.465
End SH,May-31-2022,No Tide,15,2,M. gigas,5,,L,3.392
End SH,May-31-2022,No Tide,15,2,M. gigas,5,,W,2.076
End SH,May-31-2022,No Tide,15,2,M. gigas,6,,L,3.201
End SH,May-31-2022,No Tide,15,2,M. gigas,6,,W,2.357
End SH,May-31-2022,No Tide,15,2,M. gigas,7,,L,3.576
End SH,May-31-2022,No Tide,15,2,M. gigas,7,,W,1.845
End SH,May-31-2022,No Tide,15,2,M. gigas,8,,L,3.68
End SH,May-31-2022,No Tide,15,2,M. gigas,8,,W,1.872
End SH,May-31-2022,No Tide,15,2,M. gigas,9,,L,3.705
End SH,May-31-2022,No Tide,15,2,M. gigas,9,,W,2.019
End SH,May-31-2022,No Tide,15,2,M. gigas,10,,L,2.853
End SH,May-31-2022,No Tide,15,2,M. gigas,10,,W,1.801
End SH,May-31-2022,No Tide,15,3,M. gigas,1,,L,2.997
End SH,May-31-2022,No Tide,15,3,M. gigas,1,,W,2.339
End SH,May-31-2022,No Tide,15,3,M. gigas,2,,L,3.136
End SH,May-31-2022,No Tide,15,3,M. gigas,2,,W,1.765
End SH,May-31-2022,No Tide,15,3,M. gigas,3,,L,3.075
End SH,May-31-2022,No Tide,15,3,M. gigas,3,,W,1.961
End SH,May-31-2022,No Tide,15,3,M. gigas,4,,L,2.997
End SH,May-31-2022,No Tide,15,3,M. gigas,4,,W,2.013
End SH,May-31-2022,No Tide,15,3,M. gigas,5,,L,3.233
End SH,May-31-2022,No Tide,15,3,M. gigas,5,,W,1.98
End SH,May-31-2022,No Tide,15,3,M. gigas,6,,L,3.019
End SH,May-31-2022,No Tide,15,3,M. gigas,6,,W,2.092
End SH,May-31-2022,No Tide,15,3,M. gigas,7,,L,3.547
End SH,May-31-2022,No Tide,15,3,M. gigas,7,,W,1.96
End SH,May-31-2022,No Tide,15,3,M. gigas,8,,L,4.264
End SH,May-31-2022,No Tide,15,3,M. gigas,8,,W,2.067
End SH,May-31-2022,No Tide,15,3,M. gigas,9,,L,3.422
End SH,May-31-2022,No Tide,15,3,M. gigas,9,,W,2.039
End SH,May-31-2022,No Tide,15,3,M. gigas,10,,L,4.074
End SH,May-31-2022,No Tide,15,3,M. gigas,10,,W,2.174
End SH,May-31-2022,No Tide,15,4,M. gigas,1,,L,2.843
End SH,May-31-2022,No Tide,15,4,M. gigas,1,,W,2.023
End SH,May-31-2022,No Tide,15,4,M. gigas,2,,L,3.666
End SH,May-31-2022,No Tide,15,4,M. gigas,2,,W,2.201
End SH,May-31-2022,No Tide,15,4,M. gigas,3,,L,3.167
End SH,May-31-2022,No Tide,15,4,M. gigas,3,,W,1.778
End SH,May-31-2022,No Tide,15,4,M. gigas,4,,L,2.897
End SH,May-31-2022,No Tide,15,4,M. gigas,4,,W,1.804
End SH,May-31-2022,No Tide,15,4,M. gigas,5,,L,3.258
