Sampling_Time,Date,SH_Tide,SH_Temp,Tank,Species,Rep,,L/W,Size_cm
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,1,,L,3.281
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,1,,W,1.705
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,2,,L,2.636
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,2,,W,1.92
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,3,,L,2.647
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,3,,W,2.097
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,4,,L,3.004
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,4,,W,1.871
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,5,,L,3.004
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,5,,W,1.905
Pre-SH,May-17-2022,No Tide,15,1,C. sikamea,6,,L,2.431
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,6,,W,1.999
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,7,,L,2.834
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,7,,W,1.909
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,8,,L,2.813
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,8,,W,1.807
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,9,,L,2.783
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,9,,W,1.75
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,10,,L,2.892
Pre-SH,May-17-2022,No Tide,15,1,M. gigas,10,,W,1.647
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,1,,L,2.58
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,1,,W,1.874
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,2,,L,2.38
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,2,,W,1.785
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,3,,L,3.228
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,3,,W,1.809
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,4,,L,2.614
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,4,,W,1.714
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,5,,L,2.584
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,5,,W,1.738
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,6,,L,2.95
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,6,,W,1.66
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,7,,L,3.145
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,7,,W,1.974
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,8,,L,3.011
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,8,,W,1.716
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,9,,L,2.987
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,9,,W,1.968
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,10,,L,3.226
Pre-SH,May-17-2022,No Tide,15,2,M. gigas,10,,W,1.793
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,1,,L,3.885
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,1,,W,1.935
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,2,,L,3.305
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,2,,W,2.196
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,3,,L,2.865
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,3,,W,1.636
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,4,,L,3.168
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,4,,W,1.62
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,5,,L,3.232
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,5,,W,1.894
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,6,,L,2.748
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,6,,W,2.27
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,7,,L,3.321
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,7,,W,1.916
Pre-SH,May-17-2022,No Tide,15,3,M. gigas,8,,L,2.556
