Year,Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,1,2.282,1.89
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,2,2.922,1.732
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,3,2.287,1.649
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,4,2.315,2.093
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,5,2.587,1.977
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,6,2.094,1.849
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,7,1.987,1.794
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,8,2.294,1.745
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,9,2.952,1.863
2021,1,Middle,BBOC,M. gigas,No Tide,21,51,10,2.315,1.686
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,1,2.544,1.977
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,2,2.117,1.745
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,3,3.096,2.18
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,4,2.64,2.032
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,5,2.253,1.775
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,6,2.469,1.753
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,7,2.485,1.817
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,8,2.274,1.718
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,9,2.91,1.891
2021,1,Middle,BBOC,M. gigas,No Tide,21,52,10,2.447,1.913
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,1,3.069,2.239
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,2,2.976,1.878
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,3,2.891,1.986
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,4,2.084,1.518
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,5,2.327,1.639
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,6,2.97,1.926
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,7,2.417,1.868
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,8,2.648,2.148
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,9,2.486,1.893
2021,1,Middle,BBOC,M. gigas,No Tide,21,53,10,2.313,1.972
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,1,3.182,1.853
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,2,2.61,1.94
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,3,2,2.042
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,4,3.506,2.521
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,5,2.39,2.016
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,6,2.944,2.084
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,7,2.186,2.361
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,8,2.9,1.961
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,9,2.39,1.867
2021,1,Middle,BBOC,M. gigas,No Tide,16,54,10,2.39,1.862
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,1,3.108,2.084
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,2,3.247,2.223
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,3,2.267,1.592
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,4,2.58,1.915
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,5,2.959,2.536
