date,time_pt,site,bag_numb,surv_numb,mort_numb,total_start,taken_numb,prop_surv,prop_mort,remaining_numb,photos,initials,notes
7/8/2020,0,HIOC,1,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,HIOC,2,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,HIOC,3,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,HIOC,4,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,TBOC,5,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,TBOC,6,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,TBOC,7,250,0,250,0,1,0,250,y,PS,
7/8/2020,0,TBOC,8,250,0,250,0,1,0,250,y,PS,
7/22/2020,1,HIOC,1,248,2,250,20,0.992,0.008,226,y,PS,
7/22/2020,1,HIOC,2,250,1,251,20,0.996015936,0.003984064,229,y,PS,
7/22/2020,1,HIOC,3,250,1,251,20,0.996015936,0.003984064,229,y,PS,
7/22/2020,1,HIOC,4,249,2,251,20,0.992031873,0.007968127,227,y,PS,
7/23/2020,1,TBOC,5,249,0,249,20,1,0,229,y,PS,"lots of mussels; actually collected 07/24/2020, but merging for sake of data analysis"
7/23/2020,1,TBOC,6,253,0,253,20,1,0,233,y,PS,lots of mussels
7/23/2020,1,TBOC,7,250,1,251,20,0.996015936,0.003984064,229,y,PS,lots of mussels
7/23/2020,1,TBOC,8,245,0,245,20,1,0,225,y,PS,lots of mussels
8/5/2020,2,HIOC,1,228,0,228,20,1,0,208,y,PS,
8/5/2020,2,HIOC,2,229,0,229,20,1,0,209,y,PS,
8/5/2020,2,HIOC,3,201,29,230,20,0.873913043,0.126086957,152,y,PS,"bag 21-25, only 4 oysters"
8/5/2020,2,HIOC,4,226,0,226,20,1,0,206,y,PS,check sample #
8/4/2020,2,TBOC,5,227,2,229,20,0.991266376,0.008733624,205,y,PS,> 5 oyster drills
8/4/2020,2,TBOC,6,234,0,234,20,1,0,214,y,PS,< 5 oyster drills
8/4/2020,2,TBOC,7,230,1,231,20,0.995670996,0.004329004,209,y,PS,0 oyster drills
8/4/2020,2,TBOC,8,230,0,230,20,1,0,210,y,PS,< 5 oyster drills
8/20/2020,3,HIOC,1,208,0,208,20,1,0,188,y,PS,
8/20/2020,3,HIOC,2,170,39,209,20,0.813397129,0.186602871,111,y,PS,3 deaths were actually 3 Clusters (~5 oysters)
8/20/2020,3,HIOC,3,156,25,181,20,0.861878453,0.138121547,111,y,PS,
8/20/2020,3,HIOC,4,207,1,208,20,0.995192308,0.004807692,186,y,PS,
8/20/2020,3,TBOC,5,206,2,208,20,0.990384615,0.009615385,184,y,PS,oyster drill mortality
8/20/2020,3,TBOC,6,210,2,212,20,0.990566038,0.009433962,188,y,PS,did I accidentally throw in an extra oyster?
8/20/2020,3,TBOC,7,206,2,208,20,0.990384615,0.009615385,184,y,PS,
8/20/2020,3,TBOC,8,205,1,206,20,0.995145631,0.004854369,184,y,PS,
9/18/2020,4,HIOC,1,188,0,188,20,1,0,168,y,PS,
9/18/2020,4,HIOC,2,145,4,149,20,0.973154362,0.026845638,121,y,PS,
9/18/2020,4,HIOC,3,135,1,136,20,0.992647059,0.007352941,114,y,PS,
9/18/2020,4,HIOC,4,185,1,186,20,0.994623656,0.005376344,164,y,PS,
9/17/2020,4,TBOC,5,167,20,187,20,0.893048128,0.106951872,127,y,PS,10 dead oysters with drill holes
9/17/2020,4,TBOC,6,182,7,189,20,0.962962963,0.037037037,155,y,PS,4 dead oysters with drill holes
9/17/2020,4,TBOC,7,175,12,187,20,0.935828877,0.064171123,143,y,PS,7 dead oysters with drill holes; 1 oyster had 2 holes!
9/17/2020,4,TBOC,8,180,4,184,20,0.97826087,0.02173913,156,y,PS,0 dead oysters with drill holes
10/16/2020,5,HIOC,1,166,1,167,40,0.994011976,0.005988024,125,y,PS,
10/16/2020,5,HIOC,2,128,0,128,40,1,0,88,y,PS,
10/16/2020,5,HIOC,3,114,1,115,40,0.991304348,0.008695652,73,y,PS,
10/16/2020,5,HIOC,4,167,0,167,40,1,0,127,y,PS,
10/17/2020,5,TBOC,5,147,0,147,40,1,0,107,y,PS,
10/17/2020,5,TBOC,6,155,6,161,40,0.962732919,0.037267081,109,y,PS,
10/17/2020,5,TBOC,7,139,12,151,40,0.920529801,0.079470199,87,y,PS,
10/17/2020,5,TBOC,8,158,2,160,40,0.9875,0.0125,116,y,PS,
