Numb,Date,Sampling_Interval,Site,Location,Species,Hardening,Temp_Hardening,Tide_Hardening,Bag_Numb,SLOT_NUMB_S-N,Living_Numb,Mortality_Total,Mortality_Non-Drill,Mortality_Drill,Moribund_Numb,Sampled_Numb,Other_Numb,Remaining_Numb,Prop_Rem,Prop_Dead,OysterDrill_Numb,Notes
1,7/12/2021,0,North,Tom's Point,C_sikamea,21_T,21,T,1,18,245,0,0,0,0,0,0,245,1,0,0,
2,7/12/2021,0,North,Tom's Point,C_sikamea,21_T,21,T,2,15,245,0,0,0,0,0,0,245,1,0,0,
3,7/12/2021,0,North,Tom's Point,C_sikamea,21_T,21,T,3,5,245,0,0,0,0,0,0,245,1,0,0,
4,7/12/2021,0,North,Tom's Point,C_sikamea,16_T,16,T,4,14,250,0,0,0,0,0,0,250,1,0,0,
5,7/12/2021,0,North,Tom's Point,C_sikamea,16_T,16,T,5,9,250,0,0,0,0,0,0,250,1,0,0,
6,7/12/2021,0,North,Tom's Point,C_sikamea,16_T,16,T,6,3,250,0,0,0,0,0,0,250,1,0,0,
7,7/12/2021,0,North,Tom's Point,C_sikamea,21_NT,21,NT,7,12,175,0,0,0,0,0,0,175,1,0,0,
8,7/12/2021,0,North,Tom's Point,C_sikamea,21_NT,21,NT,8,8,175,0,0,0,0,0,0,175,1,0,0,
9,7/12/2021,0,North,Tom's Point,C_sikamea,21_NT,21,NT,9,6,175,0,0,0,0,0,0,175,1,0,0,
10,7/12/2021,0,North,Tom's Point,C_sikamea,16_NT,16,NT,10,17,250,0,0,0,0,0,0,250,1,0,0,
11,7/12/2021,0,North,Tom's Point,C_sikamea,16_NT,16,NT,11,11,250,0,0,0,0,0,0,250,1,0,0,
12,7/12/2021,0,North,Tom's Point,C_sikamea,16_NT,16,NT,12,2,250,0,0,0,0,0,0,250,1,0,0,
13,7/12/2021,0,North,Tom's Point,C_gigas,21_NT,21,NT,41,7,225,0,0,0,0,0,0,225,1,0,0,
14,7/12/2021,0,North,Tom's Point,C_gigas,21_NT,21,NT,42,4,225,0,0,0,0,0,0,225,1,0,0,
15,7/12/2021,0,North,Tom's Point,C_gigas,21_NT,21,NT,43,16,225,0,0,0,0,0,0,225,1,0,0,
16,7/12/2021,0,North,Tom's Point,C_gigas,16_NT,16,NT,44,13,225,0,0,0,0,0,0,225,1,0,0,
