Date,Sampling_Interval,Site,Location,Species,Temp_Hardening,Tide_Hardening,Bag_Numb,SLOT_NUMB_S-N,Living_Numb,Mortality_Total,Mortality_Non-Drill,Mortality_Drill,Moribund_Numb,Sampled_Numb,Other_Numb,Remaining_Numb,PropDead,PropRemaining,OysterDrill_Numb,Notes
6/3/2022,0,North,Tom's Point,M_gigas,15,NT,1,2,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,15,NT,2,7,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,15,NT,3,8,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,15,T,4,1,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,15,T,5,3,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,15,T,6,9,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,T,7,4,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,T,8,10,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,T,9,6,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,NT,10,11,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,NT,11,12,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,North,Tom's Point,M_gigas,21,NT,12,5,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,NT,13,9,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,NT,14,12,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,NT,15,1,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,T,16,5,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,T,17,7,250,0,0,0,0,0,0,250,0,1,0,
6/3/2022,0,Middle,Hamlet,M_gigas,15,T,18,10,250,0,0,0,0,0,0,250,0,1,0,
