Year,Time_Pt,Species,Site,Location,SH_Temp,SH_Tide,Bag_Numb,Replicate,Mortality,Dead_Alive
2021,4,M. gigas,North,HIOC,21,No Tide,41,1,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,2,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,3,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,4,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,5,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,6,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,7,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,8,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,9,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,10,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,11,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,12,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,13,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,14,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,15,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,16,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,17,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,18,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,19,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,20,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,21,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,22,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,23,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,24,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,25,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,26,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,27,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,28,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,29,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,30,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,31,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,32,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,33,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,34,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,35,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,36,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,37,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,38,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,39,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,40,1,Dead
2021,4,M. gigas,North,HIOC,21,No Tide,41,41,1,Dead
