Year,Site,Species,SH_Temp,SH_TempQ,SH_Tide,TotalMorts
2021,North,M. gigas,16,L,NT,546
2021,North,M. gigas,21,H,NT,355
2021,North,C. sikamea,16,L,NT,17
2021,North,C. sikamea,16,L,T,5
2021,North,C. sikamea,21,H,NT,15
2021,North,C. sikamea,21,H,T,11
2021,Middle,M. gigas,16,L,NT,535
2021,Middle,M. gigas,21,H,NT,399
2021,Middle,C. sikamea,16,L,NT,13
2021,Middle,C. sikamea,16,L,T,3
2021,Middle,C. sikamea,21,H,NT,14
2021,Middle,C. sikamea,21,H,T,6
2021,South,M. gigas,16,L,NT,45
2021,South,M. gigas,21,H,NT,42
2021,South,C. sikamea,16,L,NT,100
2021,South,C. sikamea,16,L,T,174
2021,South,C. sikamea,21,H,NT,133
2021,South,C. sikamea,21,H,T,136
2022,North,M. gigas,15,L,NT,205
2022,North,M. gigas,15,L,T,152
2022,North,M. gigas,21,H,NT,213
2022,North,M. gigas,21,H,T,174
2022,Middle,M. gigas,15,L,NT,117
2022,Middle,M. gigas,15,L,T,93
2022,Middle,M. gigas,21,H,NT,260
2022,Middle,M. gigas,21,H,T,185
2022,South,M. gigas,15,L,NT,55
2022,South,M. gigas,15,L,T,36
2022,South,M. gigas,21,H,NT,52
2022,South,M. gigas,21,H,T,58
