,Site,Species,Temp_Hardening,Tide_Hardening,Bag_Numb,TotalMoribund,Bag_Total,Prop_Moribund
34,North,C_sikamea,21,T,1,0,245,0
35,North,C_sikamea,21,T,2,0,245,0
36,North,C_sikamea,21,T,3,0,245,0
28,North,C_sikamea,16,T,4,0,250,0
29,North,C_sikamea,16,T,5,0,250,0
30,North,C_sikamea,16,T,6,0,250,0
31,North,C_sikamea,21,NT,7,0,175,0
32,North,C_sikamea,21,NT,8,0,175,0
33,North,C_sikamea,21,NT,9,0,175,0
25,North,C_sikamea,16,NT,10,0,250,0
26,North,C_sikamea,16,NT,11,0,250,0
27,North,C_sikamea,16,NT,12,0,250,0
16,Middle,C_sikamea,21,T,13,1,245,0.004081633
17,Middle,C_sikamea,21,T,14,1,245,0.004081633
18,Middle,C_sikamea,21,T,15,0,245,0
10,Middle,C_sikamea,16,T,16,0,250,0
11,Middle,C_sikamea,16,T,17,0,250,0
12,Middle,C_sikamea,16,T,18,0,250,0
13,Middle,C_sikamea,21,NT,19,0,175,0
14,Middle,C_sikamea,21,NT,20,0,175,0
15,Middle,C_sikamea,21,NT,21,0,175,0
7,Middle,C_sikamea,16,NT,22,0,250,0
8,Middle,C_sikamea,16,NT,23,0,250,0
9,Middle,C_sikamea,16,NT,24,0,250,0
52,South,C_sikamea,21,T,25,1,245,0.004081633
53,South,C_sikamea,21,T,26,0,245,0
54,South,C_sikamea,21,T,27,1,245,0.004081633
46,South,C_sikamea,16,T,28,2,250,0.008
47,South,C_sikamea,16,T,29,1,250,0.004
48,South,C_sikamea,16,T,30,0,250,0
49,South,C_sikamea,21,NT,31,0,175,0
50,South,C_sikamea,21,NT,32,1,175,0.005714286
51,South,C_sikamea,21,NT,33,1,175,0.005714286
43,South,C_sikamea,16,NT,34,1,250,0.004
44,South,C_sikamea,16,NT,35,0,250,0
45,South,C_sikamea,16,NT,36,0,250,0
22,North,C_gigas,21,NT,41,1,225,0.004444444
23,North,C_gigas,21,NT,42,2,225,0.008888889
24,North,C_gigas,21,NT,43,0,225,0
19,North,C_gigas,16,NT,44,0,225,0
20,North,C_gigas,16,NT,45,0,225,0
21,North,C_gigas,16,NT,46,6,225,0.026666667
4,Middle,C_gigas,21,NT,51,0,225,0
5,Middle,C_gigas,21,NT,52,29,225,0.128888889
6,Middle,C_gigas,21,NT,53,14,225,0.062222222
1,Middle,C_gigas,16,NT,54,1,225,0.004444444
2,Middle,C_gigas,16,NT,55,0,225,0
3,Middle,C_gigas,16,NT,56,0,225,0
40,South,C_gigas,21,NT,61,0,225,0
41,South,C_gigas,21,NT,62,3,225,0.013333333
42,South,C_gigas,21,NT,63,0,225,0
37,South,C_gigas,16,NT,64,0,225,0
38,South,C_gigas,16,NT,65,6,225,0.026666667
39,South,C_gigas,16,NT,66,0,225,0
