"","Site","Species","Temp_Hardening","Tide_Hardening","Bag_Numb","TotalMoribund","Prop_Moribund"
"1","Middle","M_gigas",15,"NT",13,2,0.008
"2","Middle","M_gigas",15,"NT",14,0,0
"3","Middle","M_gigas",15,"NT",15,0,0
"4","Middle","M_gigas",15,"T",16,0,0
"5","Middle","M_gigas",15,"T",17,0,0
"6","Middle","M_gigas",15,"T",18,0,0
"7","Middle","M_gigas",21,"NT",22,0,0
"8","Middle","M_gigas",21,"NT",23,0,0
"9","Middle","M_gigas",21,"NT",24,0,0
"10","Middle","M_gigas",21,"T",19,0,0
"11","Middle","M_gigas",21,"T",20,0,0
"12","Middle","M_gigas",21,"T",21,5,0.02
"13","North","M_gigas",15,"NT",1,0,0
"14","North","M_gigas",15,"NT",2,0,0
"15","North","M_gigas",15,"NT",3,0,0
"16","North","M_gigas",15,"T",4,0,0
"17","North","M_gigas",15,"T",5,0,0
"18","North","M_gigas",15,"T",6,0,0
"19","North","M_gigas",21,"NT",10,0,0
"20","North","M_gigas",21,"NT",11,0,0
"21","North","M_gigas",21,"NT",12,0,0
"22","North","M_gigas",21,"T",7,0,0
"23","North","M_gigas",21,"T",8,0,0
"24","North","M_gigas",21,"T",9,0,0
"25","South","M_gigas",15,"NT",25,1,0.004
"26","South","M_gigas",15,"NT",26,0,0
"27","South","M_gigas",15,"NT",27,1,0.004
"28","South","M_gigas",15,"T",28,0,0
"29","South","M_gigas",15,"T",29,0,0
"30","South","M_gigas",15,"T",30,0,0
"31","South","M_gigas",21,"NT",34,0,0
"32","South","M_gigas",21,"NT",35,0,0
"33","South","M_gigas",21,"NT",36,0,0
"34","South","M_gigas",21,"T",31,0,0
"35","South","M_gigas",21,"T",32,0,0
"36","South","M_gigas",21,"T",33,1,0.004
