Year,Site,Species,Temp_Hardening,Tide_Hardening,Bag_Numb,Prop_Moribund
2021,North,C_sikamea,High,T,1,0
2021,North,C_sikamea,High,T,2,0
2021,North,C_sikamea,High,T,3,0
2021,North,C_sikamea,Low,T,4,0
2021,North,C_sikamea,Low,T,5,0
2021,North,C_sikamea,Low,T,6,0
2021,North,C_sikamea,High,NT,7,0
2021,North,C_sikamea,High,NT,8,0
2021,North,C_sikamea,High,NT,9,0
2021,North,C_sikamea,Low,NT,10,0
2021,North,C_sikamea,Low,NT,11,0
2021,North,C_sikamea,Low,NT,12,0
2021,Middle,C_sikamea,High,T,13,0.004081633
2021,Middle,C_sikamea,High,T,14,0.004081633
2021,Middle,C_sikamea,High,T,15,0
2021,Middle,C_sikamea,Low,T,16,0
2021,Middle,C_sikamea,Low,T,17,0
2021,Middle,C_sikamea,Low,T,18,0
2021,Middle,C_sikamea,High,NT,19,0
2021,Middle,C_sikamea,High,NT,20,0
2021,Middle,C_sikamea,High,NT,21,0
2021,Middle,C_sikamea,Low,NT,22,0
2021,Middle,C_sikamea,Low,NT,23,0
2021,Middle,C_sikamea,Low,NT,24,0
2021,South,C_sikamea,High,T,25,0.004081633
2021,South,C_sikamea,High,T,26,0
2021,South,C_sikamea,High,T,27,0.004081633
2021,South,C_sikamea,Low,T,28,0.008
2021,South,C_sikamea,Low,T,29,0.004
2021,South,C_sikamea,Low,T,30,0
2021,South,C_sikamea,High,NT,31,0
2021,South,C_sikamea,High,NT,32,0.005714286
2021,South,C_sikamea,High,NT,33,0.005714286
2021,South,C_sikamea,Low,NT,34,0.004
2021,South,C_sikamea,Low,NT,35,0
2021,South,C_sikamea,Low,NT,36,0
2021,North,M_gigas,High,NT,41,0.004444444
2021,North,M_gigas,High,NT,42,0.008888889
2021,North,M_gigas,High,NT,43,0
2021,North,M_gigas,Low,NT,44,0
2021,North,M_gigas,Low,NT,45,0
2021,North,M_gigas,Low,NT,46,0.026666667
2021,Middle,M_gigas,High,NT,51,0
2021,Middle,M_gigas,High,NT,52,0.128888889
2021,Middle,M_gigas,High,NT,53,0.062222222
2021,Middle,M_gigas,Low,NT,54,0.004444444
2021,Middle,M_gigas,Low,NT,55,0
2021,Middle,M_gigas,Low,NT,56,0
2021,South,M_gigas,High,NT,61,0
2021,South,M_gigas,High,NT,62,0.013333333
2021,South,M_gigas,High,NT,63,0
2021,South,M_gigas,Low,NT,64,0
2021,South,M_gigas,Low,NT,65,0.026666667
2021,South,M_gigas,Low,NT,66,0
2022,Middle,M_gigas,Low,NT,13,0.008
2022,Middle,M_gigas,Low,NT,14,0
2022,Middle,M_gigas,Low,NT,15,0
2022,Middle,M_gigas,Low,T,16,0
2022,Middle,M_gigas,Low,T,17,0
2022,Middle,M_gigas,Low,T,18,0
2022,Middle,M_gigas,High,NT,22,0
2022,Middle,M_gigas,High,NT,23,0
2022,Middle,M_gigas,High,NT,24,0
2022,Middle,M_gigas,High,T,19,0
2022,Middle,M_gigas,High,T,20,0
2022,Middle,M_gigas,High,T,21,0.02
2022,North,M_gigas,Low,NT,1,0
2022,North,M_gigas,Low,NT,2,0
2022,North,M_gigas,Low,NT,3,0
2022,North,M_gigas,Low,T,4,0
2022,North,M_gigas,Low,T,5,0
2022,North,M_gigas,Low,T,6,0
2022,North,M_gigas,High,NT,10,0
2022,North,M_gigas,High,NT,11,0
2022,North,M_gigas,High,NT,12,0
2022,North,M_gigas,High,T,7,0
2022,North,M_gigas,High,T,8,0
2022,North,M_gigas,High,T,9,0
2022,South,M_gigas,Low,NT,25,0.004
2022,South,M_gigas,Low,NT,26,0
2022,South,M_gigas,Low,NT,27,0.004
2022,South,M_gigas,Low,T,28,0
2022,South,M_gigas,Low,T,29,0
2022,South,M_gigas,Low,T,30,0
2022,South,M_gigas,High,NT,34,0
2022,South,M_gigas,High,NT,35,0
2022,South,M_gigas,High,NT,36,0
2022,South,M_gigas,High,T,31,0
2022,South,M_gigas,High,T,32,0
2022,South,M_gigas,High,T,33,0.004
