Year,Species,SH_Temp,SH_TempQ,SH_Tide,TotalMorts,PropMort,Initial_Surv
2021,M. gigas,16,L,NT,1126,0.556049383,2025
2021,M. gigas,21,H,NT,796,0.39308642,2025
2021,C. sikamea,16,L,NT,130,0.057777778,2250
2021,C. sikamea,16,L,T,182,0.080888889,2250
2021,C. sikamea,21,H,NT,162,0.102857143,1575
2021,C. sikamea,21,H,T,153,0.069387755,2205
2022,M. gigas,15,L,NT,377,0.167555556,2250
2022,M. gigas,15,L,T,281,0.124888889,2250
2022,M. gigas,21,H,NT,525,0.233333333,2250
2022,M. gigas,21,H,T,417,0.185333333,2250
