Year,Site,Species,SH_Temp,SH_TempQ,SH_Tide,TotalMorts,PropMort
2021,North,M. gigas,16,L,NT,546,0.808888889
2021,North,M. gigas,21,H,NT,355,0.525925926
2021,North,C. sikamea,16,L,NT,17,0.022666667
2021,North,C. sikamea,16,L,T,5,0.006666667
2021,North,C. sikamea,21,H,NT,15,0.028571429
2021,North,C. sikamea,21,H,T,11,0.014965986
2021,Middle,M. gigas,16,L,NT,535,0.792592593
2021,Middle,M. gigas,21,H,NT,399,0.591111111
2021,Middle,C. sikamea,16,L,NT,13,0.017333333
2021,Middle,C. sikamea,16,L,T,3,0.004
2021,Middle,C. sikamea,21,H,NT,14,0.026666667
2021,Middle,C. sikamea,21,H,T,6,0.008163265
2021,South,M. gigas,16,L,NT,45,0.066666667
2021,South,M. gigas,21,H,NT,42,0.062222222
2021,South,C. sikamea,16,L,NT,100,0.133333333
2021,South,C. sikamea,16,L,T,174,0.232
2021,South,C. sikamea,21,H,NT,133,0.253333333
2021,South,C. sikamea,21,H,T,136,0.185034014
2022,North,M. gigas,15,L,NT,205,0.273333333
2022,North,M. gigas,15,L,T,152,0.202666667
2022,North,M. gigas,21,H,NT,213,0.284
2022,North,M. gigas,21,H,T,174,0.232
2022,Middle,M. gigas,15,L,NT,117,0.156
2022,Middle,M. gigas,15,L,T,93,0.124
2022,Middle,M. gigas,21,H,NT,260,0.346666667
2022,Middle,M. gigas,21,H,T,185,0.246666667
2022,South,M. gigas,15,L,NT,55,0.073333333
2022,South,M. gigas,15,L,T,36,0.048
2022,South,M. gigas,21,H,NT,52,0.069333333
2022,South,M. gigas,21,H,T,58,0.077333333
