Bag,Replicate,Sampling,Date,Site,Species,Species_Latin,SH_Temp,SH_Tide,Dilution_1,MilliQ_ul_1,Dilution_2,Date_Homogenized,Mean_Abs_375,Control_375,control - blank,carbonylContent/well,Protien_content/ug/ml,nmole_carbonyl/mg_protein,Dilution_factor,CarbPerProtein
1,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.115,0.077,0.038,0.59710874,416.333333,1.43420833,2,2.86841667
1,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.132,0.077,0.055,0.86423633,591.333333,1.4615045,2,2.92300901
1,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.121,0.077,0.044,0.69138906,378,1.8290716,2,3.65814319
1,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.134,0.077,0.057,0.8956631,491.333333,1.82292355,2,3.6458471
1,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.097,0.074,0.023,0.36140792,218.57,1.65351109,2,3.30702219
2,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.123,0.077,0.046,0.72281584,486.333333,1.48625601,2,2.97251202
2,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.12,0.077,0.043,0.67567568,406.333333,1.66286056,2,3.32572113
2,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.138,0.077,0.061,0.95851666,463,2.07023036,2,4.14046072
2,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.23,0.077,0.153,2.40414833,471.333333,5.10073904,2,10.2014781
2,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.142,0.074,0.068,1.06851037,444.276,2.40505985,2,4.8101197
3,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.125,0.077,0.048,0.75424261,424.666667,1.77608151,2,3.55216302
3,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.115,0.077,0.038,0.59710874,358,1.6679015,2,3.335803
3,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.142,0.077,0.065,1.02137021,701.333333,1.45632634,2,2.91265268
3,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.11,0.077,0.033,0.5185418,274.666667,1.88789489,2,3.77578979
3,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,No_Tide,1,300,1,6-Oct-22,0.092,0.074,0.018,0.28284098,228.551,1.23753989,2,2.47507979
4,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.142,0.077,0.065,1.02137021,609.666667,1.67529285,2,3.3505857
4,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.136,0.077,0.059,0.92708988,358,2.58963654,2,5.17927308
4,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.114,0.077,0.037,0.58139535,371.333333,1.56569663,2,3.13139326
4,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.13,0.077,0.053,0.83280955,424.666667,1.96109,2,3.92218
4,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.153,0.074,0.079,1.24135764,578.75,2.1448944,2,4.28978881
5,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.109,0.077,0.032,0.50282841,353,1.42444309,2,2.84888617
5,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.097,0.077,0.02,0.31426776,258,1.21809208,2,2.43618416
5,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.154,0.077,0.077,1.20993086,526.333333,2.29879201,2,4.59758402
5,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.142,0.077,0.065,1.02137021,359.666667,2.83976888,2,5.67953776
5,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.153,0.074,0.079,1.24135764,398.695,3.11355206,2,6.22710411
6,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.151,0.077,0.074,1.1627907,,,2,
6,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.131,0.077,0.054,0.84852294,574.666667,1.47654804,2,2.95309608
6,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.13,0.077,0.053,0.83280955,464.666667,1.79227307,2,3.58454614
6,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.329,0.077,0.252,3.95977373,218,18.1640997,2,36.3281993
6,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,15,Tide,1,300,1,6-Oct-22,0.138,0.074,0.064,1.00565682,460.715,2.18281762,2,4.36563524
7,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.101,0.077,0.024,0.37712131,173,2.17989195,2,4.3597839
7,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.119,0.077,0.042,0.65996229,236.333333,2.79250615,2,5.58501231
7,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.128,0.077,0.051,0.80138278,456.333333,1.75613465,2,3.5122693
7,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.118,0.077,0.041,0.6442489,399.666667,1.61196555,2,3.22393111
7,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.108,0.074,0.034,0.53425519,292.13,1.82882684,2,3.65765368
8,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.1,0.077,0.023,0.36140792,143,2.52732811,2,5.05465622
8,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.106,0.077,0.029,0.45568825,246.333333,1.84988463,2,3.69976925
8,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.133,0.077,0.056,0.87994972,381.333333,2.30756045,2,4.61512089
8,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.124,0.077,0.047,0.73852923,126.333333,5.84587779,2,11.6917556
8,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.287,0.074,0.213,3.3469516,532.952,6.28002447,2,12.5600489
9,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.13,0.077,0.053,0.83280955,229.666667,3.62616642,2,7.25233283
9,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.159,0.077,0.082,1.2884978,371.333333,3.46992226,2,6.93984452
9,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.165,0.077,0.088,1.38277813,285.5,4.84335596,2,9.68671192
9,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.137,0.077,0.06,0.94280327,129.666667,7.27097636,2,14.5419527
9,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,Tide,1,300,1,7-Oct-22,0.11,0.074,0.036,0.56568196,174.145,3.2483388,2,6.49667761
10,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.188,0.077,0.111,1.74418605,416.333333,4.18939803,2,8.37879606
10,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.152,0.077,0.075,1.17850409,686.333333,1.71710163,2,3.43420326
10,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.106,0.077,0.029,0.45568825,201.333333,2.26335222,2,4.52670443
10,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.13,0.077,0.053,0.83280955,599.666667,1.38878747,2,2.77757494
10,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.156,0.074,0.082,1.2884978,594.333,2.16797284,2,4.33594567
11,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.19,0.077,0.113,1.77561282,469.707,3.78025625,2,7.5605125
11,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.171,0.077,0.094,1.47705845,792.175,1.8645608,2,3.72912161
11,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.192,0.077,0.115,1.8070396,551.785,3.27489801,2,6.54979602
11,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.111,0.077,0.034,0.53425519,202.554,2.63759385,2,5.27518771
11,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.103,0.074,0.029,0.45568825,249.428,1.82693301,2,3.65386602
12,1,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.153,0.077,0.076,1.19421747,575.416,2.07539845,2,4.1507969
12,2,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.138,0.077,0.061,0.95851666,503.647,1.90315172,2,3.80630345
12,3,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.154,0.077,0.077,1.20993086,497.039,2.43427751,2,4.86855503
12,4,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.144,0.077,0.067,1.05279698,517.808,2.03318022,2,4.06636044
12,5,5,12-Aug-22,HIOC - North,Pacific,M. gigas,21,No_Tide,1,300,1,7-Oct-22,0.101,0.074,0.027,0.42426147,165.991,2.55593057,2,5.11186113
13,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.161,0.077,0.084,1.31992458,736.67,1.79174471,2,3.58348942
13,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.188,0.077,0.111,1.74418605,328.481,5.30985368,2,10.6197074
13,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.148,0.077,0.071,1.11565053,549.904,2.02880964,2,4.05761927
13,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.132,0.077,0.055,0.86423633,532.894,1.62177906,2,3.24355812
13,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.122,0.074,0.048,0.75424261,406.006,1.85771298,2,3.71542595
14,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.099,0.077,0.022,0.34569453,214.687,1.61022573,2,3.22045146
14,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.114,0.077,0.037,0.58139535,399.15,1.45658361,2,2.91316722
14,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.136,0.077,0.059,0.92708988,525.343,1.76473253,2,3.52946506
14,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.184,0.077,0.107,1.6813325,837.732,2.00700522,2,4.01401044
14,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.125,0.074,0.051,0.80138278,340.345,2.35461893,2,4.70923785
15,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.15,0.077,0.073,1.14707731,529.117,2.16790863,2,4.33581726
15,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.12,0.077,0.043,0.67567568,317.199,2.1301318,2,4.26026359
15,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.177,0.077,0.1,1.57133878,762.36,2.06115061,2,4.12230122
15,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.173,0.077,0.096,1.50848523,1085.445,1.38973898,2,2.77947796
15,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,No_Tide,1,300,1,7-Oct-22,0.099,0.074,0.025,0.3928347,175.957,2.23256077,2,4.46512154
16,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.15,0.077,0.073,1.14707731,766.2,1.49709907,2,2.99419815
16,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.122,0.077,0.045,0.70710245,517.854,1.3654475,2,2.73089501
16,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.139,0.077,0.062,0.97423004,571.633,1.70429287,2,3.40858573
16,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.133,0.077,0.056,0.87994972,308.201,2.85511636,2,5.71023272
16,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.1,0.074,0.026,0.40854808,219.477,1.86146194,2,3.72292389
17,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.142,0.077,0.065,1.02137021,497.053,2.05485171,2,4.10970342
17,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.137,0.077,0.06,0.94280327,445.244,2.11749798,2,4.23499595
17,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.114,0.077,0.037,0.58139535,304.426,1.90980846,2,3.81961691
17,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.121,0.077,0.044,0.69138906,522.575,1.32304275,2,2.64608549
17,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.123,0.074,0.049,0.769956,414.161,1.85907413,2,3.71814827
18,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.164,0.077,0.087,1.36706474,633.163,2.15910396,2,4.31820792
18,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.13,0.077,0.053,0.83280955,548.05,1.51958681,2,3.03917363
18,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.134,0.077,0.057,0.8956631,642.677,1.39364425,2,2.7872885
18,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.134,0.077,0.057,0.8956631,531.006,1.68672878,2,3.37345757
18,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,15,Tide,1,300,1,7-Oct-22,0.117,0.074,0.043,0.67567568,469.854,1.43805454,2,2.87610907
19,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.155,0.077,0.078,1.22564425,752.832,1.62804483,2,3.25608967
19,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.131,0.077,0.054,0.84852294,593.411,1.42990767,2,2.85981534
19,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.137,0.077,0.06,0.94280327,212.916,4.4280527,2,8.8561054
