Obs_Numb,Date_Time,Lease,Site,Time_Pt,WaterTemp_C
1,7/8/2020 14:00,HIOC,North,0,21.652
2,7/8/2020 15:00,HIOC,North,0,18.343
3,7/8/2020 16:00,HIOC,North,0,17.891
4,7/8/2020 17:00,HIOC,North,0,17.439
5,7/8/2020 18:00,HIOC,North,0,18.652
6,7/8/2020 19:00,HIOC,North,0,18.747
7,7/8/2020 20:00,HIOC,North,0,17.748
8,7/8/2020 21:00,HIOC,North,0,17.368
9,7/8/2020 22:00,HIOC,North,0,16.939
10,7/8/2020 23:00,HIOC,North,0,16.915
11,7/9/2020 0:00,HIOC,North,0,15.199
12,7/9/2020 1:00,HIOC,North,0,14.433
13,7/9/2020 2:00,HIOC,North,0,14.649
14,7/9/2020 3:00,HIOC,North,0,14.553
15,7/9/2020 4:00,HIOC,North,0,14.505
16,7/9/2020 5:00,HIOC,North,0,14.577
17,7/9/2020 6:00,HIOC,North,0,13.93
18,7/9/2020 7:00,HIOC,North,0,13.522
19,7/9/2020 8:00,HIOC,North,0,16.939
20,7/9/2020 9:00,HIOC,North,0,21.485
21,7/9/2020 10:00,HIOC,North,0,25.404
22,7/9/2020 11:00,HIOC,North,0,26.744
23,7/9/2020 12:00,HIOC,North,0,27.53
24,7/9/2020 13:00,HIOC,North,0,28.642
25,7/9/2020 14:00,HIOC,North,0,26.867
26,7/9/2020 15:00,HIOC,North,0,19.056
27,7/9/2020 16:00,HIOC,North,0,18.2
28,7/9/2020 17:00,HIOC,North,0,16.82
29,7/9/2020 18:00,HIOC,North,0,16.32
30,7/9/2020 19:00,HIOC,North,0,16.296
31,7/9/2020 20:00,HIOC,North,0,16.892
32,7/9/2020 21:00,HIOC,North,0,16.32
33,7/9/2020 22:00,HIOC,North,0,15.509
34,7/9/2020 23:00,HIOC,North,0,15.7
35,7/10/2020 0:00,HIOC,North,0,15.485
36,7/10/2020 1:00,HIOC,North,0,14.864
37,7/10/2020 2:00,HIOC,North,0,14.17
38,7/10/2020 3:00,HIOC,North,0,13.978
39,7/10/2020 4:00,HIOC,North,0,13.93
40,7/10/2020 5:00,HIOC,North,0,14.002
41,7/10/2020 6:00,HIOC,North,0,14.026
42,7/10/2020 7:00,HIOC,North,0,13.449
43,7/10/2020 8:00,HIOC,North,0,13.594
44,7/10/2020 9:00,HIOC,North,0,17.724
45,7/10/2020 10:00,HIOC,North,0,24.05
46,7/10/2020 11:00,HIOC,North,0,25.793
47,7/10/2020 12:00,HIOC,North,0,26.94
48,7/10/2020 13:00,HIOC,North,0,27.776
49,7/10/2020 14:00,HIOC,North,0,27.801
50,7/10/2020 15:00,HIOC,North,0,20.293
51,7/10/2020 16:00,HIOC,North,0,18.533
52,7/10/2020 17:00,HIOC,North,0,17.534
53,7/10/2020 18:00,HIOC,North,0,16.868
54,7/10/2020 19:00,HIOC,North,0,17.582
55,7/10/2020 20:00,HIOC,North,0,19.389
56,7/10/2020 21:00,HIOC,North,0,20.079
57,7/10/2020 22:00,HIOC,North,0,18.961
58,7/10/2020 23:00,HIOC,North,0,17.843
59,7/11/2020 0:00,HIOC,North,0,17.415
60,7/11/2020 1:00,HIOC,North,0,16.963
61,7/11/2020 2:00,HIOC,North,0,16.511
62,7/11/2020 3:00,HIOC,North,0,15.605
63,7/11/2020 4:00,HIOC,North,0,14.768
64,7/11/2020 5:00,HIOC,North,0,15.342
65,7/11/2020 6:00,HIOC,North,0,15.533
66,7/11/2020 7:00,HIOC,North,0,14.098
67,7/11/2020 8:00,HIOC,North,0,14.768
68,7/11/2020 9:00,HIOC,North,0,20.15
69,7/11/2020 10:00,HIOC,North,0,26.158
70,7/11/2020 11:00,HIOC,North,0,25.574
71,7/11/2020 12:00,HIOC,North,0,25.477
72,7/11/2020 13:00,HIOC,North,0,26.744
73,7/11/2020 14:00,HIOC,North,0,26.867
74,7/11/2020 15:00,HIOC,North,0,24.774
75,7/11/2020 16:00,HIOC,North,0,19.27
76,7/11/2020 17:00,HIOC,North,0,18.842
77,7/11/2020 18:00,HIOC,North,0,17.034
78,7/11/2020 19:00,HIOC,North,0,16.939
79,7/11/2020 20:00,HIOC,North,0,17.867
80,7/11/2020 21:00,HIOC,North,0,19.199
81,7/11/2020 22:00,HIOC,North,0,19.579
82,7/11/2020 23:00,HIOC,North,0,17.724
