Numb,Date_Time,Temp_C
1,7/8/2020 14:00,21.652
2,7/8/2020 15:00,18.343
3,7/8/2020 16:00,17.891
4,7/8/2020 17:00,17.439
5,7/8/2020 18:00,18.652
6,7/8/2020 19:00,18.747
7,7/8/2020 20:00,17.748
8,7/8/2020 21:00,17.368
9,7/8/2020 22:00,16.939
10,7/8/2020 23:00,16.915
11,7/9/2020 0:00,15.199
12,7/9/2020 1:00,14.433
13,7/9/2020 2:00,14.649
14,7/9/2020 3:00,14.553
15,7/9/2020 4:00,14.505
16,7/9/2020 5:00,14.577
17,7/9/2020 6:00,13.93
18,7/9/2020 7:00,13.522
19,7/9/2020 8:00,16.939
20,7/9/2020 9:00,21.485
21,7/9/2020 10:00,25.404
22,7/9/2020 11:00,26.744
23,7/9/2020 12:00,27.53
24,7/9/2020 13:00,28.642
25,7/9/2020 14:00,26.867
26,7/9/2020 15:00,19.056
27,7/9/2020 16:00,18.2
28,7/9/2020 17:00,16.82
29,7/9/2020 18:00,16.32
30,7/9/2020 19:00,16.296
31,7/9/2020 20:00,16.892
32,7/9/2020 21:00,16.32
33,7/9/2020 22:00,15.509
34,7/9/2020 23:00,15.7
35,7/10/2020 0:00,15.485
36,7/10/2020 1:00,14.864
37,7/10/2020 2:00,14.17
38,7/10/2020 3:00,13.978
39,7/10/2020 4:00,13.93
40,7/10/2020 5:00,14.002
41,7/10/2020 6:00,14.026
42,7/10/2020 7:00,13.449
43,7/10/2020 8:00,13.594
44,7/10/2020 9:00,17.724
45,7/10/2020 10:00,24.05
46,7/10/2020 11:00,25.793
47,7/10/2020 12:00,26.94
48,7/10/2020 13:00,27.776
49,7/10/2020 14:00,27.801
50,7/10/2020 15:00,20.293
51,7/10/2020 16:00,18.533
52,7/10/2020 17:00,17.534
53,7/10/2020 18:00,16.868
54,7/10/2020 19:00,17.582
55,7/10/2020 20:00,19.389
56,7/10/2020 21:00,20.079
57,7/10/2020 22:00,18.961
58,7/10/2020 23:00,17.843
59,7/11/2020 0:00,17.415
60,7/11/2020 1:00,16.963
61,7/11/2020 2:00,16.511
62,7/11/2020 3:00,15.605
63,7/11/2020 4:00,14.768
64,7/11/2020 5:00,15.342
65,7/11/2020 6:00,15.533
66,7/11/2020 7:00,14.098
67,7/11/2020 8:00,14.768
68,7/11/2020 9:00,20.15
69,7/11/2020 10:00,26.158
70,7/11/2020 11:00,25.574
71,7/11/2020 12:00,25.477
72,7/11/2020 13:00,26.744
73,7/11/2020 14:00,26.867
74,7/11/2020 15:00,24.774
75,7/11/2020 16:00,19.27
76,7/11/2020 17:00,18.842
77,7/11/2020 18:00,17.034
78,7/11/2020 19:00,16.939
79,7/11/2020 20:00,17.867
80,7/11/2020 21:00,19.199
81,7/11/2020 22:00,19.579
82,7/11/2020 23:00,17.724
83,7/12/2020 0:00,16.272
84,7/12/2020 1:00,15.318
85,7/12/2020 2:00,16.82
86,7/12/2020 3:00,16.915
87,7/12/2020 4:00,16.844
88,7/12/2020 5:00,16.344
89,7/12/2020 6:00,15.461
90,7/12/2020 7:00,15.414
91,7/12/2020 8:00,14.361
92,7/12/2020 9:00,17.391
93,7/12/2020 10:00,25.817
94,7/12/2020 11:00,28.048
95,7/12/2020 12:00,27.776
96,7/12/2020 13:00,26.451
97,7/12/2020 14:00,26.353
98,7/12/2020 15:00,24.968
99,7/12/2020 16:00,19.46
100,7/12/2020 17:00,19.127
101,7/12/2020 18:00,17.534
102,7/12/2020 19:00,16.63
103,7/12/2020 20:00,17.32
104,7/12/2020 21:00,17.51
105,7/12/2020 22:00,18.628
106,7/12/2020 23:00,17.891
107,7/13/2020 0:00,16.177
108,7/13/2020 1:00,14.17
109,7/13/2020 2:00,12.63
110,7/13/2020 3:00,14.888
111,7/13/2020 4:00,15.461
112,7/13/2020 5:00,15.414
113,7/13/2020 6:00,15.127
114,7/13/2020 7:00,15.079
115,7/13/2020 8:00,15.318
116,7/13/2020 9:00,15.772
117,7/13/2020 10:00,18.033
118,7/13/2020 11:00,22.657
119,7/13/2020 12:00,25.598
120,7/13/2020 13:00,27.653
121,7/13/2020 14:00,30.167
122,7/13/2020 15:00,24.363
123,7/13/2020 16:00,20.126
124,7/13/2020 17:00,18.937
125,7/13/2020 18:00,18.247
126,7/13/2020 19:00,17.558
127,7/13/2020 20:00,17.439
128,7/13/2020 21:00,18.58
129,7/13/2020 22:00,19.389
130,7/13/2020 23:00,19.103
131,7/14/2020 0:00,17.819
132,7/14/2020 1:00,15.605
133,7/14/2020 2:00,13.04
134,7/14/2020 3:00,12.944
135,7/14/2020 4:00,12.364
136,7/14/2020 5:00,13.882
137,7/14/2020 6:00,16.32
138,7/14/2020 7:00,17.463
139,7/14/2020 8:00,17.534
140,7/14/2020 9:00,17.915
141,7/14/2020 10:00,19.032
142,7/14/2020 11:00,21.557
143,7/14/2020 12:00,26.524
144,7/14/2020 13:00,24.895
145,7/14/2020 14:00,28.518
146,7/14/2020 15:00,24.944
147,7/14/2020 16:00,21.366
148,7/14/2020 17:00,19.08
149,7/14/2020 18:00,18.081
150,7/14/2020 19:00,18.081
151,7/14/2020 20:00,17.415
152,7/14/2020 21:00,17.32
153,7/14/2020 22:00,19.246
154,7/14/2020 23:00,20.198
155,7/15/2020 0:00,19.555
156,7/15/2020 1:00,17.058
157,7/15/2020 2:00,14.314
158,7/15/2020 3:00,13.906
159,7/15/2020 4:00,14.026
160,7/15/2020 5:00,14.194
161,7/15/2020 6:00,14.29
162,7/15/2020 7:00,16.32
163,7/15/2020 8:00,18.01
164,7/15/2020 9:00,17.724
165,7/15/2020 10:00,17.891
166,7/15/2020 11:00,18.985
167,7/15/2020 12:00,20.865
168,7/15/2020 13:00,22.561
169,7/15/2020 14:00,23.713
170,7/15/2020 15:00,23.136
171,7/15/2020 16:00,21.079
172,7/15/2020 17:00,19.389
173,7/15/2020 18:00,17.534
174,7/15/2020 19:00,17.701
175,7/15/2020 20:00,17.582
176,7/15/2020 21:00,17.368
177,7/15/2020 22:00,18.01
178,7/15/2020 23:00,19.508
179,7/16/2020 0:00,19.912
180,7/16/2020 1:00,18.652
181,7/16/2020 2:00,15.581
182,7/16/2020 3:00,14.768
183,7/16/2020 4:00,14.673
184,7/16/2020 5:00,14.481
185,7/16/2020 6:00,14.433
186,7/16/2020 7:00,14.505
187,7/16/2020 8:00,17.13
188,7/16/2020 9:00,17.843
189,7/16/2020 10:00,17.677
190,7/16/2020 11:00,17.819
191,7/16/2020 12:00,18.247
192,7/16/2020 13:00,19.151
193,7/16/2020 14:00,20.198
194,7/16/2020 15:00,21.318
195,7/16/2020 16:00,20.77
196,7/16/2020 17:00,19.436
197,7/16/2020 18:00,17.486
198,7/16/2020 19:00,17.225
199,7/16/2020 20:00,17.034
200,7/16/2020 21:00,16.082
201,7/16/2020 22:00,16.177
202,7/16/2020 23:00,17.368
203,7/17/2020 0:00,17.082
204,7/17/2020 1:00,17.415
205,7/17/2020 2:00,16.868
206,7/17/2020 3:00,14.074
207,7/17/2020 4:00,14.05
208,7/17/2020 5:00,13.954
209,7/17/2020 6:00,13.594
210,7/17/2020 7:00,14.026
211,7/17/2020 8:00,14.314
212,7/17/2020 9:00,16.558
213,7/17/2020 10:00,17.296
214,7/17/2020 11:00,17.034
215,7/17/2020 12:00,17.153
216,7/17/2020 13:00,17.843
217,7/17/2020 14:00,19.555
218,7/17/2020 15:00,21.151
219,7/17/2020 16:00,21.533
220,7/17/2020 17:00,20.555
221,7/17/2020 18:00,19.175
222,7/17/2020 19:00,17.439
223,7/17/2020 20:00,17.629
224,7/17/2020 21:00,17.177
225,7/17/2020 22:00,16.915
226,7/17/2020 23:00,16.963
227,7/18/2020 0:00,17.748
228,7/18/2020 1:00,18.271
229,7/18/2020 2:00,17.867
230,7/18/2020 3:00,16.701
231,7/18/2020 4:00,14.745
232,7/18/2020 5:00,14.649
233,7/18/2020 6:00,14.505
234,7/18/2020 7:00,14.816
235,7/18/2020 8:00,15.509
236,7/18/2020 9:00,16.892
237,7/18/2020 10:00,18.937
238,7/18/2020 11:00,18.58
239,7/18/2020 12:00,18.39
240,7/18/2020 13:00,18.224
241,7/18/2020 14:00,19.793
242,7/18/2020 15:00,20.913
243,7/18/2020 16:00,22.25
244,7/18/2020 17:00,22.082
245,7/18/2020 18:00,20.436
246,7/18/2020 19:00,18.747
247,7/18/2020 20:00,18.247
248,7/18/2020 21:00,18.438
249,7/18/2020 22:00,17.915
250,7/18/2020 23:00,17.296
251,7/19/2020 0:00,18.414
252,7/19/2020 1:00,18.438
253,7/19/2020 2:00,18.842
254,7/19/2020 3:00,18.366
255,7/19/2020 4:00,15.151
256,7/19/2020 5:00,14.768
