Numb,Date_Time,Temp_C
1,7/8/2020 14:00,20.841
2,7/8/2020 15:00,21.103
3,7/8/2020 16:00,21.103
4,7/8/2020 17:00,20.841
5,7/8/2020 18:00,20.889
6,7/8/2020 19:00,20.603
7,7/8/2020 20:00,20.317
8,7/8/2020 21:00,20.007
9,7/8/2020 22:00,19.936
10,7/8/2020 23:00,20.126
11,7/9/2020 0:00,20.055
12,7/9/2020 1:00,19.698
13,7/9/2020 2:00,19.674
14,7/9/2020 3:00,19.579
15,7/9/2020 4:00,19.413
16,7/9/2020 5:00,19.103
17,7/9/2020 6:00,18.652
18,7/9/2020 7:00,18.152
19,7/9/2020 8:00,17.986
20,7/9/2020 9:00,19.056
21,7/9/2020 10:00,24.75
22,7/9/2020 11:00,29.389
23,7/9/2020 12:00,24.823
24,7/9/2020 13:00,21.581
25,7/9/2020 14:00,21.175
26,7/9/2020 15:00,21.461
27,7/9/2020 16:00,21.318
28,7/9/2020 17:00,21.39
29,7/9/2020 18:00,21.103
30,7/9/2020 19:00,20.865
31,7/9/2020 20:00,20.507
32,7/9/2020 21:00,20.222
33,7/9/2020 22:00,20.055
34,7/9/2020 23:00,19.841
35,7/10/2020 0:00,20.055
36,7/10/2020 1:00,20.174
37,7/10/2020 2:00,20.126
38,7/10/2020 3:00,19.936
39,7/10/2020 4:00,19.817
40,7/10/2020 5:00,19.698
41,7/10/2020 6:00,19.413
42,7/10/2020 7:00,18.628
43,7/10/2020 8:00,18.343
44,7/10/2020 9:00,18.343
45,7/10/2020 10:00,20.77
46,7/10/2020 11:00,21.891
47,7/10/2020 12:00,24.436
48,7/10/2020 13:00,22.034
49,7/10/2020 14:00,21.724
50,7/10/2020 15:00,21.724
51,7/10/2020 16:00,21.676
52,7/10/2020 17:00,21.628
53,7/10/2020 18:00,21.39
54,7/10/2020 19:00,21.342
55,7/10/2020 20:00,21.032
56,7/10/2020 21:00,20.627
57,7/10/2020 22:00,20.269
58,7/10/2020 23:00,20.079
59,7/11/2020 0:00,20.293
60,7/11/2020 1:00,20.174
61,7/11/2020 2:00,20.222
62,7/11/2020 3:00,20.317
63,7/11/2020 4:00,20.222
64,7/11/2020 5:00,20.031
65,7/11/2020 6:00,19.936
66,7/11/2020 7:00,19.318
67,7/11/2020 8:00,18.937
68,7/11/2020 9:00,19.365
69,7/11/2020 10:00,21.724
70,7/11/2020 11:00,23.785
71,7/11/2020 12:00,23.521
72,7/11/2020 13:00,22.274
73,7/11/2020 14:00,21.987
74,7/11/2020 15:00,22.202
75,7/11/2020 16:00,22.13
76,7/11/2020 17:00,21.795
77,7/11/2020 18:00,21.557
78,7/11/2020 19:00,21.366
79,7/11/2020 20:00,21.175
80,7/11/2020 21:00,20.96
81,7/11/2020 22:00,20.746
82,7/11/2020 23:00,20.746
83,7/12/2020 0:00,20.627
84,7/12/2020 1:00,19.603
85,7/12/2020 2:00,19.722
86,7/12/2020 3:00,19.532
87,7/12/2020 4:00,19.77
88,7/12/2020 5:00,19.841
89,7/12/2020 6:00,19.77
90,7/12/2020 7:00,18.985
91,7/12/2020 8:00,19.032
