Obs_Numb,Date_Time,AirTemp_C
3,7/10/2021 22:53,20.76
4,7/10/2021 23:03,20.72
5,7/10/2021 23:13,20.63
6,7/10/2021 23:23,20.46
7,7/10/2021 23:33,20.29
8,7/10/2021 23:43,20.25
9,7/10/2021 23:53,20.16
10,7/11/2021 0:03,20.12
11,7/11/2021 0:13,20.03
12,7/11/2021 0:23,19.99
13,7/11/2021 0:33,19.99
14,7/11/2021 0:43,19.9
15,7/11/2021 0:53,19.9
16,7/11/2021 1:03,19.86
17,7/11/2021 1:13,19.82
18,7/11/2021 1:23,19.77
19,7/11/2021 1:33,19.77
20,7/11/2021 1:43,19.73
21,7/11/2021 1:53,19.73
22,7/11/2021 2:03,19.65
23,7/11/2021 2:13,19.6
24,7/11/2021 2:23,19.52
25,7/11/2021 2:33,19.52
26,7/11/2021 2:43,19.47
27,7/11/2021 2:53,19.43
28,7/11/2021 3:03,19.39
29,7/11/2021 3:13,19.3
30,7/11/2021 3:23,19.26
31,7/11/2021 3:33,19.26
32,7/11/2021 3:43,19.17
33,7/11/2021 3:53,19.22
34,7/11/2021 4:03,19.13
35,7/11/2021 4:13,19.13
36,7/11/2021 4:23,19.13
37,7/11/2021 4:33,19.05
38,7/11/2021 4:43,19
39,7/11/2021 4:53,19
40,7/11/2021 5:03,19
41,7/11/2021 5:13,18.96
42,7/11/2021 5:23,18.96
43,7/11/2021 5:33,18.96
44,7/11/2021 5:43,18.92
45,7/11/2021 5:53,18.87
46,7/11/2021 6:03,18.87
47,7/11/2021 6:13,18.83
48,7/11/2021 6:23,18.79
49,7/11/2021 6:33,18.79
50,7/11/2021 6:43,18.74
51,7/11/2021 6:53,18.74
52,7/11/2021 7:03,18.74
53,7/11/2021 7:13,18.79
54,7/11/2021 7:23,18.79
55,7/11/2021 7:33,18.79
56,7/11/2021 7:43,18.74
57,7/11/2021 7:53,18.74
58,7/11/2021 8:03,18.74
59,7/11/2021 8:13,18.74
60,7/11/2021 8:23,18.74
61,7/11/2021 8:33,18.74
62,7/11/2021 8:43,18.74
63,7/11/2021 8:53,18.79
64,7/11/2021 9:03,18.87
65,7/11/2021 9:13,18.87
66,7/11/2021 9:23,18.96
67,7/11/2021 9:33,19
68,7/11/2021 9:43,19.13
69,7/11/2021 9:53,19.22
70,7/11/2021 10:03,19.26
71,7/11/2021 10:13,19.3
72,7/11/2021 10:23,18.53
73,7/11/2021 10:33,18.53
74,7/11/2021 10:43,18.74
75,7/11/2021 10:53,19.09
76,7/11/2021 11:03,19.56
77,7/11/2021 11:13,20.12
78,7/11/2021 11:23,20.68
79,7/11/2021 11:33,21.19
80,7/11/2021 11:43,21.7
81,7/11/2021 11:53,22.35
82,7/11/2021 12:03,22.99
83,7/11/2021 12:13,23.68
84,7/11/2021 12:23,24.24
85,7/11/2021 12:33,24.71
86,7/11/2021 12:43,25.14
87,7/11/2021 12:53,25.44
88,7/11/2021 13:03,25.69
89,7/11/2021 13:13,25.95
90,7/11/2021 13:23,26.25
91,7/11/2021 13:33,26.6
92,7/11/2021 13:43,26.94
93,7/11/2021 13:53,27.28
94,7/11/2021 14:03,27.58
95,7/11/2021 14:13,27.84
96,7/11/2021 14:23,28.05
97,7/11/2021 14:33,28.18
98,7/11/2021 14:43,28.27
99,7/11/2021 14:53,28.27
100,7/11/2021 15:03,28.35
101,7/11/2021 15:13,28.35
102,7/11/2021 15:23,28.4
103,7/11/2021 15:33,28.44
