Obs_Numb,Date_Time,AirTemp_C
3,7/10/2021 22:55,22.43
4,7/10/2021 23:05,22.48
5,7/10/2021 23:15,22.31
6,7/10/2021 23:25,22.01
7,7/10/2021 23:35,21.66
8,7/10/2021 23:45,21.4
9,7/10/2021 23:55,21.19
10,7/11/2021 0:05,20.98
11,7/11/2021 0:15,20.85
12,7/11/2021 0:25,20.72
13,7/11/2021 0:35,20.63
14,7/11/2021 0:45,20.55
15,7/11/2021 0:55,20.55
16,7/11/2021 1:05,20.5
17,7/11/2021 1:15,20.42
18,7/11/2021 1:25,20.37
19,7/11/2021 1:35,20.29
20,7/11/2021 1:45,20.29
21,7/11/2021 1:55,20.29
22,7/11/2021 2:05,20.25
23,7/11/2021 2:15,20.2
24,7/11/2021 2:25,20.12
25,7/11/2021 2:35,20.12
26,7/11/2021 2:45,20.12
27,7/11/2021 2:55,20.03
28,7/11/2021 3:05,20.03
29,7/11/2021 3:15,19.99
30,7/11/2021 3:25,19.95
31,7/11/2021 3:35,19.86
32,7/11/2021 3:45,19.86
33,7/11/2021 3:55,19.82
34,7/11/2021 4:05,19.82
35,7/11/2021 4:15,19.77
36,7/11/2021 4:25,19.73
37,7/11/2021 4:35,19.69
38,7/11/2021 4:45,19.69
39,7/11/2021 4:55,19.69
40,7/11/2021 5:05,19.6
41,7/11/2021 5:15,19.6
42,7/11/2021 5:25,19.56
43,7/11/2021 5:35,19.56
44,7/11/2021 5:45,19.56
45,7/11/2021 5:55,19.56
46,7/11/2021 6:05,19.52
47,7/11/2021 6:15,19.47
48,7/11/2021 6:25,19.47
49,7/11/2021 6:35,19.43
50,7/11/2021 6:45,19.39
51,7/11/2021 6:55,19.39
52,7/11/2021 7:05,19.43
53,7/11/2021 7:15,19.35
54,7/11/2021 7:25,19.3
55,7/11/2021 7:35,19.3
56,7/11/2021 7:45,19.3
57,7/11/2021 7:55,19.3
58,7/11/2021 8:05,19.22
59,7/11/2021 8:15,19.22
60,7/11/2021 8:25,19.22
61,7/11/2021 8:35,19.22
62,7/11/2021 8:45,19.26
63,7/11/2021 8:55,19.26
64,7/11/2021 9:05,19.26
65,7/11/2021 9:15,19.3
66,7/11/2021 9:25,19.35
67,7/11/2021 9:35,19.39
68,7/11/2021 9:45,19.43
69,7/11/2021 9:55,19.47
70,7/11/2021 10:05,19.52
71,7/11/2021 10:15,19.22
72,7/11/2021 10:25,19.17
73,7/11/2021 10:35,19.47
74,7/11/2021 10:45,20.25
75,7/11/2021 10:55,21.1
76,7/11/2021 11:05,21.79
77,7/11/2021 11:15,22.48
78,7/11/2021 11:25,23.03
79,7/11/2021 11:35,23.55
80,7/11/2021 11:45,24.15
81,7/11/2021 11:55,25.01
82,7/11/2021 12:05,25.82
83,7/11/2021 12:15,26.51
84,7/11/2021 12:25,27.11
85,7/11/2021 12:35,27.5
86,7/11/2021 12:45,27.67
87,7/11/2021 12:55,27.88
88,7/11/2021 13:05,28.01
89,7/11/2021 13:15,28.27
90,7/11/2021 13:25,28.61
91,7/11/2021 13:35,29
92,7/11/2021 13:45,29.3
93,7/11/2021 13:55,29.6
94,7/11/2021 14:05,29.77
95,7/11/2021 14:15,29.94
96,7/11/2021 14:25,29.98
97,7/11/2021 14:35,29.98
98,7/11/2021 14:45,29.98
99,7/11/2021 14:55,29.94
100,7/11/2021 15:05,29.94
101,7/11/2021 15:15,29.94
102,7/11/2021 15:25,29.9
103,7/11/2021 15:35,29.98
104,7/11/2021 15:45,29.98
105,7/11/2021 15:55,30.03
106,7/11/2021 16:05,30.07
107,7/11/2021 16:15,30.07
108,7/11/2021 16:25,30.03
109,7/11/2021 16:35,29.98
110,7/11/2021 16:45,29.9
111,7/11/2021 16:55,29.86
112,7/11/2021 17:05,29.77
113,7/11/2021 17:15,29.64
114,7/11/2021 17:25,29.51
115,7/11/2021 17:35,29.38
116,7/11/2021 17:45,29.21
117,7/11/2021 17:55,29.08
118,7/11/2021 18:05,28.87
119,7/11/2021 18:15,28.65
120,7/11/2021 18:25,28.4
121,7/11/2021 18:35,28.1
122,7/11/2021 18:45,27.84
123,7/11/2021 18:55,27.54
124,7/11/2021 19:05,27.07
125,7/11/2021 19:15,26.55
126,7/11/2021 19:25,25.99
127,7/11/2021 19:35,25.48
128,7/11/2021 19:45,24.92
129,7/11/2021 19:55,24.32
130,7/11/2021 20:05,23.55
131,7/11/2021 20:15,22.86
132,7/11/2021 20:25,22.09
133,7/11/2021 20:35,21.4
134,7/11/2021 20:45,20.72
135,7/11/2021 20:55,20.03
136,7/11/2021 21:05,19.43
137,7/11/2021 21:15,18.83
138,7/11/2021 21:25,18.27
139,7/11/2021 21:35,17.84
140,7/11/2021 21:45,17.37
141,7/11/2021 21:55,16.94
142,7/11/2021 22:05,16.51
143,7/11/2021 22:15,16.3
144,7/11/2021 22:25,16.08
145,7/11/2021 22:35,15.91
146,7/11/2021 22:45,15.74
147,7/11/2021 22:55,15.57
148,7/11/2021 23:05,15.36
149,7/11/2021 23:15,15.14
150,7/11/2021 23:25,14.93
151,7/11/2021 23:35,14.71
152,7/11/2021 23:45,14.54
153,7/11/2021 23:55,14.37
154,7/12/2021 0:05,14.2
155,7/12/2021 0:15,14.03
156,7/12/2021 0:25,13.9
157,7/12/2021 0:35,13.68
158,7/12/2021 0:45,13.6
159,7/12/2021 0:55,13.47
160,7/12/2021 1:05,13.38
161,7/12/2021 1:15,13.3
162,7/12/2021 1:25,13.17
163,7/12/2021 1:35,13.04
164,7/12/2021 1:45,12.95
165,7/12/2021 1:55,12.87
166,7/12/2021 2:05,12.78
167,7/12/2021 2:15,12.74
168,7/12/2021 2:25,12.65
169,7/12/2021 2:35,12.57
170,7/12/2021 2:45,12.57
171,7/12/2021 2:55,12.48
172,7/12/2021 3:05,12.44
173,7/12/2021 3:15,12.35
174,7/12/2021 3:25,12.31
175,7/12/2021 3:35,12.22
176,7/12/2021 3:45,12.18
177,7/12/2021 3:55,12.14
178,7/12/2021 4:05,12.1
179,7/12/2021 4:15,12.05
180,7/12/2021 4:25,12.01
181,7/12/2021 4:35,12.01
182,7/12/2021 4:45,12.01
183,7/12/2021 4:55,12.05
184,7/12/2021 5:05,12.01
185,7/12/2021 5:15,11.97
186,7/12/2021 5:25,11.88
187,7/12/2021 5:35,11.92
188,7/12/2021 5:45,12.01
189,7/12/2021 5:55,12.22
190,7/12/2021 6:05,12.57
191,7/12/2021 6:15,12.7
192,7/12/2021 6:25,12.78
193,7/12/2021 6:35,12.82
194,7/12/2021 6:45,12.78
195,7/12/2021 6:55,12.82
196,7/12/2021 7:05,12.74
197,7/12/2021 7:15,12.61
198,7/12/2021 7:25,12.35
199,7/12/2021 7:35,12.31
200,7/12/2021 7:45,12.27
201,7/12/2021 7:55,12.22
202,7/12/2021 8:05,12.22
203,7/12/2021 8:15,12.22
204,7/12/2021 8:25,12.27
205,7/12/2021 8:35,12.31
206,7/12/2021 8:45,12.31
207,7/12/2021 8:55,12.4
208,7/12/2021 9:05,12.61
209,7/12/2021 9:15,13
210,7/12/2021 9:25,13.51
211,7/12/2021 9:35,13.21
212,7/12/2021 9:45,11.37
213,7/12/2021 9:55,11.37
214,7/12/2021 10:05,11.32
215,7/12/2021 10:15,11.45
216,7/12/2021 10:25,11.67
217,7/12/2021 10:35,11.79
218,7/12/2021 10:45,11.97
219,7/12/2021 10:55,12.22
220,7/12/2021 11:05,12.87
221,7/12/2021 11:15,12.95
222,7/12/2021 11:25,12.82
223,7/12/2021 11:35,12.74
224,7/12/2021 11:45,12.74
225,7/12/2021 11:55,12.61
226,7/12/2021 12:05,12.57
227,7/12/2021 12:15,12.57
228,7/12/2021 12:25,12.82
229,7/12/2021 12:35,12.78
230,7/12/2021 12:45,12.52
231,7/12/2021 12:55,12.14
232,7/12/2021 13:05,12.65
233,7/12/2021 13:15,12.78
