Obs_Numb,Date_Time,AirTemp_C
4,7/10/2021 22:54,22.99
5,7/10/2021 23:04,22.48
6,7/10/2021 23:14,22.13
7,7/10/2021 23:24,21.79
8,7/10/2021 23:34,21.49
9,7/10/2021 23:44,21.23
10,7/10/2021 23:54,21.06
11,7/11/2021 0:04,20.98
12,7/11/2021 0:14,20.85
13,7/11/2021 0:24,20.72
14,7/11/2021 0:34,20.63
15,7/11/2021 0:44,20.55
16,7/11/2021 0:54,20.5
17,7/11/2021 1:04,20.46
18,7/11/2021 1:14,20.42
19,7/11/2021 1:24,20.33
20,7/11/2021 1:34,20.29
21,7/11/2021 1:44,20.29
22,7/11/2021 1:54,20.25
23,7/11/2021 2:04,20.12
24,7/11/2021 2:14,20.07
25,7/11/2021 2:24,20.03
26,7/11/2021 2:34,19.99
27,7/11/2021 2:44,19.95
28,7/11/2021 2:54,19.9
29,7/11/2021 3:04,19.82
30,7/11/2021 3:14,19.73
31,7/11/2021 3:24,19.73
32,7/11/2021 3:34,19.73
33,7/11/2021 3:44,19.69
34,7/11/2021 3:54,19.6
35,7/11/2021 4:04,19.56
36,7/11/2021 4:14,19.52
37,7/11/2021 4:24,19.56
38,7/11/2021 4:34,19.52
39,7/11/2021 4:44,19.47
40,7/11/2021 4:54,19.43
41,7/11/2021 5:04,19.43
42,7/11/2021 5:14,19.39
43,7/11/2021 5:24,19.43
44,7/11/2021 5:34,19.35
45,7/11/2021 5:44,19.35
46,7/11/2021 5:54,19.35
47,7/11/2021 6:04,19.3
48,7/11/2021 6:14,19.26
49,7/11/2021 6:24,19.22
50,7/11/2021 6:34,19.22
51,7/11/2021 6:44,19.17
52,7/11/2021 6:54,19.17
53,7/11/2021 7:04,19.17
54,7/11/2021 7:14,19.17
55,7/11/2021 7:24,19.13
56,7/11/2021 7:34,19.13
57,7/11/2021 7:44,19.13
58,7/11/2021 7:54,19.09
59,7/11/2021 8:04,19.05
60,7/11/2021 8:14,19.09
61,7/11/2021 8:24,19.09
62,7/11/2021 8:34,19.05
63,7/11/2021 8:44,19.05
64,7/11/2021 8:54,19.09
65,7/11/2021 9:04,19.09
66,7/11/2021 9:14,19.13
67,7/11/2021 9:24,19.17
68,7/11/2021 9:34,19.26
69,7/11/2021 9:44,19.35
70,7/11/2021 9:54,19.39
71,7/11/2021 10:04,19.43
72,7/11/2021 10:14,18.92
73,7/11/2021 10:24,18.66
74,7/11/2021 10:34,18.57
75,7/11/2021 10:44,18.53
76,7/11/2021 10:54,18.49
77,7/11/2021 11:04,18.57
78,7/11/2021 11:14,18.7
79,7/11/2021 11:24,18.92
80,7/11/2021 11:34,19.22
81,7/11/2021 11:44,19.52
82,7/11/2021 11:54,19.9
83,7/11/2021 12:04,20.25
84,7/11/2021 12:14,20.72
85,7/11/2021 12:24,21.15
86,7/11/2021 12:34,21.62
87,7/11/2021 12:44,22.05
88,7/11/2021 12:54,22.48
89,7/11/2021 13:04,22.86
90,7/11/2021 13:14,23.25
91,7/11/2021 13:24,23.59
92,7/11/2021 13:34,23.98
93,7/11/2021 13:44,24.28
94,7/11/2021 13:54,24.58
95,7/11/2021 14:04,24.92
96,7/11/2021 14:14,25.09
97,7/11/2021 14:24,25.31
98,7/11/2021 14:34,25.44
99,7/11/2021 14:44,25.57
100,7/11/2021 14:54,25.61
101,7/11/2021 15:04,25.69
102,7/11/2021 15:14,25.69
103,7/11/2021 15:24,25.69
104,7/11/2021 15:34,25.74
105,7/11/2021 15:44,25.69
106,7/11/2021 15:54,25.74
107,7/11/2021 16:04,25.74
108,7/11/2021 16:14,25.74
109,7/11/2021 16:24,25.78
110,7/11/2021 16:34,25.78
111,7/11/2021 16:44,25.78
112,7/11/2021 16:54,25.74
113,7/11/2021 17:04,25.78
114,7/11/2021 17:14,25.74
115,7/11/2021 17:24,25.74
116,7/11/2021 17:34,25.78
117,7/11/2021 17:44,25.69
118,7/11/2021 17:54,25.69
119,7/11/2021 18:04,25.65
120,7/11/2021 18:14,25.61
121,7/11/2021 18:24,25.57
122,7/11/2021 18:34,25.52
123,7/11/2021 18:44,25.44
124,7/11/2021 18:54,25.35
125,7/11/2021 19:04,25.18
126,7/11/2021 19:14,25.01
127,7/11/2021 19:24,24.84
128,7/11/2021 19:34,24.58
129,7/11/2021 19:44,24.32
130,7/11/2021 19:54,23.98
131,7/11/2021 20:04,23.64
132,7/11/2021 20:14,23.21
133,7/11/2021 20:24,22.73
134,7/11/2021 20:34,22.26
135,7/11/2021 20:44,21.66
136,7/11/2021 20:54,21.15
137,7/11/2021 21:04,20.63
138,7/11/2021 21:14,20.12
139,7/11/2021 21:24,19.6
140,7/11/2021 21:34,19.17
141,7/11/2021 21:44,18.7
142,7/11/2021 21:54,18.23
143,7/11/2021 22:04,17.89
144,7/11/2021 22:14,17.63
145,7/11/2021 22:24,17.33
146,7/11/2021 22:34,17.07
147,7/11/2021 22:44,16.73
148,7/11/2021 22:54,16.51
149,7/11/2021 23:04,16.3
150,7/11/2021 23:14,16.08
151,7/11/2021 23:24,15.83
152,7/11/2021 23:34,15.61
153,7/11/2021 23:44,15.4
154,7/11/2021 23:54,15.23
155,7/12/2021 0:04,14.97
156,7/12/2021 0:14,14.84
157,7/12/2021 0:24,14.67
158,7/12/2021 0:34,14.54
159,7/12/2021 0:44,14.33
160,7/12/2021 0:54,14.24
161,7/12/2021 1:04,14.07
162,7/12/2021 1:14,14.03
163,7/12/2021 1:24,13.85
164,7/12/2021 1:34,13.77
165,7/12/2021 1:44,13.64
166,7/12/2021 1:54,13.55
167,7/12/2021 2:04,13.43
168,7/12/2021 2:14,13.38
169,7/12/2021 2:24,13.25
170,7/12/2021 2:34,13.21
171,7/12/2021 2:44,13.17
172,7/12/2021 2:54,13.08
173,7/12/2021 3:04,13
174,7/12/2021 3:14,12.87
175,7/12/2021 3:24,12.87
176,7/12/2021 3:34,12.78
177,7/12/2021 3:44,12.74
178,7/12/2021 3:54,12.74
179,7/12/2021 4:04,12.61
180,7/12/2021 4:14,12.57
181,7/12/2021 4:24,12.57
182,7/12/2021 4:34,12.52
183,7/12/2021 4:44,12.48
184,7/12/2021 4:54,12.57
185,7/12/2021 5:04,12.7
186,7/12/2021 5:14,12.87
187,7/12/2021 5:24,12.95
188,7/12/2021 5:34,13.38
189,7/12/2021 5:44,14.24
190,7/12/2021 5:54,15.61
191,7/12/2021 6:04,16.81
192,7/12/2021 6:14,16.86
193,7/12/2021 6:24,16.77
194,7/12/2021 6:34,16.47
195,7/12/2021 6:44,16.26
196,7/12/2021 6:54,16.34
197,7/12/2021 7:04,15.91
198,7/12/2021 7:14,15.57
199,7/12/2021 7:24,15.06
200,7/12/2021 7:34,14.88
201,7/12/2021 7:44,14.84
202,7/12/2021 7:54,14.84
203,7/12/2021 8:04,14.84
204,7/12/2021 8:14,14.88
205,7/12/2021 8:24,14.97
206,7/12/2021 8:34,14.97
207,7/12/2021 8:44,15.57
208,7/12/2021 8:54,16.43
209,7/12/2021 9:04,16.3
210,7/12/2021 9:14,16.13
211,7/12/2021 9:24,16.34
212,7/12/2021 9:34,16.73
213,7/12/2021 9:44,17.11
214,7/12/2021 9:54,17.5
215,7/12/2021 10:04,17.97
216,7/12/2021 10:14,18.44
217,7/12/2021 10:24,18.92
218,7/12/2021 10:34,19.13
219,7/12/2021 10:44,19.65
220,7/12/2021 10:54,20.46
221,7/12/2021 11:04,20.93
222,7/12/2021 11:14,21.28
223,7/12/2021 11:24,20.16
224,7/12/2021 11:34,16.77
225,7/12/2021 11:44,16.17
226,7/12/2021 11:54,16.64
227,7/12/2021 12:04,17.76
228,7/12/2021 12:14,19.13
229,7/12/2021 12:24,20.68
230,7/12/2021 12:34,22.35
231,7/12/2021 12:44,23.98
232,7/12/2021 12:54,25.48
233,7/12/2021 13:04,26.77
234,7/12/2021 13:14,27.84
235,7/12/2021 13:24,28.74
236,7/12/2021 13:34,29.47
237,7/12/2021 13:44,30.11
238,7/12/2021 13:54,30.67
239,7/12/2021 14:04,31.1
240,7/12/2021 14:14,31.49
241,7/12/2021 14:24,31.74
242,7/12/2021 14:34,31.96
243,7/12/2021 14:44,32
244,7/12/2021 14:54,32
245,7/12/2021 15:04,32
246,7/12/2021 15:14,31.92
247,7/12/2021 15:24,31.79
248,7/12/2021 15:34,31.61
249,7/12/2021 15:44,31.44
250,7/12/2021 15:54,31.27
251,7/12/2021 16:04,31.06
252,7/12/2021 16:14,30.84
253,7/12/2021 16:24,30.54
254,7/12/2021 16:34,30.37
255,7/12/2021 16:44,30.11
256,7/12/2021 16:54,29.81
257,7/12/2021 17:04,29.64
258,7/12/2021 17:14,29.34
259,7/12/2021 17:24,29.08
260,7/12/2021 17:34,28.78
261,7/12/2021 17:44,28.53
262,7/12/2021 17:54,28.23
263,7/12/2021 18:04,27.88
264,7/12/2021 18:14,27.5
265,7/12/2021 18:24,27.07
266,7/12/2021 18:34,26.68
267,7/12/2021 18:44,26.12
268,7/12/2021 18:54,25.65
269,7/12/2021 19:04,25.05
270,7/12/2021 19:14,24.54
271,7/12/2021 19:24,23.94
272,7/12/2021 19:34,23.38
273,7/12/2021 19:44,22.82
274,7/12/2021 19:54,22.31
275,7/12/2021 20:04,21.75
276,7/12/2021 20:14,21.23
277,7/12/2021 20:24,20.76
278,7/12/2021 20:34,20.2
279,7/12/2021 20:44,19.73
280,7/12/2021 20:54,19.26
281,7/12/2021 21:04,18.83
282,7/12/2021 21:14,18.4
283,7/12/2021 21:24,17.93
284,7/12/2021 21:34,17.5
285,7/12/2021 21:44,17.16
286,7/12/2021 21:54,16.73
287,7/12/2021 22:04,16.39
288,7/12/2021 22:14,16.04
289,7/12/2021 22:24,15.74
290,7/12/2021 22:34,15.44
291,7/12/2021 22:44,15.14
292,7/12/2021 22:54,14.88
293,7/12/2021 23:04,14.67
294,7/12/2021 23:14,14.37
295,7/12/2021 23:24,14.15
296,7/12/2021 23:34,14.03
297,7/12/2021 23:44,13.85
298,7/12/2021 23:54,13.73
299,7/13/2021 0:04,13.64
300,7/13/2021 0:14,13.51
301,7/13/2021 0:24,13.43
302,7/13/2021 0:34,13.34
303,7/13/2021 0:44,13.3
304,7/13/2021 0:54,13.21
305,7/13/2021 1:04,13.17
306,7/13/2021 1:14,13.12
307,7/13/2021 1:24,13.08
308,7/13/2021 1:34,13.04
309,7/13/2021 1:44,13
310,7/13/2021 1:54,12.91
311,7/13/2021 2:04,12.82
312,7/13/2021 2:14,12.78
313,7/13/2021 2:24,12.74
314,7/13/2021 2:34,12.7
315,7/13/2021 2:44,12.65
316,7/13/2021 2:54,12.65
317,7/13/2021 3:04,12.52
318,7/13/2021 3:14,12.52
319,7/13/2021 3:24,12.48
320,7/13/2021 3:34,12.44
321,7/13/2021 3:44,12.4
322,7/13/2021 3:54,12.35
323,7/13/2021 4:04,12.31
324,7/13/2021 4:14,12.27
325,7/13/2021 4:24,12.22
326,7/13/2021 4:34,12.18
327,7/13/2021 4:44,12.18
328,7/13/2021 4:54,12.14
329,7/13/2021 5:04,12.1
330,7/13/2021 5:14,12.01
331,7/13/2021 5:24,12.1
332,7/13/2021 5:34,12.05
333,7/13/2021 5:44,12.01
334,7/13/2021 5:54,11.97
335,7/13/2021 6:04,11.92
336,7/13/2021 6:14,11.97
337,7/13/2021 6:24,11.97
338,7/13/2021 6:34,12.01
339,7/13/2021 6:44,12.01
340,7/13/2021 6:54,12.05
341,7/13/2021 7:04,12.14
342,7/13/2021 7:14,12.22
343,7/13/2021 7:24,12.18
344,7/13/2021 7:34,12.14
345,7/13/2021 7:44,12.27
346,7/13/2021 7:54,12.61
347,7/13/2021 8:04,13.12
348,7/13/2021 8:14,13.73
349,7/13/2021 8:24,14.28
350,7/13/2021 8:34,14.71
351,7/13/2021 8:44,15.06
352,7/13/2021 8:54,15.23
353,7/13/2021 9:04,14.97
354,7/13/2021 9:14,13.6
355,7/13/2021 9:24,12.57
356,7/13/2021 9:34,12.44
357,7/13/2021 9:44,12.57
358,7/13/2021 9:54,12.74
359,7/13/2021 10:04,12.91
360,7/13/2021 10:14,13.3
361,7/13/2021 10:24,13.6
362,7/13/2021 10:34,14.2
363,7/13/2021 10:44,14.41
364,7/13/2021 10:54,14.67
365,7/13/2021 11:04,14.33
366,7/13/2021 11:14,14.41
367,7/13/2021 11:24,14.58
368,7/13/2021 11:34,14.75
369,7/13/2021 11:44,14.88
370,7/13/2021 11:54,15.14
371,7/13/2021 12:04,15.4
372,7/13/2021 12:14,15.7
373,7/13/2021 12:24,15.78
374,7/13/2021 12:34,15.83
375,7/13/2021 12:44,16
376,7/13/2021 12:54,16.04
377,7/13/2021 13:04,15.44
378,7/13/2021 13:14,14.93
379,7/13/2021 13:24,14.93
380,7/13/2021 13:34,15.36
381,7/13/2021 13:44,15.53
382,7/13/2021 13:54,15.83
383,7/13/2021 14:04,15.48
384,7/13/2021 14:14,15.27
385,7/13/2021 14:24,15.1
386,7/13/2021 14:34,14.75
387,7/13/2021 14:44,14.84
388,7/13/2021 14:54,14.71
389,7/13/2021 15:04,14.67
390,7/13/2021 15:14,14.58
391,7/13/2021 15:24,14.93
392,7/13/2021 15:34,14.88
393,7/13/2021 15:44,15.1
394,7/13/2021 15:54,14.84
395,7/13/2021 16:04,14.58
396,7/13/2021 16:14,14.58
397,7/13/2021 16:24,14.71
398,7/13/2021 16:34,14.5
399,7/13/2021 16:44,14.15
400,7/13/2021 16:54,14.33
401,7/13/2021 17:04,14.24
402,7/13/2021 17:14,14.37
403,7/13/2021 17:24,14.24
404,7/13/2021 17:34,13.94
405,7/13/2021 17:44,13.68
406,7/13/2021 17:54,13.51
407,7/13/2021 18:04,13.21
408,7/13/2021 18:14,13.08
409,7/13/2021 18:24,13.08
410,7/13/2021 18:34,13
411,7/13/2021 18:44,13.21
412,7/13/2021 18:54,13.04
413,7/13/2021 19:04,12.87
414,7/13/2021 19:14,12.82
415,7/13/2021 19:24,12.78
416,7/13/2021 19:34,12.61
417,7/13/2021 19:44,12.65
418,7/13/2021 19:54,12.7
419,7/13/2021 20:04,12.7
420,7/13/2021 20:14,12.57
421,7/13/2021 20:24,12.52
422,7/13/2021 20:34,12.35
423,7/13/2021 20:44,12.4
424,7/13/2021 20:54,12.35
425,7/13/2021 21:04,12.44
426,7/13/2021 21:14,12.52
427,7/13/2021 21:24,12.4
428,7/13/2021 21:34,12.27
429,7/13/2021 21:44,12.35
430,7/13/2021 21:54,12.4
431,7/13/2021 22:04,12.18
432,7/13/2021 22:14,12.31
433,7/13/2021 22:24,12.4
434,7/13/2021 22:34,12.27
435,7/13/2021 22:44,12.35
436,7/13/2021 22:54,12.31
437,7/13/2021 23:04,12.35
438,7/13/2021 23:14,12.18
439,7/13/2021 23:24,12.31
440,7/13/2021 23:34,12.44
441,7/13/2021 23:44,12.4
442,7/13/2021 23:54,12.35
443,7/14/2021 0:04,12.31
444,7/14/2021 0:14,12.27
445,7/14/2021 0:24,12.4
446,7/14/2021 0:34,12.44
447,7/14/2021 0:44,12.48
448,7/14/2021 0:54,12.61
449,7/14/2021 1:04,12.78
450,7/14/2021 1:14,12.78
451,7/14/2021 1:24,12.82
452,7/14/2021 1:34,12.78
453,7/14/2021 1:44,12.91
454,7/14/2021 1:54,13
455,7/14/2021 2:04,13.17
456,7/14/2021 2:14,13.25
457,7/14/2021 2:24,13.25
458,7/14/2021 2:34,13.25
459,7/14/2021 2:44,13.17
460,7/14/2021 2:54,13.21
461,7/14/2021 3:04,13.17
462,7/14/2021 3:14,13
463,7/14/2021 3:24,13
464,7/14/2021 3:34,12.91
465,7/14/2021 3:44,13.04
466,7/14/2021 3:54,12.78
467,7/14/2021 4:04,12.78
468,7/14/2021 4:14,12.82
469,7/14/2021 4:24,12.82
470,7/14/2021 4:34,12.91
471,7/14/2021 4:44,12.82
472,7/14/2021 4:54,12.82
473,7/14/2021 5:04,12.91
474,7/14/2021 5:14,12.74
475,7/14/2021 5:24,12.95
476,7/14/2021 5:34,12.87
477,7/14/2021 5:44,12.65
478,7/14/2021 5:54,12.74
479,7/14/2021 6:04,12.57
480,7/14/2021 6:14,12.82
481,7/14/2021 6:24,12.78
482,7/14/2021 6:34,12.87
483,7/14/2021 6:44,12.82
484,7/14/2021 6:54,12.65
485,7/14/2021 7:04,12.78
486,7/14/2021 7:14,12.74
487,7/14/2021 7:24,12.65
488,7/14/2021 7:34,12.78
489,7/14/2021 7:44,12.74
490,7/14/2021 7:54,12.87
491,7/14/2021 8:04,12.87
492,7/14/2021 8:14,12.95
493,7/14/2021 8:24,13
