Date_Time,time_pt,Lease,Site,Sensor,AirTemp_C
7/10/2021 22:53,1,BBOC,Middle,Air,20.76
7/10/2021 23:03,1,BBOC,Middle,Air,20.72
7/10/2021 23:13,1,BBOC,Middle,Air,20.63
7/10/2021 23:23,1,BBOC,Middle,Air,20.46
7/10/2021 23:33,1,BBOC,Middle,Air,20.29
7/10/2021 23:43,1,BBOC,Middle,Air,20.25
7/10/2021 23:53,1,BBOC,Middle,Air,20.16
7/11/2021 0:03,1,BBOC,Middle,Air,20.12
7/11/2021 0:13,1,BBOC,Middle,Air,20.03
7/11/2021 0:23,1,BBOC,Middle,Air,19.99
7/11/2021 0:33,1,BBOC,Middle,Air,19.99
7/11/2021 0:43,1,BBOC,Middle,Air,19.9
7/11/2021 0:53,1,BBOC,Middle,Air,19.9
7/11/2021 1:03,1,BBOC,Middle,Air,19.86
7/11/2021 1:13,1,BBOC,Middle,Air,19.82
7/11/2021 1:23,1,BBOC,Middle,Air,19.77
7/11/2021 1:33,1,BBOC,Middle,Air,19.77
7/11/2021 1:43,1,BBOC,Middle,Air,19.73
7/11/2021 1:53,1,BBOC,Middle,Air,19.73
7/11/2021 2:03,1,BBOC,Middle,Air,19.65
7/11/2021 2:13,1,BBOC,Middle,Air,19.6
7/11/2021 2:23,1,BBOC,Middle,Air,19.52
7/11/2021 2:33,1,BBOC,Middle,Air,19.52
7/11/2021 2:43,1,BBOC,Middle,Air,19.47
7/11/2021 2:53,1,BBOC,Middle,Air,19.43
7/11/2021 3:03,1,BBOC,Middle,Air,19.39
7/11/2021 3:13,1,BBOC,Middle,Air,19.3
7/11/2021 3:23,1,BBOC,Middle,Air,19.26
7/11/2021 3:33,1,BBOC,Middle,Air,19.26
7/11/2021 3:43,1,BBOC,Middle,Air,19.17
7/11/2021 3:53,1,BBOC,Middle,Air,19.22
7/11/2021 4:03,1,BBOC,Middle,Air,19.13
7/11/2021 4:13,1,BBOC,Middle,Air,19.13
7/11/2021 4:23,1,BBOC,Middle,Air,19.13
7/11/2021 4:33,1,BBOC,Middle,Air,19.05
7/11/2021 4:43,1,BBOC,Middle,Air,19
7/11/2021 4:53,1,BBOC,Middle,Air,19
7/11/2021 5:03,1,BBOC,Middle,Air,19
7/11/2021 5:13,1,BBOC,Middle,Air,18.96
7/11/2021 5:23,1,BBOC,Middle,Air,18.96
7/11/2021 5:33,1,BBOC,Middle,Air,18.96
7/11/2021 5:43,1,BBOC,Middle,Air,18.92
7/11/2021 5:53,1,BBOC,Middle,Air,18.87
7/11/2021 6:03,1,BBOC,Middle,Air,18.87
7/11/2021 6:13,1,BBOC,Middle,Air,18.83
7/11/2021 6:23,1,BBOC,Middle,Air,18.79
7/11/2021 6:33,1,BBOC,Middle,Air,18.79
7/11/2021 6:43,1,BBOC,Middle,Air,18.74
7/11/2021 6:53,1,BBOC,Middle,Air,18.74
7/11/2021 7:03,1,BBOC,Middle,Air,18.74
7/11/2021 7:13,1,BBOC,Middle,Air,18.79
7/11/2021 7:23,1,BBOC,Middle,Air,18.79
7/11/2021 7:33,1,BBOC,Middle,Air,18.79
7/11/2021 7:43,1,BBOC,Middle,Air,18.74
7/11/2021 7:53,1,BBOC,Middle,Air,18.74
7/11/2021 8:03,1,BBOC,Middle,Air,18.74
7/11/2021 8:13,1,BBOC,Middle,Air,18.74
7/11/2021 8:23,1,BBOC,Middle,Air,18.74
7/11/2021 8:33,1,BBOC,Middle,Air,18.74
