Obs_Numb,Date_Time,WaterTemp_C
3,7/10/2021 22:52,24.24
4,7/10/2021 23:02,23.51
5,7/10/2021 23:12,22.99
6,7/10/2021 23:22,22.56
7,7/10/2021 23:32,22.26
8,7/10/2021 23:42,22.01
9,7/10/2021 23:52,21.79
10,7/11/2021 0:02,21.62
11,7/11/2021 0:12,21.45
12,7/11/2021 0:22,21.4
13,7/11/2021 0:32,21.28
14,7/11/2021 0:42,21.23
15,7/11/2021 0:52,21.15
16,7/11/2021 1:02,21.1
17,7/11/2021 1:12,21.02
18,7/11/2021 1:22,20.98
19,7/11/2021 1:32,20.89
20,7/11/2021 1:42,20.93
21,7/11/2021 1:52,20.85
22,7/11/2021 2:02,20.89
23,7/11/2021 2:12,20.85
24,7/11/2021 2:22,20.8
25,7/11/2021 2:32,20.8
26,7/11/2021 2:42,20.76
27,7/11/2021 2:52,20.72
28,7/11/2021 3:02,20.68
29,7/11/2021 3:12,20.63
30,7/11/2021 3:22,20.63
31,7/11/2021 3:32,20.59
32,7/11/2021 3:42,20.55
33,7/11/2021 3:52,20.59
34,7/11/2021 4:02,20.5
35,7/11/2021 4:12,20.5
36,7/11/2021 4:22,20.46
37,7/11/2021 4:32,20.46
38,7/11/2021 4:42,20.42
39,7/11/2021 4:52,20.37
40,7/11/2021 5:02,20.37
41,7/11/2021 5:12,20.33
42,7/11/2021 5:22,20.33
43,7/11/2021 5:32,20.29
44,7/11/2021 5:42,20.29
45,7/11/2021 5:52,20.29
46,7/11/2021 6:02,20.29
47,7/11/2021 6:12,20.16
48,7/11/2021 6:22,20.2
49,7/11/2021 6:32,20.2
50,7/11/2021 6:42,20.2
51,7/11/2021 6:52,20.16
52,7/11/2021 7:02,20.16
53,7/11/2021 7:12,20.12
54,7/11/2021 7:22,20.07
55,7/11/2021 7:32,20.12
56,7/11/2021 7:42,20.03
57,7/11/2021 7:52,20.03
58,7/11/2021 8:02,20.03
59,7/11/2021 8:12,19.99
60,7/11/2021 8:22,19.99
61,7/11/2021 8:32,19.99
62,7/11/2021 8:42,19.95
63,7/11/2021 8:52,19.9
64,7/11/2021 9:02,19.9
65,7/11/2021 9:12,19.9
66,7/11/2021 9:22,19.95
67,7/11/2021 9:32,19.9
68,7/11/2021 9:42,19.9
69,7/11/2021 9:52,19.95
70,7/11/2021 10:02,19.95
71,7/11/2021 10:12,19.95
72,7/11/2021 10:22,19.9
73,7/11/2021 10:32,19.9
74,7/11/2021 10:42,19.99
75,7/11/2021 10:52,20.33
76,7/11/2021 11:02,20.76
77,7/11/2021 11:12,21.23
78,7/11/2021 11:22,21.83
79,7/11/2021 11:32,22.39
80,7/11/2021 11:42,22.91
81,7/11/2021 11:52,23.46
82,7/11/2021 12:02,24.11
83,7/11/2021 12:12,24.79
84,7/11/2021 12:22,25.44
85,7/11/2021 12:32,26.04
86,7/11/2021 12:42,26.51
87,7/11/2021 12:52,26.81
88,7/11/2021 13:02,27.07
89,7/11/2021 13:12,27.28
90,7/11/2021 13:22,27.58
91,7/11/2021 13:32,27.84
92,7/11/2021 13:42,28.14
93,7/11/2021 13:52,28.4
94,7/11/2021 14:02,28.57
95,7/11/2021 14:12,28.78
96,7/11/2021 14:22,28.87
97,7/11/2021 14:32,28.91
98,7/11/2021 14:42,28.95
99,7/11/2021 14:52,28.91
100,7/11/2021 15:02,28.91
101,7/11/2021 15:12,28.95
102,7/11/2021 15:22,28.95
103,7/11/2021 15:32,29.04
104,7/11/2021 15:42,29.08
105,7/11/2021 15:52,29.26
106,7/11/2021 16:02,29.47
107,7/11/2021 16:12,29.64
108,7/11/2021 16:22,29.94
109,7/11/2021 16:32,30.24
110,7/11/2021 16:42,30.54
111,7/11/2021 16:52,30.71
112,7/11/2021 17:02,30.89
113,7/11/2021 17:12,30.89
114,7/11/2021 17:22,30.84
115,7/11/2021 17:32,30.76
116,7/11/2021 17:42,30.59
117,7/11/2021 17:52,30.37
118,7/11/2021 18:02,30.07
119,7/11/2021 18:12,29.81
120,7/11/2021 18:22,29.38
121,7/11/2021 18:32,28.83
122,7/11/2021 18:42,28.35
123,7/11/2021 18:52,27.84
124,7/11/2021 19:02,27.24
125,7/11/2021 19:12,26.68
126,7/11/2021 19:22,25.99
127,7/11/2021 19:32,25.35
128,7/11/2021 19:42,24.71
129,7/11/2021 19:52,23.98
130,7/11/2021 20:02,23.25
131,7/11/2021 20:12,22.52
132,7/11/2021 20:22,21.79
133,7/11/2021 20:32,21.1
134,7/11/2021 20:42,20.42
135,7/11/2021 20:52,19.82
136,7/11/2021 21:02,19.22
137,7/11/2021 21:12,18.62
138,7/11/2021 21:22,18.1
139,7/11/2021 21:32,17.67
140,7/11/2021 21:42,17.24
141,7/11/2021 21:52,16.81
142,7/11/2021 22:02,16.43
143,7/11/2021 22:12,16.13
144,7/11/2021 22:22,15.87
145,7/11/2021 22:32,15.74
146,7/11/2021 22:42,15.48
147,7/11/2021 22:52,15.27
148,7/11/2021 23:02,15.06
149,7/11/2021 23:12,14.84
150,7/11/2021 23:22,14.63
151,7/11/2021 23:32,14.41
152,7/11/2021 23:42,14.2
153,7/11/2021 23:52,14.03
154,7/12/2021 0:02,13.9
155,7/12/2021 0:12,13.73
156,7/12/2021 0:22,13.6
157,7/12/2021 0:32,13.47
158,7/12/2021 0:42,13.43
159,7/12/2021 0:52,13.25
160,7/12/2021 1:02,13.17
161,7/12/2021 1:12,13.08
162,7/12/2021 1:22,13
163,7/12/2021 1:32,12.95
164,7/12/2021 1:42,12.87
165,7/12/2021 1:52,12.78
166,7/12/2021 2:02,12.74
167,7/12/2021 2:12,12.65
168,7/12/2021 2:22,12.65
169,7/12/2021 2:32,12.57
170,7/12/2021 2:42,12.48
171,7/12/2021 2:52,12.44
172,7/12/2021 3:02,12.4
173,7/12/2021 3:12,12.4
174,7/12/2021 3:22,12.31
175,7/12/2021 3:32,12.27
176,7/12/2021 3:42,12.22
177,7/12/2021 3:52,12.18
178,7/12/2021 4:02,12.14
179,7/12/2021 4:12,12.14
180,7/12/2021 4:22,12.1
181,7/12/2021 4:32,12.1
182,7/12/2021 4:42,12.05
183,7/12/2021 4:52,14.11
184,7/12/2021 5:02,13.98
185,7/12/2021 5:12,13.81
186,7/12/2021 5:22,13.68
187,7/12/2021 5:32,13.6
188,7/12/2021 5:42,13.64
189,7/12/2021 5:52,13.81
190,7/12/2021 6:02,13.9
191,7/12/2021 6:12,13.94
192,7/12/2021 6:22,14.03
193,7/12/2021 6:32,14.11
194,7/12/2021 6:42,14.24
195,7/12/2021 6:52,14.37
196,7/12/2021 7:02,14.37
197,7/12/2021 7:12,14.41
198,7/12/2021 7:22,14.33
199,7/12/2021 7:32,18.74
200,7/12/2021 7:36,
201,7/12/2021 7:36,
202,7/12/2021 7:36,
203,7/12/2021 7:36,
204,7/12/2021 7:36,
205,7/12/2021 7:36,
206,7/12/2021 7:36,
207,7/12/2021 7:36,
208,7/12/2021 7:36,
209,7/12/2021 7:36,
210,7/12/2021 7:36,
211,7/12/2021 7:42,16.04
212,7/12/2021 7:52,13
213,7/12/2021 8:02,12.74
214,7/12/2021 8:12,13.12
215,7/12/2021 8:22,13.38
216,7/12/2021 8:32,13.38
217,7/12/2021 8:42,13.64
218,7/12/2021 8:52,14.45
219,7/12/2021 9:02,14.88
220,7/12/2021 9:12,15.27
221,7/12/2021 9:22,16.17
222,7/12/2021 9:32,15.7
223,7/12/2021 9:42,16.21
224,7/12/2021 9:52,16.21
225,7/12/2021 10:02,16.56
226,7/12/2021 10:12,16.51
227,7/12/2021 10:22,16.81
228,7/12/2021 10:32,17.46
229,7/12/2021 10:42,18.23
230,7/12/2021 10:52,19.95
231,7/12/2021 11:02,20.2
232,7/12/2021 11:12,21.4
233,7/12/2021 11:22,20.85
234,7/12/2021 11:32,20.46
235,7/12/2021 11:42,20.98
236,7/12/2021 11:52,22.26
237,7/12/2021 12:02,22.56
238,7/12/2021 12:12,21.83
239,7/12/2021 12:22,20.8
240,7/12/2021 12:32,19.39
241,7/12/2021 12:42,17.84
242,7/12/2021 12:52,17.41
243,7/12/2021 13:02,17.37
244,7/12/2021 13:12,17.59
245,7/12/2021 13:22,17.54
246,7/12/2021 13:32,17.59
247,7/12/2021 13:42,17.63
248,7/12/2021 13:52,17.59
249,7/12/2021 14:02,17.41
250,7/12/2021 14:12,17.37
251,7/12/2021 14:22,17.41
252,7/12/2021 14:32,17.89
253,7/12/2021 14:42,17.84
254,7/12/2021 14:52,17.93
255,7/12/2021 15:02,17.8
256,7/12/2021 15:12,18.02
257,7/12/2021 15:22,18.23
258,7/12/2021 15:32,17.93
259,7/12/2021 15:42,17.89
260,7/12/2021 15:52,18.23
261,7/12/2021 16:02,17.89
262,7/12/2021 16:12,17.46
263,7/12/2021 16:22,17.24
264,7/12/2021 16:32,17.2
265,7/12/2021 16:42,17.2
266,7/12/2021 16:52,17.72
267,7/12/2021 17:02,18.53
268,7/12/2021 17:12,18.79
269,7/12/2021 17:22,18.83
270,7/12/2021 17:32,18.23
271,7/12/2021 17:42,18.02
272,7/12/2021 17:52,17.72
273,7/12/2021 18:02,17.63
274,7/12/2021 18:12,17.72
275,7/12/2021 18:22,17.8
276,7/12/2021 18:32,17.89
277,7/12/2021 18:42,18.27
278,7/12/2021 18:52,18.79
279,7/12/2021 19:02,18.7
280,7/12/2021 19:12,18.4
281,7/12/2021 19:22,18.27
282,7/12/2021 19:32,18.02
283,7/12/2021 19:42,17.84
284,7/12/2021 19:52,17.72
285,7/12/2021 20:02,17.54
286,7/12/2021 20:12,17.59
287,7/12/2021 20:22,17.54
288,7/12/2021 20:32,17.2
289,7/12/2021 20:42,17.24
290,7/12/2021 20:52,17.07
291,7/12/2021 21:02,16.86
