Obs_Numb,Date_Time,WaterTemp_C
3,7/10/2021 22:48,24.58
4,7/10/2021 22:58,23.72
5,7/10/2021 23:08,22.91
6,7/10/2021 23:18,22.39
7,7/10/2021 23:28,22.01
8,7/10/2021 23:38,21.83
9,7/10/2021 23:48,21.66
10,7/10/2021 23:58,21.53
11,7/11/2021 0:08,21.45
12,7/11/2021 0:18,21.36
13,7/11/2021 0:28,21.28
14,7/11/2021 0:38,21.23
15,7/11/2021 0:48,21.15
16,7/11/2021 0:58,21.06
17,7/11/2021 1:08,21.02
18,7/11/2021 1:18,20.98
19,7/11/2021 1:28,20.98
20,7/11/2021 1:38,20.93
21,7/11/2021 1:48,20.89
22,7/11/2021 1:58,20.85
23,7/11/2021 2:08,20.8
24,7/11/2021 2:18,20.8
25,7/11/2021 2:28,20.76
26,7/11/2021 2:38,20.76
27,7/11/2021 2:48,20.76
28,7/11/2021 2:58,20.72
29,7/11/2021 3:08,20.68
30,7/11/2021 3:18,20.68
31,7/11/2021 3:28,20.63
32,7/11/2021 3:38,20.59
33,7/11/2021 3:48,20.5
34,7/11/2021 3:58,20.55
35,7/11/2021 4:08,20.46
36,7/11/2021 4:18,20.5
37,7/11/2021 4:28,20.46
38,7/11/2021 4:38,20.42
39,7/11/2021 4:48,20.37
40,7/11/2021 4:58,20.37
41,7/11/2021 5:08,20.37
42,7/11/2021 5:18,20.37
43,7/11/2021 5:28,20.33
44,7/11/2021 5:38,20.29
45,7/11/2021 5:48,20.29
46,7/11/2021 5:58,20.25
47,7/11/2021 6:08,20.2
48,7/11/2021 6:18,20.25
49,7/11/2021 6:28,20.16
50,7/11/2021 6:38,20.2
51,7/11/2021 6:48,20.16
52,7/11/2021 6:58,20.16
53,7/11/2021 7:08,20.16
54,7/11/2021 7:18,20.12
55,7/11/2021 7:28,20.03
56,7/11/2021 7:38,20.07
57,7/11/2021 7:48,20.03
58,7/11/2021 7:58,20.03
59,7/11/2021 8:08,20.03
60,7/11/2021 8:18,19.95
61,7/11/2021 8:28,19.9
62,7/11/2021 8:38,19.9
63,7/11/2021 8:48,19.9
64,7/11/2021 8:58,19.9
65,7/11/2021 9:08,19.9
66,7/11/2021 9:18,19.9
67,7/11/2021 9:28,19.9
68,7/11/2021 9:38,19.9
69,7/11/2021 9:48,19.99
70,7/11/2021 9:58,19.95
71,7/11/2021 10:08,19.95
72,7/11/2021 10:18,19.95
73,7/11/2021 10:28,19.9
74,7/11/2021 10:38,19.95
75,7/11/2021 10:48,20.16
76,7/11/2021 10:58,20.55
77,7/11/2021 11:08,21.06
78,7/11/2021 11:18,21.62
79,7/11/2021 11:28,22.13
80,7/11/2021 11:38,22.65
81,7/11/2021 11:48,23.16
82,7/11/2021 11:58,23.85
83,7/11/2021 12:08,24.54
84,7/11/2021 12:18,25.18
85,7/11/2021 12:28,25.74
86,7/11/2021 12:38,26.21
87,7/11/2021 12:48,26.51
88,7/11/2021 12:58,26.81
89,7/11/2021 13:08,26.98
90,7/11/2021 13:18,27.28
91,7/11/2021 13:28,27.54
92,7/11/2021 13:38,27.8
93,7/11/2021 13:48,28.1
94,7/11/2021 13:58,28.27
95,7/11/2021 14:08,28.53
96,7/11/2021 14:18,28.65
97,7/11/2021 14:28,28.74
98,7/11/2021 14:38,28.7
99,7/11/2021 14:48,28.7
100,7/11/2021 14:58,28.7
101,7/11/2021 15:08,28.65
102,7/11/2021 15:18,28.65
103,7/11/2021 15:28,28.7
104,7/11/2021 15:38,28.78
105,7/11/2021 15:48,28.87
106,7/11/2021 15:58,29
107,7/11/2021 16:08,29.13
108,7/11/2021 16:18,29.3
109,7/11/2021 16:28,29.47
110,7/11/2021 16:38,29.64
111,7/11/2021 16:48,29.81
112,7/11/2021 16:58,29.94
113,7/11/2021 17:08,30.03
114,7/11/2021 17:18,30.11
115,7/11/2021 17:28,30.11
116,7/11/2021 17:38,30.03
117,7/11/2021 17:48,29.9
118,7/11/2021 17:58,29.77
119,7/11/2021 18:08,29.56
120,7/11/2021 18:18,29.3
121,7/11/2021 18:28,28.87
122,7/11/2021 18:38,28.44
123,7/11/2021 18:48,28.05
124,7/11/2021 18:58,27.54
125,7/11/2021 19:08,26.98
126,7/11/2021 19:18,26.47
127,7/11/2021 19:28,25.91
128,7/11/2021 19:38,25.31
129,7/11/2021 19:48,24.66
130,7/11/2021 19:58,23.98
131,7/11/2021 20:08,23.29
132,7/11/2021 20:18,22.61
133,7/11/2021 20:28,21.96
134,7/11/2021 20:38,21.28
135,7/11/2021 20:48,20.63
136,7/11/2021 20:58,20.07
137,7/11/2021 21:08,19.47
