Obs_Numb,Date_Time,WaterTemp_C
3,7/10/2021 22:49,24.88
4,7/10/2021 22:59,23.72
5,7/10/2021 23:09,23.08
6,7/10/2021 23:19,22.65
7,7/10/2021 23:29,22.31
8,7/10/2021 23:39,22.05
9,7/10/2021 23:49,21.83
10,7/10/2021 23:59,21.66
11,7/11/2021 0:09,21.49
12,7/11/2021 0:19,21.4
13,7/11/2021 0:29,21.23
14,7/11/2021 0:39,21.23
15,7/11/2021 0:49,21.1
16,7/11/2021 0:59,21.06
17,7/11/2021 1:09,21.02
18,7/11/2021 1:19,20.98
19,7/11/2021 1:29,20.93
20,7/11/2021 1:39,20.85
21,7/11/2021 1:49,20.8
22,7/11/2021 1:59,20.85
23,7/11/2021 2:09,20.8
24,7/11/2021 2:19,20.76
25,7/11/2021 2:29,20.72
26,7/11/2021 2:39,20.72
27,7/11/2021 2:49,20.68
28,7/11/2021 2:59,20.63
29,7/11/2021 3:09,20.63
30,7/11/2021 3:19,20.59
31,7/11/2021 3:29,20.59
32,7/11/2021 3:39,20.55
33,7/11/2021 3:49,20.55
34,7/11/2021 3:59,20.55
35,7/11/2021 4:09,20.46
36,7/11/2021 4:19,20.46
37,7/11/2021 4:29,20.42
38,7/11/2021 4:39,20.42
39,7/11/2021 4:49,20.33
40,7/11/2021 4:59,20.37
41,7/11/2021 5:09,20.33
42,7/11/2021 5:19,20.29
43,7/11/2021 5:29,20.29
44,7/11/2021 5:39,20.25
45,7/11/2021 5:49,20.25
46,7/11/2021 5:59,20.2
47,7/11/2021 6:09,20.16
48,7/11/2021 6:19,20.16
49,7/11/2021 6:29,20.16
50,7/11/2021 6:39,20.2
51,7/11/2021 6:49,20.16
52,7/11/2021 6:59,20.07
53,7/11/2021 7:09,20.07
54,7/11/2021 7:19,20.07
55,7/11/2021 7:29,20.03
56,7/11/2021 7:39,20.03
57,7/11/2021 7:49,19.99
58,7/11/2021 7:59,19.95
59,7/11/2021 8:09,19.95
60,7/11/2021 8:19,19.9
61,7/11/2021 8:29,19.9
62,7/11/2021 8:39,19.9
63,7/11/2021 8:49,19.86
64,7/11/2021 8:59,19.86
65,7/11/2021 9:09,19.82
66,7/11/2021 9:19,19.86
67,7/11/2021 9:29,19.86
68,7/11/2021 9:39,19.9
69,7/11/2021 9:49,19.82
70,7/11/2021 9:59,19.9
71,7/11/2021 10:09,19.86
72,7/11/2021 10:19,19.86
73,7/11/2021 10:29,19.77
74,7/11/2021 10:39,19.86
75,7/11/2021 10:49,20.07
76,7/11/2021 10:59,20.42
77,7/11/2021 11:09,20.89
78,7/11/2021 11:19,21.45
