Obs_Numb,Date_Time,AirTemp_C,WaterTemp_C
1,5/29/2022 12:00,18.02,16.17
2,5/29/2022 12:10,18.02,16.51
3,5/29/2022 12:20,17.97,16.9
4,5/29/2022 12:30,18.02,17.29
5,5/29/2022 12:40,18.02,17.76
6,5/29/2022 12:50,18.02,18.19
7,5/29/2022 13:00,18.02,18.66
8,5/29/2022 13:10,18.02,19.22
9,5/29/2022 13:20,18.02,19.77
10,5/29/2022 13:30,17.97,20.25
11,5/29/2022 13:40,18.02,20.85
12,5/29/2022 13:50,18.02,21.4
13,5/29/2022 14:00,17.97,22.01
14,5/29/2022 14:10,18.06,22.61
15,5/29/2022 14:20,18.06,23.21
16,5/29/2022 14:30,18.1,23.76
17,5/29/2022 14:40,18.06,24.28
18,5/29/2022 14:50,18.1,24.79
19,5/29/2022 15:00,18.1,25.27
20,5/29/2022 15:10,18.1,25.61
21,5/29/2022 15:20,18.14,25.99
22,5/29/2022 15:30,18.1,26.3
23,5/29/2022 15:40,18.1,26.55
24,5/29/2022 15:50,18.14,26.85
25,5/29/2022 16:00,18.14,27.02
26,5/29/2022 16:10,18.14,27.11
27,5/29/2022 16:20,18.19,27.24
28,5/29/2022 16:30,18.23,27.24
29,5/29/2022 16:40,18.19,27.24
30,5/29/2022 16:50,18.19,27.2
31,5/29/2022 17:00,18.19,27.15
32,5/29/2022 17:10,18.19,27.07
33,5/29/2022 17:20,18.23,26.98
34,5/29/2022 17:30,18.23,26.85
35,5/29/2022 17:40,18.27,26.72
36,5/29/2022 17:50,18.23,26.6
37,5/29/2022 18:00,18.27,26.47
38,5/29/2022 18:10,18.27,26.3
39,5/29/2022 18:20,18.27,26.17
40,5/29/2022 18:30,18.27,25.99
41,5/29/2022 18:40,18.27,25.82
42,5/29/2022 18:50,18.23,25.61
43,5/29/2022 19:00,18.23,25.48
44,5/29/2022 19:10,18.23,25.31
45,5/29/2022 19:20,18.19,25.22
46,5/29/2022 19:30,18.23,25.18
47,5/29/2022 19:40,18.23,25.09
48,5/29/2022 19:50,18.19,25.01
49,5/29/2022 20:00,18.14,24.92
50,5/29/2022 20:10,18.14,24.79
51,5/29/2022 20:20,18.14,24.71
52,5/29/2022 20:30,18.1,24.58
53,5/29/2022 20:40,18.06,24.36
54,5/29/2022 20:50,18.02,24.19
55,5/29/2022 21:00,18.02,23.94
56,5/29/2022 21:10,18.02,23.81
57,5/29/2022 21:20,18.02,23.55
58,5/29/2022 21:30,17.97,23.25
59,5/29/2022 21:40,17.89,23.08
60,5/29/2022 21:50,17.84,22.78
61,5/29/2022 22:00,17.89,22.52
62,5/29/2022 22:10,17.89,22.26
63,5/29/2022 22:20,17.89,21.96
64,5/29/2022 22:30,17.8,21.7
65,5/29/2022 22:40,17.8,21.4
66,5/29/2022 22:50,17.8,21.15
67,5/29/2022 23:00,17.76,20.85
68,5/29/2022 23:10,17.76,20.59
69,5/29/2022 23:20,17.72,20.33
70,5/29/2022 23:30,17.67,20.12
71,5/29/2022 23:40,17.72,19.82
72,5/29/2022 23:50,17.67,19.6
73,5/30/2022 0:00,17.63,19.35
74,5/30/2022 0:10,17.67,19.09
75,5/30/2022 0:20,17.59,18.83
76,5/30/2022 0:30,17.59,18.66
77,5/30/2022 0:40,17.59,18.44
78,5/30/2022 0:50,17.59,18.23
79,5/30/2022 1:00,17.59,18.02
80,5/30/2022 1:10,17.59,17.84
81,5/30/2022 1:20,17.59,17.63
82,5/30/2022 1:30,17.59,17.5
83,5/30/2022 1:40,17.59,17.29
84,5/30/2022 1:50,17.59,17.16
85,5/30/2022 2:00,17.59,16.94
86,5/30/2022 2:10,17.59,16.77
87,5/30/2022 2:20,17.59,16.6
88,5/30/2022 2:30,17.59,16.47
89,5/30/2022 2:40,17.63,16.34
90,5/30/2022 2:50,17.63,16.21
91,5/30/2022 3:00,17.63,16.08
92,5/30/2022 3:10,17.63,15.91
93,5/30/2022 3:20,17.63,15.83
94,5/30/2022 3:30,17.63,15.66
95,5/30/2022 3:40,17.63,15.57
96,5/30/2022 3:50,17.63,15.4
97,5/30/2022 4:00,17.67,15.31
98,5/30/2022 4:10,17.67,15.14
99,5/30/2022 4:20,17.63,15.1
100,5/30/2022 4:30,17.67,14.97
101,5/30/2022 4:40,17.67,14.8
102,5/30/2022 4:50,17.67,14.67
103,5/30/2022 5:00,17.67,14.58
104,5/30/2022 5:10,17.67,14.45
105,5/30/2022 5:20,17.67,14.41
106,5/30/2022 5:30,17.67,14.33
107,5/30/2022 5:40,17.67,14.2
108,5/30/2022 5:50,17.63,14.07
109,5/30/2022 6:00,17.63,13.98
110,5/30/2022 6:10,17.67,13.9
111,5/30/2022 6:20,17.63,13.85
112,5/30/2022 6:30,17.63,13.77
113,5/30/2022 6:40,17.63,13.77
114,5/30/2022 6:50,17.63,13.68
115,5/30/2022 7:00,17.63,13.77
116,5/30/2022 7:10,17.63,13.85
117,5/30/2022 7:20,17.67,14.07
118,5/30/2022 7:30,17.72,14.2
119,5/30/2022 7:40,17.72,14.45
120,5/30/2022 7:50,17.72,14.58
121,5/30/2022 8:00,17.76,14.63
122,5/30/2022 8:10,17.72,14.97
123,5/30/2022 8:20,17.84,15.44
124,5/30/2022 8:30,17.84,15.83
125,5/30/2022 8:40,17.84,15.91
126,5/30/2022 8:50,17.89,16.08
127,5/30/2022 9:00,17.89,16.39
128,5/30/2022 9:10,17.89,16.9
129,5/30/2022 9:20,17.93,17.2
130,5/30/2022 9:30,17.89,17.03
131,5/30/2022 9:40,17.93,16.39
132,5/30/2022 9:50,17.93,15.96
133,5/30/2022 10:00,17.97,16
134,5/30/2022 10:10,17.97,16.21
135,5/30/2022 10:20,17.97,16.64
136,5/30/2022 10:30,17.93,17.11
137,5/30/2022 10:40,17.97,17.67
138,5/30/2022 10:50,17.97,18.27
139,5/30/2022 11:00,17.93,18.83
140,5/30/2022 11:10,17.97,19.35
141,5/30/2022 11:20,17.97,19.95
142,5/30/2022 11:30,17.97,20.55
143,5/30/2022 11:40,17.93,21.1
144,5/30/2022 11:50,17.97,21.66
145,5/30/2022 12:00,18.02,22.13
146,5/30/2022 12:10,17.97,22.69
147,5/30/2022 12:20,17.97,23.03
148,5/30/2022 12:30,18.06,23.34
149,5/30/2022 12:40,18.06,23.64
150,5/30/2022 12:50,18.14,23.89
151,5/30/2022 13:00,18.19,24.11
152,5/30/2022 13:10,18.23,24.41
153,5/30/2022 13:20,17.97,24.58
154,5/30/2022 13:30,18.7,24.75
155,5/30/2022 13:40,20.2,24.88
156,5/30/2022 13:50,21.75,24.97
157,5/30/2022 14:00,23.08,25.01
158,5/30/2022 14:10,24.06,24.97
159,5/30/2022 14:20,24.92,25.01
160,5/30/2022 14:30,25.52,25.05
161,5/30/2022 14:40,25.95,25.09
162,5/30/2022 14:50,26.25,25.05
163,5/30/2022 15:00,26.47,25.09
164,5/30/2022 15:10,26.55,25.01
165,5/30/2022 15:20,26.64,24.97
166,5/30/2022 15:30,26.64,24.92
167,5/30/2022 15:40,26.64,24.88
168,5/30/2022 15:50,26.55,24.75
169,5/30/2022 16:00,25.99,24.66
170,5/30/2022 16:10,24.36,24.45
171,5/30/2022 16:20,17.63,23.16
172,5/30/2022 16:30,16.47,21.02
173,5/30/2022 16:40,15.18,19.65
174,5/30/2022 16:50,15.14,18.96
175,5/30/2022 17:00,15.61,18.7
176,5/30/2022 17:10,16.21,18.66
177,5/30/2022 17:20,16.9,18.92
178,5/30/2022 17:30,17.63,19.26
179,5/30/2022 17:40,18.27,19.82
180,5/30/2022 17:50,18.79,20.42
