Date_Time,time_pt,Lease,Site,Sensor,Temp_C,,,,
5/29/2022 12:00,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 12:10,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 12:20,1,BBOC,Middle,Air,17.97,,,,
5/29/2022 12:30,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 12:40,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 12:50,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 13:00,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 13:10,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 13:20,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 13:30,1,BBOC,Middle,Air,17.97,,,,
5/29/2022 13:40,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 13:50,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 14:00,1,BBOC,Middle,Air,17.97,,,,
5/29/2022 14:10,1,BBOC,Middle,Air,18.06,,,,
5/29/2022 14:20,1,BBOC,Middle,Air,18.06,,,,
5/29/2022 14:30,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 14:40,1,BBOC,Middle,Air,18.06,,,,
5/29/2022 14:50,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 15:00,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 15:10,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 15:20,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 15:30,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 15:40,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 15:50,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 16:00,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 16:10,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 16:20,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 16:30,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 16:40,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 16:50,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 17:00,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 17:10,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 17:20,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 17:30,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 17:40,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 17:50,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 18:00,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 18:10,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 18:20,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 18:30,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 18:40,1,BBOC,Middle,Air,18.27,,,,
5/29/2022 18:50,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 19:00,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 19:10,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 19:20,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 19:30,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 19:40,1,BBOC,Middle,Air,18.23,,,,
5/29/2022 19:50,1,BBOC,Middle,Air,18.19,,,,
5/29/2022 20:00,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 20:10,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 20:20,1,BBOC,Middle,Air,18.14,,,,
5/29/2022 20:30,1,BBOC,Middle,Air,18.1,,,,
5/29/2022 20:40,1,BBOC,Middle,Air,18.06,,,,
5/29/2022 20:50,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 21:00,1,BBOC,Middle,Air,18.02,,,,
5/29/2022 21:10,1,BBOC,Middle,Air,18.02,,,,
