Obs_Numb,Date_Time,AirTemp_C,WaterTemp_C
1,5/29/2022 12:00,18.74,16.3
2,5/29/2022 12:10,19.47,16.6
3,5/29/2022 12:20,20.29,16.99
4,5/29/2022 12:30,21.1,17.46
5,5/29/2022 12:40,21.92,17.93
6,5/29/2022 12:50,22.73,18.44
7,5/29/2022 13:00,23.51,18.92
8,5/29/2022 13:10,24.32,19.47
9,5/29/2022 13:20,25.05,19.99
10,5/29/2022 13:30,25.82,20.63
11,5/29/2022 13:40,26.6,21.23
12,5/29/2022 13:50,27.24,21.83
13,5/29/2022 14:00,27.97,22.43
14,5/29/2022 14:10,28.57,23.03
15,5/29/2022 14:20,29.13,23.64
16,5/29/2022 14:30,29.68,24.24
17,5/29/2022 14:40,30.03,24.75
18,5/29/2022 14:50,30.41,25.27
19,5/29/2022 15:00,30.71,25.69
20,5/29/2022 15:10,30.84,26.12
21,5/29/2022 15:20,30.97,26.42
22,5/29/2022 15:30,31.06,26.77
23,5/29/2022 15:40,31.01,26.98
24,5/29/2022 15:50,30.89,27.2
25,5/29/2022 16:00,30.8,27.32
26,5/29/2022 16:10,30.54,27.41
27,5/29/2022 16:20,30.37,27.45
28,5/29/2022 16:30,30.11,27.5
29,5/29/2022 16:40,29.86,27.41
30,5/29/2022 16:50,29.56,27.37
31,5/29/2022 17:00,29.26,27.28
32,5/29/2022 17:10,29,27.15
33,5/29/2022 17:20,28.74,27.07
34,5/29/2022 17:30,28.48,26.9
35,5/29/2022 17:40,28.14,26.77
36,5/29/2022 17:50,27.93,26.6
37,5/29/2022 18:00,27.58,26.42
38,5/29/2022 18:10,27.32,26.3
39,5/29/2022 18:20,27.02,26.08
40,5/29/2022 18:30,26.72,25.91
41,5/29/2022 18:40,26.51,25.74
42,5/29/2022 18:50,26.25,25.52
43,5/29/2022 19:00,26.12,25.31
44,5/29/2022 19:10,25.99,25.22
45,5/29/2022 19:20,25.95,25.14
46,5/29/2022 19:30,25.91,25.05
47,5/29/2022 19:40,25.87,25.01
48,5/29/2022 19:50,25.82,24.88
49,5/29/2022 20:00,25.61,24.84
50,5/29/2022 20:10,25.44,24.71
51,5/29/2022 20:20,25.18,24.58
52,5/29/2022 20:30,24.92,24.41
53,5/29/2022 20:40,24.66,24.24
54,5/29/2022 20:50,24.36,24.02
55,5/29/2022 21:00,24.02,23.81
56,5/29/2022 21:10,23.68,23.59
57,5/29/2022 21:20,23.34,23.34
58,5/29/2022 21:30,23.03,23.08
59,5/29/2022 21:40,22.69,22.78
60,5/29/2022 21:50,22.35,22.48
61,5/29/2022 22:00,22.01,22.22
62,5/29/2022 22:10,21.66,21.92
63,5/29/2022 22:20,21.36,21.62
64,5/29/2022 22:30,21.02,21.36
65,5/29/2022 22:40,20.72,21.06
66,5/29/2022 22:50,20.42,20.76
