Obs_Numb,Date_Time,AirTemp_C,WaterTemp_C
1,5/29/2022 12:00,17.84,16.13
2,5/29/2022 12:10,17.84,16.47
3,5/29/2022 12:20,17.8,16.81
4,5/29/2022 12:30,17.8,17.2
5,5/29/2022 12:40,17.8,17.63
6,5/29/2022 12:50,17.8,18.1
7,5/29/2022 13:00,17.84,18.57
8,5/29/2022 13:10,17.8,19.09
9,5/29/2022 13:20,17.84,19.6
10,5/29/2022 13:30,17.8,20.16
11,5/29/2022 13:40,17.84,20.68
12,5/29/2022 13:50,17.8,21.32
13,5/29/2022 14:00,17.84,21.92
14,5/29/2022 14:10,17.84,22.43
15,5/29/2022 14:20,17.89,23.03
16,5/29/2022 14:30,17.84,23.59
17,5/29/2022 14:40,17.89,24.11
18,5/29/2022 14:50,17.93,24.62
19,5/29/2022 15:00,17.89,25.09
20,5/29/2022 15:10,17.93,25.52
21,5/29/2022 15:20,17.93,25.87
22,5/29/2022 15:30,17.93,26.21
23,5/29/2022 15:40,17.93,26.47
24,5/29/2022 15:50,17.97,26.72
25,5/29/2022 16:00,17.97,26.9
26,5/29/2022 16:10,17.97,27.07
27,5/29/2022 16:20,17.97,27.15
28,5/29/2022 16:30,18.02,27.2
29,5/29/2022 16:40,17.97,27.15
30,5/29/2022 16:50,18.02,27.15
31,5/29/2022 17:00,18.02,27.15
32,5/29/2022 17:10,18.02,27.02
33,5/29/2022 17:20,18.06,26.94
34,5/29/2022 17:30,18.02,26.81
35,5/29/2022 17:40,18.06,26.72
36,5/29/2022 17:50,18.06,26.55
37,5/29/2022 18:00,18.1,26.47
38,5/29/2022 18:10,18.06,26.3
39,5/29/2022 18:20,18.06,26.08
40,5/29/2022 18:30,18.06,25.95
41,5/29/2022 18:40,18.1,25.78
42,5/29/2022 18:50,18.1,25.57
43,5/29/2022 19:00,18.1,25.39
44,5/29/2022 19:10,18.1,25.22
45,5/29/2022 19:20,18.1,25.18
46,5/29/2022 19:30,18.1,25.09
47,5/29/2022 19:40,18.02,25.01
48,5/29/2022 19:50,18.02,24.97
49,5/29/2022 20:00,18.02,24.88
50,5/29/2022 20:10,18.02,24.75
51,5/29/2022 20:20,17.97,24.62
52,5/29/2022 20:30,17.97,24.49
53,5/29/2022 20:40,17.89,24.36
54,5/29/2022 20:50,17.89,24.15
55,5/29/2022 21:00,17.89,23.94
56,5/29/2022 21:10,17.89,23.72
57,5/29/2022 21:20,17.84,23.51
58,5/29/2022 21:30,17.8,23.21
59,5/29/2022 21:40,17.8,23.03
60,5/29/2022 21:50,17.76,22.73
61,5/29/2022 22:00,17.76,22.43
62,5/29/2022 22:10,17.72,22.18
63,5/29/2022 22:20,17.72,21.92
64,5/29/2022 22:30,17.67,21.58
65,5/29/2022 22:40,17.63,21.32
66,5/29/2022 22:50,17.63,21.02
67,5/29/2022 23:00,17.63,20.76
68,5/29/2022 23:10,17.59,20.5
69,5/29/2022 23:20,17.63,20.2
70,5/29/2022 23:30,17.54,19.9
71,5/29/2022 23:40,17.54,19.73
72,5/29/2022 23:50,17.54,19.47
73,5/30/2022 0:00,17.5,19.26
74,5/30/2022 0:10,17.46,18.96
75,5/30/2022 0:20,17.5,18.79
76,5/30/2022 0:30,17.46,18.53
77,5/30/2022 0:40,17.46,18.32
78,5/30/2022 0:50,17.46,18.14
79,5/30/2022 1:00,17.41,17.93
80,5/30/2022 1:10,17.37,17.72
81,5/30/2022 1:20,17.46,17.54
82,5/30/2022 1:30,17.41,17.37
83,5/30/2022 1:40,17.41,17.16
84,5/30/2022 1:50,17.41,17.03
85,5/30/2022 2:00,17.41,16.9
86,5/30/2022 2:10,17.41,16.69
87,5/30/2022 2:20,17.41,16.56
88,5/30/2022 2:30,17.41,16.34
89,5/30/2022 2:40,17.37,16.26
90,5/30/2022 2:50,17.41,16.13
91,5/30/2022 3:00,17.37,15.96
92,5/30/2022 3:10,17.41,15.87
93,5/30/2022 3:20,17.41,15.74
94,5/30/2022 3:30,17.41,15.53
95,5/30/2022 3:40,17.41,15.48
96,5/30/2022 3:50,17.37,15.36
97,5/30/2022 4:00,17.41,15.23
98,5/30/2022 4:10,17.41,15.1
99,5/30/2022 4:20,17.41,14.97
100,5/30/2022 4:30,17.46,14.88
101,5/30/2022 4:40,17.46,14.75
102,5/30/2022 4:50,17.46,14.63
103,5/30/2022 5:00,17.46,14.5
104,5/30/2022 5:10,17.46,14.41
105,5/30/2022 5:20,17.46,14.28
106,5/30/2022 5:30,17.46,14.24
107,5/30/2022 5:40,17.46,14.11
108,5/30/2022 5:50,17.46,13.98
109,5/30/2022 6:00,17.41,13.9
110,5/30/2022 6:10,17.46,13.81
111,5/30/2022 6:20,17.41,13.73
112,5/30/2022 6:30,17.41,13.73
113,5/30/2022 6:40,17.41,13.68
114,5/30/2022 6:50,17.41,13.64
115,5/30/2022 7:00,17.46,13.68
116,5/30/2022 7:10,17.5,13.81
117,5/30/2022 7:20,17.5,13.98
118,5/30/2022 7:30,17.5,14.15
119,5/30/2022 7:40,17.5,14.37
120,5/30/2022 7:50,17.54,14.45
121,5/30/2022 8:00,17.54,14.54
122,5/30/2022 8:10,17.54,14.71
123,5/30/2022 8:20,17.59,15.27
124,5/30/2022 8:30,17.63,15.74
125,5/30/2022 8:40,17.59,15.78
126,5/30/2022 8:50,17.63,15.87
127,5/30/2022 9:00,17.72,16.04
128,5/30/2022 9:10,17.67,16.39
129,5/30/2022 9:20,17.72,16.73
130,5/30/2022 9:30,17.72,16.77
131,5/30/2022 9:40,17.72,16.43
132,5/30/2022 9:50,17.72,16.04
133,5/30/2022 10:00,17.72,15.96
134,5/30/2022 10:10,17.72,16.17
135,5/30/2022 10:20,17.76,16.56
136,5/30/2022 10:30,17.76,17.07
137,5/30/2022 10:40,17.72,17.63
138,5/30/2022 10:50,17.76,18.19
139,5/30/2022 11:00,17.76,18.74
140,5/30/2022 11:10,17.76,19.3
141,5/30/2022 11:20,17.8,19.9
142,5/30/2022 11:30,17.8,20.46
143,5/30/2022 11:40,17.8,21.06
144,5/30/2022 11:50,17.8,21.58
145,5/30/2022 12:00,17.8,22.13
146,5/30/2022 12:10,17.8,22.69
147,5/30/2022 12:20,17.8,23.03
148,5/30/2022 12:30,17.8,23.34
149,5/30/2022 12:40,17.8,23.59
150,5/30/2022 12:50,17.84,23.85
151,5/30/2022 13:00,17.93,24.11
152,5/30/2022 13:10,17.97,24.36
153,5/30/2022 13:20,17.8,24.62
154,5/30/2022 13:30,20.16,24.79
155,5/30/2022 13:40,22.78,24.92
156,5/30/2022 13:50,24.62,24.92
157,5/30/2022 14:00,25.87,24.97
158,5/30/2022 14:10,26.72,25.01
159,5/30/2022 14:20,27.32,25.05
160,5/30/2022 14:30,27.8,25.09
161,5/30/2022 14:40,28.14,25.05
162,5/30/2022 14:50,28.31,25.05
163,5/30/2022 15:00,28.4,25.09
164,5/30/2022 15:10,28.4,25.01
165,5/30/2022 15:20,28.4,24.97
166,5/30/2022 15:30,28.4,24.88
167,5/30/2022 15:40,28.27,24.88
168,5/30/2022 15:50,28.05,24.75
169,5/30/2022 16:00,27.02,24.71
170,5/30/2022 16:10,24.71,24.49
171,5/30/2022 16:20,17.41,23.55
172,5/30/2022 16:30,16.43,21.45
173,5/30/2022 16:40,15.4,19.82
174,5/30/2022 16:50,15.74,19
175,5/30/2022 17:00,16.6,18.62
176,5/30/2022 17:10,17.72,18.7
177,5/30/2022 17:20,18.83,19.09
178,5/30/2022 17:30,19.82,19.65
179,5/30/2022 17:40,20.63,20.29
180,5/30/2022 17:50,21.32,21.06
181,5/30/2022 18:00,21.88,21.7
182,5/30/2022 18:10,22.26,22.31
183,5/30/2022 18:20,22.56,22.91
184,5/30/2022 18:30,22.69,23.38
185,5/30/2022 18:40,22.86,23.76
186,5/30/2022 18:50,22.91,24.06
187,5/30/2022 19:00,22.86,24.28
188,5/30/2022 19:10,22.73,24.41
189,5/30/2022 19:20,22.65,24.49
190,5/30/2022 19:30,22.48,24.45
191,5/30/2022 19:40,22.31,24.41
192,5/30/2022 19:50,22.05,24.32
193,5/30/2022 20:00,21.79,24.15
194,5/30/2022 20:10,21.32,23.85
195,5/30/2022 20:20,20.8,23.42
196,5/30/2022 20:30,20.12,22.95
197,5/30/2022 20:40,19.52,22.31
198,5/30/2022 20:50,18.79,21.7
199,5/30/2022 21:00,18.14,21.02
200,5/30/2022 21:10,17.46,20.29
201,5/30/2022 21:20,16.86,19.6
202,5/30/2022 21:30,16.34,18.96
203,5/30/2022 21:40,15.78,18.36
204,5/30/2022 21:50,15.4,17.76
205,5/30/2022 22:00,14.88,17.2
206,5/30/2022 22:10,14.5,16.73
207,5/30/2022 22:20,14.15,16.21
208,5/30/2022 22:30,13.81,15.74
209,5/30/2022 22:40,13.51,15.31
210,5/30/2022 22:50,13.17,15.01
211,5/30/2022 23:00,12.91,14.58
212,5/30/2022 23:10,12.65,14.2
213,5/30/2022 23:20,12.4,13.9
214,5/30/2022 23:30,12.22,13.55
215,5/30/2022 23:40,12.01,13.34
216,5/30/2022 23:50,11.84,13
217,5/31/2022 0:00,11.67,12.78
218,5/31/2022 0:10,11.45,12.57
219,5/31/2022 0:20,11.28,12.27
220,5/31/2022 0:30,11.15,12.1
221,5/31/2022 0:40,10.98,11.92
222,5/31/2022 0:50,10.85,11.67
223,5/31/2022 1:00,10.72,11.54
224,5/31/2022 1:10,10.59,11.37
