Site,Temp,Year,Proportion
North,16,2020,0.71
North,16,2021,0.698
North,16,2022,0.595
Middle,16,NA,NA
Middle,16,2021,0.866
Middle,16,2022,0.791
South,16,2020,0.976
South,16,2021,0.874
South,16,2022,0.848
North,18,2020,0.054
North,18,2021,0.494
North,18,2022,0.379
Middle,18,NA,NA
Middle,18,2021,0.732
Middle,18,2022,0.522
South,18,2020,0.158
South,18,2021,0.847
South,18,2022,0.788
North,21,2020,0.015
North,21,2021,0.148
North,21,2022,0.148
Middle,21,NA,NA
Middle,21,2021,0.271
Middle,21,2022,0.125
South,21,2020,0.079
South,21,2021,0.59
South,21,2022,0.42
